,영화명,before,after
669,목격자,"326,021건","1,972건"
670,신비한 동물들과 그린델왈드의 범죄,"4,153건",875건
671,맘마미아!2,"20,484건",523건
672,명당,"191,305건","1,754건"
673,협상,"2,554,467건","8,635건"
674,마약왕,"13,391건","1,061건"
675,창궐,"55,305건","1,110건"
676,성난황소,"7,936건",860건
677,도어락,"19,864건",749건
678,스윙키즈,"12,617건","1,144건"
679,PMC: 더 벙커,"4,947건",946건
680,범블비,"6,337건",729건
681,몬스터 호텔 3,"6,782건",315건
682,더 넌,"81,518건",657건
683,스카이스크래퍼,"1,370건",373건
684,인랑,"11,374건","1,231건"
685,극장판 헬로카봇 : 백악기 시대,907건,281건
686,상류사회,"44,964건",864건
687,물괴,"7,925건",921건
688,미쓰백,"9,700건",628건
689,신비아파트: 금빛 도깨비와 비밀의 동굴,739건,236건
690,퍼스트맨,"10,920건",629건
691,스파이더맨: 뉴 유니버스,"1,648건",354건
692,메가로돈,999건,387건
693,호두까기 인형과 4개의 왕국,982건,265건
694,곰돌이 푸 다시 만나 행복해,"1,539건",311건
695,그린치,"1,119건",256건
696,스타 이즈 본,"5,589건",333건
697,변산,"43,093건",729건
698,동네사람들,"224,353건","1,240건"
699,원더풀 고스트,"3,951건",434건
700,명탐정 코난 : 제로의 집행인,581건,182건
701,점박이 한반도의 공룡2 : 새로운 낙원,954건,188건
702,번 더 스테이지: 더 무비,"1,245건",325건
703,후드,"141,540건",789건
704,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,390건,59건
705,모털 엔진,596건,313건
706,바울,"21,590건",179건
707,나를 차버린 스파이,644건,169건
708,속닥속닥,"5,668건",276건
709,벽 속에 숨은 마법시계,622건,236건
710,업그레이드,"1,049,656건","3,026건"
711,런닝맨 : 풀룰루의 역습,257건,113건
712,극장판 도라에몽: 진구의 보물섬,249건,128건
713,더 프레데터,638건,291건
714,어느 가족,"467,169건","1,598건"
715,극장판 포켓몬스터 모두의 이야기,333건,86건
716,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,236건,109건
717,크레이지 리치 아시안,"1,224건",279건
718,독전: 익스텐디드 컷,458건,209건
719,부탁 하나만 들어줘,"4,362건",163건
720,할로윈,"49,504건","2,019건"
721,빅샤크: 매직체인지,252건,34건
722,베일리 어게인,"1,058건",213건
723,루이스,"394,603건",615건
724,셜록 놈즈,312건,153건
725,신은 죽지 않았다 3: 어둠 속의 빛,318건,103건
726,출국,"1,163,353건","2,745건"
727,호텔 아르테미스,419건,136건
728,마일22,"2,739건",135건
729,여곡성,"3,598건",339건
730,킬링 디어,"1,156건",111건
731,엘리엇과 산타 썰매단,102건,71건
732,어드리프트:우리가 함께한 바다,248건,126건
733,헌터 킬러,"1,503건",105건
734,번개맨의 비밀,575건,20건
735,폴란드로 간 아이들,"2,219건",115건
736,나츠메 우인장: 세상과 연을 맺다,35건,10건
737,에그엔젤 코코밍: 두근두근 핼러윈 파티,113건,32건
738,타샤 튜더,512건,32건
739,플로이,684건,27건
740,다이노 어드벤처2: 육해공 공룡 대백과,19건,16건
741,극장판 뽀잉: 슈퍼 변신의 비밀,187건,100건
742,배반의 장미,"5,467건",437건
743,이별의 아침에 약속의 꽃을 장식하자,337건,49건
744,툴리,"1,845건",107건
745,"오늘 밤, 로맨스 극장에서","2,814건",174건
746,펭귄 하이웨이,277건,96건
747,극한직업,"41,615건","1,369건"
748,어벤져스: 엔드게임,"23,267건","3,009건"
749,기생충,"108,411건","3,865건"
750,알라딘,"48,018건","1,011건"
751,캡틴 마블,"31,862건","1,275건"
752,돈,"4,475,677건","12,076건"
753,악인전,"9,391건","1,304건"
754,말모이,"9,148건",785건
755,증인,"482,648건","2,064건"
756,사바하,"9,220건","1,211건"
757,토이 스토리 4,"9,436건",981건
758,알리타: 배틀 엔젤,"3,502건",533건
759,내안의 그놈,"15,441건",804건
760,뺑반,"8,562건",983건
761,주먹왕 랄프 2: 인터넷 속으로,"1,834건",503건
762,걸캅스,"8,153건","1,271건"
763,드래곤 길들이기 3,"5,466건",492건
764,어스,"112,598건","1,399건"
765,나의 특별한 형제,"25,386건",718건
766,생일,"536,316건","3,210건"
767,항거:유관순 이야기,"4,648건","1,051건"
768,롱 리브 더 킹: 목포 영웅,"4,836건",805건
769,엑스맨: 다크 피닉스,"4,301건",676건
770,맨 인 블랙: 인터내셔널,"1,866건",578건
771,뽀로로 극장판 보물섬 대모험,"1,181건",321건
772,명탐정 피카츄,"1,589건",468건
773,존 윅 3: 파라벨룸,"2,071건",496건
774,샤잠!,"2,292건",622건
775,극장판 헬로카봇: 옴파로스 섬의 비밀,680건,166건
776,이스케이프 룸,"1,512건",343건
777,글래스,"54,892건",481건
778,그린 북,"58,713건",463건
779,장난스런 키스,"9,311건",380건
780,해피 데스데이 2 유,614건,293건
781,극장판 공룡메카드: 타이니소어의 섬,534건,190건
782,고질라: 킹 오브 몬스터,"1,032건",448건
783,덤보,"5,218건",458건
784,러브 유어셀프 인 서울,"1,556건",365건
785,헬보이,"2,698건",468건
786,미성년,"218,993건","1,493건"
787,애나벨 집으로,"1,092건",321건
788,배심원들,"57,717건",860건
789,신데렐라:마법 반지의 비밀,458건,193건
790,악질경찰,"11,963건",719건
791,기묘한 가족,"10,821건",599건
792,메리 포핀스 리턴즈,932건,210건
793,요로나의 저주,680건,319건
794,어린 의뢰인,"6,420건",612건
795,언니,"766,657건","2,233건"
796,언더독,"11,987건",450건
797,천로역정: 천국을 찾아서,"1,142건",277건
798,우상,"106,572건","1,057건"
799,비스트,"221,660건",814건
800,자전차왕 엄복동,"5,905건",590건
801,더 페이버릿: 여왕의 여자,"1,290건",463건
802,가버나움,"1,961건",211건
803,0.0MHz,"2,411건",549건
804,바이스,"12,358건",242건
805,명탐정 코난:전율의 악보,139건,92건
806,미래의 미라이,"2,848건",263건
807,로켓맨,"9,278건",394건
808,공포의 묘지,341건,219건
809,크게 될 놈,"11,351건",365건
810,콜드 체이싱,475건,176건
811,라스트 미션,"3,279건",266건
812,아이 엠 마더,"1,222건",144건
813,파이브 피트,782건,166건
814,교회오빠,"11,387건",229건
815,구스 베이비,"2,074건",134건
816,레고 무비2,"2,146건",178건
817,그대 이름은 장미,"4,382건",607건
818,"어쩌다, 결혼","13,496건",310건
819,호텔 뭄바이,"4,402건",242건
820,로망,"92,273건",498건
821,사탄의 인형,"1,367건",186건
822,1919 유관순,"6,956건",192건
823,왓칭,"1,752건",297건
824,콜레트,"2,015건",220건
825,빅샤크2: 해저2만리,146건,91건
826,어글리 돌,548건,244건
827,슈퍼미니 2,"37,557건",66건
828,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,123건,90건
829,업사이드,"7,634건",226건
830,쿠르스크,"1,066건",23건
831,일일시호일,626건,34건
832,더 와이프,"31,086건",96건
833,칠곡 가시나들,915건,87건
834,몬스터 파크,"15,684건",102건
835,세상을 바꾼 변호인,"1,036건",166건
836,겨울왕국 2,"44,590건","3,236건"
837,엑시트,"28,844건","1,565건"
838,스파이더맨: 파 프롬 홈,"8,049건","1,441건"
839,백두산,"119,408건","2,059건"
840,조커,"52,479건","1,021건"
841,봉오동 전투,"12,848건","1,887건"
842,라이온 킹,"18,748건","1,224건"
843,나쁜 녀석들: 더 무비,"7,659건","1,223건"
844,82년생 김지영,"17,439건","1,865건"
845,분노의 질주: 홉스&쇼,"3,230건",643건
846,가장 보통의 연애,"17,004건",808건
847,시동,"392,121건","1,920건"
848,블랙머니,"7,214건",876건
849,터미네이터: 다크 페이트,"4,931건",698건
850,타짜: 원 아이드 잭,"7,701건","1,265건"
851,신의 한 수: 귀수편,"6,174건",934건
852,변신,"1,914,454건","5,584건"
853,사자,"398,113건","3,202건"
854,말레피센트 2,"3,821건",657건
855,유열의 음악앨범,"8,812건","1,121건"
856,포드 V 페라리,"2,445건",402건
857,"힘을 내요, 미스터 리","5,769건",953건
858,퍼펙트맨,"6,318건",544건
859,장사리 : 잊혀진 영웅들,"5,447건",775건
860,마이펫의 이중생활 2,"2,772건",478건
861,쥬만지: 넥스트 레벨,858건,355건
862,천문: 하늘에 묻는다,"4,167건",647건
863,나랏말싸미,"7,844건","1,092건"
864,레드슈즈,"16,130건",363건
865,캣츠,"43,139건",528건
866,신비아파트 극장판 하늘도깨비 대 요르문간드,546건,173건
867,나이브스 아웃,"1,993건",337건
868,날씨의 아이,"146,654건",826건
869,나를 찾아줘,"29,360건",885건
870,광대들: 풍문조작단,"3,744건",576건
871,그것: 두 번째 이야기,"76,465건",714건
872,극장판 헬로카봇 : 달나라를 구해줘!,861건,269건
873,양자물리학,"16,270건",719건
874,애드 아스트라,"1,349건",463건
875,47미터 2,"1,131건",252건
876,감쪽같은 그녀,"2,685건",398건
877,제미니 맨,"1,105건",317건
878,브링 더 소울 : 더 무비,"1,056건",525건
879,아담스 패밀리,928건,215건
880,예스터데이,"6,355건",352건
881,기방도령,"4,939건",532건
882,원스 어폰 어 타임... 인 할리우드,"5,072건",315건
883,라스트 크리스마스,"3,071건",200건
884,명탐정 코난: 감청의 권,503건,229건
885,커런트 워,728건,180건
886,"안녕, 티라노: 영원히, 함께",665건,179건
887,앵그리 버드 2: 독수리 왕국의 침공,412건,161건
888,롱 샷,"1,798건",165건
889,엔젤 해즈 폴른,532건,189건
890,두번할까요,"22,476건",499건
891,진범,"68,561건",445건
892,벌새,"6,285건",201건
893,눈의 여왕4,"2,580건",98건
894,크롤,"2,957건",205건
895,극장판 엉덩이 탐정: 화려한 사건 수첩,371건,107건
896,좀비랜드: 더블 탭,373건,189건
897,미드웨이,"3,253건",247건
898,프린스 코기,207건,86건
899,윤희에게,"29,391건",402건
900,안나,"89,193건",386건
901,람보 : 라스트 워,485건,242건
902,원더랜드,"16,390건",188건
903,암전,"9,021건",370건
904,소피와 드래곤: 마법책의 비밀,236건,138건
905,러브 앳,"1,864건",166건
906,아내를 죽였다,"6,843건",350건
907,미드소마,554건,181건
908,김복동,"21,591건",843건
909,카운트다운,"401,125건",513건
910,극장판 반지의 비밀일기,170건,95건
911,몬스터 하우스,"1,116건",113건
912,닥터 슬립,385건,170건
913,안녕 베일리,976건,147건
914,애프터,"255,175건",669건
915,더 룸,"2,263건",150건
916,우리집,"228,540건",911건
917,허슬러,"1,691건",160건
918,빅트립: 아기팬더 배달 대모험,105건,35건
919,레플리카,"6,930건",142건
920,파비안느에 관한 진실,934건,89건
921,주전장,"1,722건",131건
922,메기,"39,452건",288건
923,프란치스코 교황 : 맨 오브 히스 워드,101건,17건
924,아이리시맨,"3,128건",193건
925,빅 위시,"2,554건",102건
926,너를 만난 여름,"6,670건",185건
927,100일 동안 100가지로 100퍼센트 행복찾기,109건,14건
