,title,director,distributor,distributor_group,release_date,release_season,nation,screen,genre,rate,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,director_power,sequel,original,actor_power,before_news,after_news
28,나의 소녀시대,프랭키 첸,오드,D,5/12/2016,spring,기타,176,멜로/로맨스,15세이상관람가,6.8,"송운화,왕대륙,이옥새",134,10.0,1,1239593.0,0,0,8353,64362.0,296.0
29,러덜리스,윌리엄 H. 머시,그린나래미디어(주),D,7/9/2015,summer,미국,117,코미디,12세이상관람가,6.15,"빌리 크루덥,안톤 옐친",105,8.741935483999999,62,76343.0,0,0,233950,381.0,46.0
30,임금님의 사건수첩,문현성,씨제이이앤엠(주),A,4/26/2017,spring,한국,1054,코미디,12세이상관람가,5.63,"이선균,안재홍",114,8.079252003999999,1123,1634403.0,1,0,148864572,5158.0,641.0
31,극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,나카자와 쇼지로,(주)넥스트엔터테인먼트월드(NEW),C,11/3/2016,autumn,일본,406,액션,전체관람가,0.0,"니시카와 슌스케,마츠모토 가쿠,나카무라 카이토",60,8.42,100,63800.0,1,1,0,37.0,16.0
32,그린치,스콧 모시어,유니버설픽쳐스인터내셔널 코리아(유),B,12/19/2018,winter,미국,724,애니메이션,전체관람가,5.0,"베네딕트 컴버배치,퍼렐 윌리엄스",89,8.592783505,1164,485056.0,0,1,45509020,1119.0,256.0
33,유전,아리 애스터,(주)팝엔터테인먼트,D,6/7/2018,summer,미국,422,공포,15세이상관람가,7.13,"토니 콜렛,밀리 샤피로,가브리엘 번",127,7.54,150,442366.0,0,0,1123299,747617.0,1613.0
34,미씽: 사라진 여자,이언희,메가박스중앙(주)플러스엠,A,11/30/2016,autumn,한국,790,미스터리,15세이상관람가,6.72,"엄지원,공효진",100,8.590727418,1251,4978770.0,0,0,56893456,8052.0,538.0
35,조선명탐정 : 사라진 놉의 딸,김석윤,(주)쇼박스,C,2/11/2015,winter,한국,811,사극,12세이상관람가,5.85,"김명민,오달수,이연희",125,8.172131148,610,10168360.0,1,0,297483438,7703.0,630.0
36,발레리나,"에릭 섬머,에릭 와린",판씨네마(주),D,2/9/2017,winter,프랑스,434,애니메이션,전체관람가,0.0,"엘르 패닝,데인 드한,매디 지글러",89,8.943722944,231,604097.0,0,0,12411319,59419.0,75.0
37,주토피아,"바이론 하워드,리치 무어",월트디즈니컴퍼니코리아(주),B,2/17/2016,winter,미국,661,애니메이션,전체관람가,7.2,"지니퍼 굿윈,제이슨 베이트먼,샤키라",108,9.311522047999999,703,20567355.0,0,0,28279364,7432.0,263.0
38,뷰티 인사이드,백,(주)넥스트엔터테인먼트월드(NEW),C,8/20/2015,summer,한국,648,판타지,12세이상관람가,5.47,"한효주,김대명,도지한",127,8.199134199,693,2053085.0,1,0,220162448,35576.0,678.0
39,부산행,연상호,(주)넥스트엔터테인먼트월드(NEW),C,7/20/2016,summer,한국,1788,액션,15세이상관람가,7.1,"공유,정유미,마동석",118,8.546636279,11847,35729066.0,1,0,424744528,57236.0,2547.0
