,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,director_involved,전국관객수
288,폼페이: 최후의 날,2014-02-20,10303127700,0.013999999999999999,10303127700,1373873,1373873,561,43288,미국,"미국,독일",,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,드라마",폴 W.S. 앤더슨,"킷 해링턴,에밀리 브라우닝,키퍼 서덜랜드,캐리 앤 모스,제시카 루카스,자레드 해리스,커리 그레이엄","킷 해링턴, 에밀리 브라우닝, 키퍼 서덜랜드",2014,True,1373873
289,찌라시: 위험한 소문,2014-02-20,9111748087,0.012,9111748087,1221427,1221427,560,37426,한국,한국,(주)영화사수박,씨제이이앤엠(주),15세이상관람가,"범죄,드라마",김광식,"김강우,고창석,박성웅,이진호,이현민,이현민,박정우,박진수,서병덕,임준혁,장한얼,신현수,정문구,정승아,정자영,유지연,정희중,조아라,윤석진,고태영,이경훈,최선규,이상미,이성재,이정호,이종혁,이준혁,이지은,김도형,김민호,김범준,김진성,문호진,민정기,이채은,정진영,진선규,장광,김의성,배용근,최미라,고원희,박형수,우기홍","김강우, 고창석, 박성웅",2014,True,1221420
290,방황하는 칼날,2014-04-10,7828891800,0.011000000000000001,7828891800,989906,989906,594,38850,한국,한국,(주)에코필름,씨제이이앤엠(주),청소년관람불가,"범죄,스릴러",이정호,"이진성,정재영,이성민,서준영,박정호,박지영,박진선,서주연,안지현,유지은,정혜정,차수빈,이동기,이수경,이승현,이주승,김기현,김원진,김태준,김현,김현호,김희석,김홍파,김대명,정석용,오정세,김태준,박명신,송재룡,박성근,이중옥,이장유,이수빈,백인권","이진성, 정재영, 이성민",2014,True,987420
291,리오 2,2014-05-01,5659522300,0.008,5659522300,763985,763985,598,14844,미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,코미디,어드벤처",카를로스 살다나,"제시 아이젠버그,앤 해서웨이,레슬리 만,제이미 폭스,임시완,류승룡,써니","제시 아이젠버그, 앤 해서웨이, 레슬리 만",2014,True,759676
292,고질라,2014-05-15,5972847963,0.008,5972847963,709734,709734,610,25335,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,SF",가렛 에드워즈,"애런 존슨,브라이언 크랜스톤,엘리자베스 올슨,줄리엣 비노쉬,와타나베 켄","애런 존슨, 브라이언 크랜스톤, 엘리자베스 올슨",2014,True,709734
293,우는 남자,2014-06-04,4915786800,0.006999999999999999,4915786800,602370,602370,508,22308,한국,한국,다이스필름(주),씨제이이앤엠(주),청소년관람불가,"액션,드라마",이정범,"장동건,김민희,민성욱,박지연,백현익,최제헌,김경희,이재인,김민재,김성오,김원범,김준성,남연우,박병은,이동휘,주영호,전배수,장인섭,이영란,김희원,김소진,서현우,고우림,이규형,김그림,김태훈","장동건, 김민희, 민성욱",2014,True,597925
294,더 울프 오브 월스트리트,2014-01-09,4490682000,0.006,4490682000,585082,585082,395,13735,미국,미국,,주식회사 우리네트웍스,청소년관람불가,"범죄,드라마",마틴 스코세이지,"레오나르도 디카프리오,매튜 매커너히,조나 힐","레오나르도 디카프리오, 매튜 매커너히, 조나 힐",2014,True,585082
295,넛잡: 땅콩 도둑들,2014-01-29,3280608100,0.004,3280608100,478392,478392,382,10796,한국,"한국,캐나다,미국","(주)레드로버,툰박스 엔터테인먼트",(주)싸이더스,전체관람가,"애니메이션,어드벤처,코미디,가족",피터 레페니오티스,"윌 아넷,브렌든 프레이저,리암 니슨,캐서린 헤이글,싸이(박재상)","윌 아넷, 브렌든 프레이저, 리암 니슨",2014,True,478392
296,다이버전트,2014-04-16,3297769011,0.004,3297769011,424045,424045,511,21396,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"SF,판타지,액션,멜로/로맨스",닐 버거,"쉐일린 우들리,케이트 윈슬렛,테오 제임스,매기 큐","쉐일린 우들리, 케이트 윈슬렛, 테오 제임스",2014,True,424041
297,잭 라이언 : 코드네임 쉐도우,2014-01-16,2395391500,0.003,2395391500,327589,327589,419,12908,미국,"미국,러시아",,씨제이이앤엠(주),12세이상관람가,"액션,드라마,스릴러",케네스 브래너,"크리스 파인,키이라 나이틀리,케빈 코스트너,케네스 브래너","크리스 파인, 키이라 나이틀리, 케빈 코스트너",2014,True,327591
298,오큘러스,2014-05-29,2117392600,0.003,2117392600,278838,278838,336,9205,미국,미국,,씨네그루(주)다우기술,15세이상관람가,"미스터리,공포(호러),스릴러",마이크 플래너건,"카렌 길런,브렌튼 스웨이츠,케이티 색호프,로리 코크레인","카렌 길런, 브렌튼 스웨이츠, 케이티 색호프",2014,True,278838
299,론 서바이버,2014-04-02,1433147820,0.002,1433147820,190611,190611,305,11565,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,드라마,스릴러",피터 버그,"마크 월버그,제리 페라라,테일러 키취,에밀 허쉬,벤 포스터,에릭 바나","마크 월버그, 제리 페라라, 테일러 키취",2014,True,173678
300,명탐정 코난 : 탐정들의 진혼가,2014-02-13,1199685100,0.002,1199685100,182666,182666,294,5499,일본,일본,,씨제이이앤엠(주),12세이상관람가,애니메이션,야마모토 야스이치로,"타카야마 미나미,야마자키 와카나,카미야 아키라,야마구치 캇페이","타카야마 미나미, 야마자키 와카나, 카미야 아키라",2014,True,182668
301,라스트베가스,2014-05-08,1361484095,0.002,1361484095,177697,177697,349,10788,미국,미국,,(주)나이너스엔터테인먼트,15세이상관람가,코미디,존 터틀타웁,"마이클 더글라스,제리 페라라,로버트 드 니로,모건 프리먼,케빈 클라인","마이클 더글라스, 제리 페라라, 로버트 드 니로",2014,True,168897
302,아메리칸 허슬,2014-02-20,1195060400,0.002,1195060400,155374,155374,245,6174,미국,미국,,(주)누리픽쳐스,청소년관람불가,"범죄,드라마",데이빗 O. 러셀,"크리스찬 베일,돈 올리비에리,에이미 아담스,브래들리 쿠퍼,제니퍼 로렌스,제레미 레너,루이스 C.K.,알렉산드로 니볼라","크리스찬 베일, 돈 올리비에리, 에이미 아담스",2014,True,155374
303,슈퍼미니,2014-04-10,660850500,0.001,660850500,92105,92105,303,3340,프랑스,프랑스,,판씨네마(주),전체관람가,"애니메이션,액션,어드벤처","토마스 자보,헬레네 지라드",,,2014,True,89328
304,짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,2014-04-03,596032100,0.001,596032100,84306,84306,301,3278,일본,일본,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,하시모토 마사카즈,"박영남,오세홍",,2014,True,83289
305,어거스트: 가족의 초상,2014-04-03,542682500,0.001,542682500,71795,71795,249,5202,미국,미국,,주식회사 우리네트웍스,15세이상관람가,드라마,존 웰스,"메릴 스트립,줄리아 로버츠,베네딕트 컴버배치,이완 맥그리거,크리스 쿠퍼,줄리엣 루이스,더못 멀로니,아비게일 브레스린","메릴 스트립, 줄리아 로버츠, 베네딕트 컴버배치",2014,True,69095
306,달라스 바이어스 클럽,2014-03-06,531581543,0.001,531581543,70529,70529,138,4000,미국,미국,,(주)나이너스엔터테인먼트,청소년관람불가,드라마,장 마크 발레,"매튜 매커너히,제니퍼 가너,자레드 레토","매튜 매커너히, 제니퍼 가너, 자레드 레토",2014,True,68794
307,더 바디,2014-05-22,501242100,0.001,501242100,66733,66733,161,2905,스페인,스페인,,(주)싸이더스,15세이상관람가,스릴러,오리올 파울로,"벨렌 루에다,오라 가리도,호세 코로나도,휴고 실바","벨렌 루에다, 오라 가리도, 호세 코로나도",2014,True,66733
308,필로미나의 기적,2014-04-16,276378600,0.0,276378600,38053,38053,194,3451,영국,"영국,미국,프랑스",,씨네그루(주)다우기술,12세이상관람가,드라마,스티븐 프리어스,"주디 덴치,스티브 쿠건",,2014,True,34501
309,슈퍼노바 지구 탈출기,2014-02-13,245845000,0.0,245845000,37547,37547,230,2043,미국,"미국,캐나다",,(주)영화사 빅,전체관람가,"애니메이션,어드벤처,코미디,가족,SF",캘런 브런커,"제시카 알바,브렌든 프레이저,사라 제시카 파커","제시카 알바, 브렌든 프레이저, 사라 제시카 파커",2014,True,37547
310,그레이트 뷰티,2014-06-12,230423700,0.0,230423700,29701,29701,51,1327,이탈리아,"이탈리아,프랑스",,(주)영화사 진진,청소년관람불가,드라마,파올로 소렌티노,토니 세르빌로,,2014,True,28915
311,밀리언 웨이즈,2014-06-12,135460300,0.0,135460300,17546,17546,194,2720,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,코미디,세스 맥팔레인,"세스 맥팔레인,샤를리즈 테론,아만다 사이프리드,리암 니슨","세스 맥팔레인, 샤를리즈 테론, 아만다 사이프리드",2014,True,17373
312,위험한 패밀리,2014-01-22,98410500,0.0,98410500,17539,17539,130,1551,미국,"미국,프랑스",,(주)프레인글로벌,청소년관람불가,"코미디,범죄,스릴러",뤽 베송,"로버트 드 니로,미셀 파이퍼,토미 리 존스,다이아나 애그론","로버트 드 니로, 미셀 파이퍼, 토미 리 존스",2014,True,17539
313,아이스맨,2014-03-27,10518000,0.0,10518000,10910,10910,20,83,미국,미국,,스크린조이,청소년관람불가,"범죄,드라마,스릴러",아리엘 브로멘,"크리스 에반스,대니 A. 아벡캐저,마이클 섀넌,위노나 라이더","크리스 에반스, 대니 A. 아벡캐저, 마이클 섀넌",2014,True,10842
314,일대일,2014-05-22,78745100,0.0,78745100,10141,10141,53,1506,한국,한국,(주)김기덕 필름,(주)김기덕 필름,청소년관람불가,드라마,김기덕,"마동석,이인경,이이경,김영민,안지혜,최영미,이나라,이종필,김미진,김민진,김종우,김훈영,박경민,박보영,김소현,임화영,박소담,조동인,손종학,김중기,김영민","마동석, 이인경, 이이경",2014,True,10141
315,영웅: 천하의 시작,2014-03-20,44066600,0.0,44066600,9575,9575,54,687,중국,중국,,(주)박수엔터테인먼트,15세이상관람가,"액션,드라마,전쟁",장예모,"이연걸,양조위,장만옥,장쯔이,견자단","이연걸, 양조위, 장만옥",2014,True,9575
316,에너미,2014-05-29,61448200,0.0,61448200,7874,7874,50,740,캐나다,"캐나다,스페인",,(주)영화사 진진,청소년관람불가,"미스터리,스릴러",드니 빌뇌브,"제이크 질렌할,멜라니 로랑,사라 가돈,이사벨라 로셀리니","제이크 질렌할, 멜라니 로랑, 사라 가돈",2014,True,7874
317,신촌좀비만화,2014-05-15,51525700,0.0,51525700,5187,5187,46,751,한국,한국,한국영화아카데미,씨제이이앤엠(주),청소년관람불가,드라마,"류승완,한지승,김태용","이다윗,박정민,박기웅,남규리,김수안,배제기,안길강,박미현,김기범,정희태","이다윗, 박정민, 박기웅",2014,True,5187
318,무명인,2014-05-29,25063600,0.0,25063600,3199,3199,51,568,한국,"한국,일본","(주)아폴론엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,무명인 문화전문회사,해피넷",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"미스터리,스릴러,액션",김성수,"니시지마 히데토시,김효진,주영민,이경영,이경태,이동민,하승남,박동하,박병렬","니시지마 히데토시, 김효진, 주영민",2014,True,3199
319,소녀괴담,2014-07-02,8466000,0.0,8466000,1168,1168,4,6,한국,한국,"(주)고스트픽처스,(주)주피터필름",(주)리틀빅픽쳐스,15세이상관람가,"미스터리,공포(호러)",오인천,"강하늘,김소은,김정태,한혜린,박두식,이아현,서경배,임미라,임승현,전성혁,전소연,정윤선,권용진,이상헌,이슬아,이승민,이승현,이정철,김상혁,김영미,김욱,김유영,박선호,김재화,이동훈,박충선,주민하,이봄,한태린,경수진","강하늘, 김소은, 김정태",2014,True,480528
320,몬스터즈,2014-05-29,6480000,0.0,6480000,1080,1080,20,36,영국,영국,,씨네그루(주)다우기술,15세이상관람가,"SF,드라마,스릴러",가렛 에드워즈,"휘트니 에이블,스쿳 맥네이리",,2014,True,1080
321,나쁜 이웃들,2014-07-03,7386000,0.0,7386000,1034,1034,18,35,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,코미디,니콜라스 스톨러,"세스 로건,로즈 번,잭 에프런,데이브 프랑코","세스 로건, 로즈 번, 잭 에프런",2014,True,41301
322,스타렛,2014-02-20,6216000,0.0,6216000,889,889,3,33,미국,미국,,노바엔터테인먼트,청소년관람불가,드라마,션 베이커,스텔라 매브,,2014,True,889
323,프란시스 하,2014-07-17,5900000,0.0,5900000,866,866,2,4,미국,미국,,그린나래미디어(주),15세이상관람가,"코미디,멜로/로맨스",노아 바움백,"그레타 거윅,믹키 섬너,그레이스 검머,아담 드라이버","그레타 거윅, 믹키 섬너, 그레이스 검머",2014,True,71506
324,SM작가,2014-02-06,4204000,0.0,4204000,504,504,2,16,일본,일본,,시네마 뉴원,청소년관람불가,드라마,히로키 류이치,"호시 요코,오스기 렌",,2014,True,456
325,혹성탈출: 반격의 서막,2014-07-10,4260000,0.0,4260000,426,426,1,2,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,드라마,SF,스릴러",맷 리브스,"앤디 서키스,게리 올드만,제이슨 클락","앤디 서키스, 게리 올드만, 제이슨 클락",2014,True,4002134
326,도서관 전쟁,2014-03-27,2088000,0.0,2088000,314,314,4,39,일본,일본,,(유)영화사 화수분,15세이상관람가,"멜로/로맨스,판타지,액션",사토 신스케,"에이쿠라 나나,오카다 준이치,쿠리야마 치야키,타나카 케이","에이쿠라 나나, 오카다 준이치, 쿠리야마 치야키",2014,True,314
327,킹 오브 썸머,2015-07-09,555000,0.0,555000,111,111,1,1,미국,미국,,(주)스넵쏘울,15세이상관람가,"코미디,드라마",조던 복트-로버츠,"닉 로빈슨,가브리엘 바쏘",,2015,True,54
328,조,2014-07-03,856000,0.0,856000,107,107,1,1,미국,미국,,와이드 릴리즈(주),청소년관람불가,드라마,데이빗 고든 그린,"니콜라스 케이지,타이 쉐리던",,2014,True,1682
329,선샤인 온 리스,2014-09-03,350000,0.0,350000,44,44,1,2,영국,영국,,(주)팝엔터테인먼트,12세이상관람가,뮤지컬,덱스터 플레처,"피터 뮬란,조지 맥케이,제인 호록스,안토니아 토마스,프레야 메이버,케빈 구스리,제이슨 플레밍,폴 프래니건","피터 뮬란, 조지 맥케이, 제인 호록스",2014,True,25431
330,안전은 보장할 수 없음,2014-06-12,151000,0.0,151000,23,23,2,13,미국,미국,,(주)마노엔터테인먼트,15세이상관람가,"멜로/로맨스,코미디",콜린 트레보로우,"오브리 플라자,마크 듀플라스,제이크 존슨,카란 소니","오브리 플라자, 마크 듀플라스, 제이크 존슨",2014,True,23
331,인터스텔라,2014-11-06,80671424300,0.087,80671424300,10105247,10105247,1410,166218,미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,SF,크리스토퍼 놀란,"매튜 매커너히,앤 해서웨이,마이클 케인,제시카 차스테인,케이시 애플렉","매튜 매커너히, 앤 해서웨이, 마이클 케인",2014,True,10103568
332,해적: 바다로 간 산적,2014-08-06,66370682706,0.07200000000000001,66370682706,8666046,8666046,910,133350,한국,한국,(주)하리마오픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,어드벤처,이석훈,"김남길,손예진,유해진,이경영,오달수,김태우,박철민,신정근,김원해,조달환,조희봉,정성화,최진리,이이경,강대욱,서왕석,서재현,서진석,서현석,성호제,송용호,심윤보,엄세현,유민경,이동철,장지웅,정경우,차민호,권성영,김경식,김기환,김대현,김재학,김주동,김준아,김한준,도현운,안내상,이대연,전배수,김강일,박해수,현봉식,우상기,곽진무,홍인,최정현,주광현","김남길, 손예진, 유해진",2014,True,8646758
333,국제시장,2014-12-17,41089567596,0.045,41089567596,5345677,5345677,966,63603,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,드라마,윤제균,"황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수,김근영,허동원,현봉식,강신철,손영순,박혜진,유정호,남진복","황정민, 김윤진, 오달수",2014,True,5334561
334,군도: 민란의 시대,2014-07-23,36988022499,0.04,36988022499,4774931,4774931,1394,67237,한국,한국,"(주)영화사 월광,(주)쇼박스",(주)쇼박스,15세이상관람가,"사극,액션",윤종빈,"하정우,강동원,최귀화,이성민,조진웅,마동석,윤지혜,정만식,김성균,김재영,주진모,이경영,신나라,정두홍,조남희,조현도,김광현,김병주,김영철,김지선,김태수,노남석,송영창,이경영,김병옥,주영호,한예리,김시은,김해숙,정대용,정재헌,박명신,임현성,강신철,윤경호","하정우, 강동원, 최귀화",2014,True,4774895
335,타짜-신의 손,2014-09-03,32373120927,0.035,32373120927,4015361,4015361,890,80584,한국,한국,(주)싸이더스,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",청소년관람불가,드라마,강형철,"최승현,신세경,곽도원,유해진,김윤석,이하늬,김인권,이경영,고수희,오정세,박효주,백승찬,양성우,우민호,윤지환,이승원,이승훈,이영민,이원호,정동근,조연우,한준우,홍승철,황현서,김원영,김장미,문도선,이준혁,김새벽,배유람,안재홍,이동휘,김원해,최종률,고준,조경현,박수영,이성욱,송재룡,천우희,배진웅,윤경호,정다원,하성광,곽자형,곽수정,김민상","최승현, 신세경, 곽도원",2014,True,4001813
336,"님아, 그 강을 건너지 마오",2014-11-27,29845829479,0.032,29845829479,3846378,3846378,806,67170,한국,한국,아거스필름,"CGV아트하우스,(주)대명문화공장",전체관람가,다큐멘터리,진모영,"조병만,강계열",,2014,True,3846206
337,비긴 어게인,2014-08-13,27098834504,0.028999999999999998,27098834504,3427524,3427524,525,82684,미국,미국,,판씨네마(주),15세이상관람가,멜로/로맨스,존 카니,"키이라 나이틀리,마크 러팔로,애덤 리바인,헤일리 스테인펠드,제임스 코든,캐서린 키너","키이라 나이틀리, 마크 러팔로, 애덤 리바인",2014,True,3426679
338,드래곤 길들이기 2,2014-07-23,23979935189,0.026000000000000002,23979935189,3000056,3000056,829,51924,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,액션,어드벤처",딘 데블로이스,"제이 바루첼,제라드 버틀러,케이트 블란쳇,아메리카 페레라","제이 바루첼, 제라드 버틀러, 케이트 블란쳇",2014,True,3000056
339,메이즈 러너,2014-09-18,21489367677,0.023,21489367677,2812427,2812427,655,71048,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,미스터리,SF,스릴러",웨스 볼,"딜런 오브라이언,카야 스코델라리오,윌 폴터,토마스 생스터,이기홍","딜런 오브라이언, 카야 스코델라리오, 윌 폴터",2014,True,2812427
340,호빗: 다섯 군대 전투,2014-12-17,21428483344,0.023,21428483344,2509887,2509887,926,43833,미국,"미국,뉴질랜드",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,판타지",피터 잭슨,"마틴 프리먼,이안 맥켈런,리차드 아미티지,케이트 블란쳇,올랜도 블룸,크리스토퍼 리,휴고 위빙,에반젤린 릴리","마틴 프리먼, 이안 맥켈런, 리차드 아미티지",2014,True,2509887
341,루시,2014-09-03,16468076039,0.018000000000000002,16468076039,1974893,1974893,641,44585,미국,"미국,프랑스",,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,액션,뤽 베송,"스칼렛 요한슨,모건 프리먼,최민식,신유람","스칼렛 요한슨, 모건 프리먼, 최민식",2014,True,1971837
342,기술자들,2014-12-24,13652480148,0.015,13652480148,1778083,1778083,641,24416,한국,한국,(주)트리니티엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,액션",김홍선,"김우빈,김영철,고창석,이현우,조윤희,임주환,조달환,권지훈,김원진,노선식,박갑진,유원선,윤대원,윤주환,이상민,이수민,채성원,천준호,최현우,최춘범,한지은,지승현,장지건,허준석,허지원,이장유,김사희,최다니엘,최정현,정성일","김우빈, 김영철, 고창석",2014,True,1778083
343,제보자,2014-10-02,13515762802,0.015,13515762802,1755181,1755181,676,58358,한국,한국,(주)영화사수박,메가박스중앙(주)플러스엠,12세이상관람가,드라마,임순례,"박해일,유연석,이경영,박원상,류현경,송하윤,김강현,김수안,김중기,이봉규,이승준,박세정,서지원,안수정,양대성,정보현,조남호,최성진,황현태,김경란,김도윤,김유민,김지은,유재명,장문규,김새벽,정훈석,최희진,김원해,장광,김영재,황정민,한기중,이미도,최용민,권해효,남명렬,이화룡,박성근,최교식,전수지,오창경,권범택,남진복,김태훈","박해일, 유연석, 이경영",2014,True,1735640
344,두근두근 내 인생,2014-09-03,12291081634,0.013000000000000001,12291081634,1624601,1624601,629,40158,한국,한국,영화사 집,씨제이이앤엠(주),12세이상관람가,드라마,이재용,"김승욱,송혜교,강동원,조성목,백일섭,황석정,안현정,강상대,신동길,양승걸,이강진,이동민,전상원,정동혁,정해진,허준석,김동섭,김소진,김승찬,김화목,도현민,박광설,채서진,김태준,오희준,서현,홍완표,최정현","김승욱, 송혜교, 강동원",2014,True,1611519
345,엑소더스: 신들과 왕들,2014-12-03,12442681926,0.013000000000000001,12442681926,1511195,1511195,865,43742,미국,"미국,영국,스페인",,이십세기폭스코리아(주),12세이상관람가,드라마,리들리 스콧,"크리스찬 베일,조엘 에저튼,시고니 위버,벤 킹슬리,아론 폴","크리스찬 베일, 조엘 에저튼, 시고니 위버",2014,True,1510495
346,퓨리,2014-11-20,10367640686,0.011000000000000001,10367640686,1362114,1362114,590,37155,미국,"미국,영국",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,"액션,드라마,전쟁",데이비드 에이어,"브래드 피트,로건 레먼,샤이아 라보프,마이클 페나,존 번탈","브래드 피트, 로건 레먼, 샤이아 라보프",2014,True,1362114
347,가디언즈 오브 갤럭시,2014-07-31,11098239184,0.012,11098239184,1311190,1311190,539,22417,미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,어드벤처,SF",제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼","크리스 프랫, 조 샐다나, 데이브 바티스타",2014,True,1311190
348,애나벨,2014-10-02,7083492943,0.008,7083492943,926027,926027,464,29000,미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),존 R. 레오네티,"애나벨 월리스,워드 호튼,알프레 우다드,에릭 라딘,토니 아멘돌라","애나벨 월리스, 워드 호튼, 알프레 우다드",2014,True,925813
349,헝거게임: 모킹제이,2014-11-20,6400058044,0.006999999999999999,6400058044,854377,854377,630,28796,미국,미국,라이온스 게이트 필름즈,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"어드벤처,SF,스릴러",프란시스 로렌스,"제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,필립 세이모어 호프만,줄리안 무어,우디 해럴슨,엘리자베스 뱅크스,도날드 서덜랜드","제니퍼 로렌스, 조쉬 허처슨, 리암 헴스워스",2014,True,854377
350,상의원,2014-12-24,5293724564,0.006,5293724564,676632,676632,466,13809,한국,한국,"(주)영화사비단길,상의원문화산업전문(유)","(주)쇼박스,(주)와우픽쳐스",15세이상관람가,"사극,드라마",이원석,"홍수민,한석규,고수,박신혜,유연석,김수웅,김주훈,김지현,김현정,박병은,박소담,배성우,한지은,김재화,이유비,최희진,신소율,김종언,전소니,조달환,허성태,주예지,김동휘","홍수민, 한석규, 고수",2014,True,676632
351,눈의 여왕 2: 트롤의 마법거울,2014-12-24,3623421700,0.004,3623421700,498320,498320,479,6508,러시아,러시아,,씨네그루(주)다우기술,전체관람가,"애니메이션,판타지,가족",알렉세이 트시칠린,,,2014,True,498320
352,주온 : 끝의 시작,2014-07-16,3071127231,0.003,3071127231,410644,410644,394,15339,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,공포(호러),오치아이 마사유키,사사키 노조미,,2014,True,410644
353,명탐정 코난 : 이차원의 저격수,2014-08-06,2768375000,0.003,2768375000,398606,398606,299,6834,일본,일본,,씨제이이앤엠(주),12세이상관람가,"애니메이션,스릴러,어드벤처",시즈노 코분,,,2014,True,397381
354,나의 독재자,2014-10-30,2906674546,0.003,2906674546,385932,385932,654,24217,한국,한국,반짝반짝영화사(주),롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,드라마,이해준,"설경구,박해일,윤제문,이병준,류혜영,이규형,김영대,김원진,김철환,민경진,박민수,송성찬,이준혁,배유람,배성우,장소연,채수빈,김강현,남연우,전국환,박지환,성유빈,신문성,이신성,허준석,홍기준,김자영,이장유,김영웅,정인겸","설경구, 박해일, 윤제문",2014,True,385934
355,숲속으로,2014-12-24,2409562888,0.003,2409562888,317406,317406,356,7709,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,뮤지컬,롭 마샬,"메릴 스트립,조니 뎁,에밀리 블런트,제임스 코든,안나 켄드릭,크리스 파인","메릴 스트립, 조니 뎁, 에밀리 블런트",2014,True,317406
356,아빠를 빌려드립니다,2014-11-20,1190329500,0.001,1190329500,172652,172652,326,8457,한국,한국,"(주)이스트스카이필름,(주)어뮤즈엔터테인먼트","메가박스중앙(주)플러스엠,(주)레드로버",12세이상관람가,"코미디,가족,드라마",김덕수,"김상경,문정희,채정안,이동규,이정희,장원재,정찬우,최민석,김유민,김장원,조재윤,남보라,류성현,방민아","김상경, 문정희, 채정안",2014,True,172445
357,극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~,2014-09-04,1200157300,0.001,1200157300,168171,168171,277,4040,일본,일본,,(주)이수C&E,전체관람가,"애니메이션,어드벤처",야쿠와 신노스케,"미즈타 와사비,오오하라 메구미",,2014,True,166092
358,익스펜더블 3,2014-08-20,1158358800,0.001,1158358800,152025,152025,320,8087,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,스릴러",패트릭 휴즈,"실베스터 스탤론,제이슨 스타뎀,안토니오 반데라스,이연걸,웨슬리 스나입스,돌프 룬드그렌,멜 깁슨,해리슨 포드,아놀드 슈왈제네거","실베스터 스탤론, 제이슨 스타뎀, 안토니오 반데라스",2014,True,152025
359,마다가스카의 펭귄,2014-12-31,1048496800,0.001,1048496800,148890,148890,509,1497,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,코미디,어드벤처,가족","에릭 다넬,사이몬 J.스미스","베네딕트 컴버배치,존 말코비치,톰 맥그라스,크리스 밀러,크리스토퍼 나이츠,켄 정","베네딕트 컴버배치, 존 말코비치, 톰 맥그라스",2014,True,148890
360,테이큰 3,2015-01-01,1013909000,0.001,1013909000,145627,145627,502,1688,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,범죄,스릴러",올리비에 메가턴,"리암 니슨,팜케 얀센,매기 그레이스,존 그리스,포레스트 휘테커","리암 니슨, 팜케 얀센, 매기 그레이스",2015,True,1860934
361,매직 인 더 문라이트,2014-08-20,607407281,0.001,607407281,77307,77307,194,4466,미국,미국,,(주)인벤트스톤,12세이상관람가,"코미디,드라마,멜로/로맨스",우디 앨런,"콜린 퍼스,엠마 스톤",,2014,True,77308
362,브릭 맨션: 통제불능 범죄구역,2014-08-27,543025047,0.001,543025047,74912,74912,287,5707,프랑스,"프랑스,캐나다",,씨네그루(주)다우기술,15세이상관람가,"액션,범죄,드라마",카밀 들라마레,"폴 워커,데이빗 벨",,2014,True,74912
363,극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치,2014-08-13,531113700,0.001,531113700,74346,74346,123,1998,일본,일본,,(주)포켓몬코리아,전체관람가,애니메이션,유야마 쿠니히코,"마츠모토 리카,오오타니 이쿠에,우에다 유지","마츠모토 리카, 오오타니 이쿠에, 우에다 유지",2014,True,74346
