,id,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,개봉일_int
246,246,독수리 에디,덱스터 플레처,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-04-07,개봉영화,장편,미국,528,1699642120,214003,629422120,76061,드라마,12세이상관람가,일반영화,6.75,"태런 에저튼(에디), 휴 잭맨(브론슨 피어리), 크리스토퍼 월켄(워렌 샤프)",106분,8.947136563876652,227,2016
247,247,남과 여,이윤기,(주)영화사봄,,(주)쇼박스,2016-02-25,개봉영화,장편,한국,449,1651122533,203775,598578633,72223,멜로/로맨스,청소년관람불가,일반영화,6.00,"전도연(상민), 공유(기홍)",115분,7.878612716763006,173,2016
248,248,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,하시모토 마사카즈,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),2016-01-07,개봉영화,장편,일본,350,1472866700,202538,262506300,34932,애니메이션,전체관람가,일반영화,-,"야지마 아키코, 후지와라 케이지, 나라하시 미키",104분,8.905172413793103,232,2016
249,249,글로리데이,최정열,(주)보리픽쳐스,,(주)엣나인필름,2016-03-24,개봉영화,장편,한국,494,1484010868,189047,451492668,54491,드라마,15세이상관람가,독립/예술영화,5.75,"지수(용비), 수호(상우), 류준열(지공)",93분,8.285714285714286,168,2016
250,250,부활,케빈 레이놀즈,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-03-17,개봉영화,장편,미국,120,1240599600,175146,416698600,56248,드라마,12세이상관람가,일반영화,6.00,"조셉 파인즈(클라비우스), 톰 펠튼(루시우스), 클리프 커티스(예슈아)",107분,9.053571428571429,112,2016
251,251,조이,데이빗 O. 러셀,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-03-10,개봉영화,장편,미국,405,1372216200,171577,614470400,74056,코미디,12세이상관람가,일반영화,6.17,"제니퍼 로렌스(조이), 브래들리 쿠퍼(닐 워커), 로버트 드 니로(루디)",124분,7.8343558282208585,163,2016
252,252,대배우,석민우,주식회사 영화사다,,"(주)대명문화공장,(주)리틀빅픽쳐스",2016-03-30,개봉영화,장편,한국,474,1245426228,169855,337587528,44595,코미디,12세이상관람가,일반영화,5.54,"오달수(장성필), 윤제문(설강식), 이경영(깐느 박)",108분,7.553719008264463,121,2016
253,253,매직브러시,쯔씽 쫑,,(주)영화사 빅,(주)영화사 빅,2016-05-04,개봉영화,장편,중국,460,1269463800,169257,277581400,33920,애니메이션,전체관람가,독립/예술영화,5.00,"김서영(히로 목소리), 김경희(하나 목소리), 박상훈(흑장군 목소리)",80분,7.788732394366197,284,2016
254,254,미스컨덕트,시모사와 신타로,,㈜코리아스크린,"(주)박수엔터테인먼트,㈜코리아스크린",2016-03-30,개봉영화,장편,미국,470,1133511038,148512,343296538,43994,범죄,15세이상관람가,일반영화,3.67,"알 파치노(애브람스), 안소니 홉킨스(데닝), 조쉬 더하멜(벤)",105분,6.344444444444444,90,2016
255,255,레전드 오브 타잔,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-06-29,개봉영화,장편,미국,593,1057174400,146338,332185100,43575,액션,12세이상관람가,일반영화,5.25,"알렉산더 스카스가드(타잔/존 클레이튼), 사무엘 L. 잭슨(윌리엄스), 마고 로비(제인 포터)",109분,8.108219178082193,730,2016
256,256,13시간,마이클 베이,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-03-03,개봉영화,장편,미국,380,1160889514,144827,331939114,39831,액션,15세이상관람가,일반영화,5.50,"존 크래신스키(잭 실바), 제임스 뱃지 데일(타이론 론 우즈), 맥스 마티니(마크 오즈 자이스트)",144분,8.658227848101266,79,2016
257,257,극장판 아이엠스타 : 꿈의 오디션!,키무라 류이치,,씨제이이앤엠(주),씨제이이앤엠(주),2016-02-11,개봉영화,장편,일본,254,1045638100,141025,210890800,28342,애니메이션,전체관람가,일반영화,-,"정혜원, 이용신, 김채하",89분,-,-,2016
258,258,제 5침공,J 블레이크슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-02-25,개봉영화,장편,미국,312,1041049900,135874,199429800,25028,액션,12세이상관람가,일반영화,-,"클로이 모레츠, 닉 로빈슨, 알렉스 로",112분,6.350574712643678,174,2016
259,259,대니쉬 걸,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-02-17,개봉영화,장편,미국,246,1074763884,134029,628018484,76402,드라마,청소년관람불가,독립/예술영화,6.97,"에디 레드메인(에이나르 베게너 / 릴리 엘베), 알리시아 비칸데르(게르다 베게너), 앰버 허드(울라 폴슨)",119분,8.899497487437186,199,2016
260,260,극장판 꼬마버스 타요의 에이스 구출작전,류정우,"(주)아이코닉스,(주)스튜디오게일",,(주)아이코닉스,2016-01-21,개봉영화,장편,한국,200,896765500,133736,188779400,27574,애니메이션,전체관람가,일반영화,-,"문남숙(타요 목소리), 정혜옥(두리 목소리), 최하나(하나 목소리)",48분,9.11111111111111,18,2016
261,261,헤이트풀8,쿠엔틴 타란티노,,(주)누리픽쳐스,(주)누리픽쳐스,2016-01-07,개봉영화,장편,미국,167,996168400,120352,457137100,54514,액션,청소년관람불가,독립/예술영화,8.50,"사무엘 L. 잭슨(현상금 사냥꾼), 커트 러셀(교수형 집행인), 제니퍼 제이슨 리(여죄수)",167분,8.166666666666666,6,2016
262,262,최강전사 미니특공대: 영웅의 탄생,이영준,(주)삼지애니메이션,,(주)삼지애니메이션,2016-02-04,개봉영화,장편,한국,349,866704200,115704,172514300,22357,애니메이션,전체관람가,일반영화,-,[국내] 전체 관람가,68분,8.46938775510204,196,2016
263,263,다이노소어 어드벤처 : 백악기 공룡대백과,"닐 나이팅게일,베리 쿡,앤드류 코헨",,(주)박수엔터테인먼트,"(주)박수엔터테인먼트,(주)애니플러스",2016-05-04,개봉영화,장편,영국,325,852031000,111902,169617200,21158,다큐멘터리,전체관람가,독립/예술영화,5.00,[국내] 전체 관람가,84분,7.244131455399061,213,2016
264,264,다이버전트 시리즈: 얼리전트,로베르트 슈벤트케,,(유)조이앤시네마,씨네그루(주)키다리이엔티,2016-05-12,개봉영화,장편,미국,393,818823545,103542,280500645,34199,액션,12세이상관람가,일반영화,4.50,"쉐일린 우들리(트리스), 테오 제임스(포), 마일즈 텔러(피터)",121분,8.335766423357665,137,2016
265,265,무서운 이야기 3 : 화성에서 온 소녀,"백승빈,김선,김곡,민규동",(주)수필름,,롯데쇼핑㈜롯데엔터테인먼트,2016-06-01,개봉영화,옴니버스,한국,317,760730500,94926,164623500,19541,공포(호러),15세이상관람가,일반영화,6.00,"임슬옹(이생), 경수진(수진), 박정민(동근)",94분,5.647058823529412,136,2016
266,266,일사각오,"권혁만,고문안",KBS,,파이오니아21,2016-03-17,개봉영화,장편,한국,51,670010000,92821,232264700,32658,드라마,12세이상관람가,일반영화,-,"이지형(주기철), 설지윤(오정모), 최원(소년 주광조)",115분,9.6,5,2016
267,267,크리미널,아리엘 브로멘,,(유)조이앤시네마,(주)영화사 빅,2016-06-22,개봉영화,장편,영국,351,723939881,90577,249604081,30450,액션,15세이상관람가,독립/예술영화,4.0,"라이언 레이놀즈, 케빈 코스트너, 게리 올드만",111분,8.395348837209303,86,2016
268,268,유스,파올로 소렌티노,,그린나래미디어(주),그린나래미디어(주),2016-01-07,개봉영화,장편,이탈리아,65,661767600,85166,449133200,55637,드라마,15세이상관람가,독립/예술영화,7.34,"마이클 케인(프레드 밸린저), 하비 케이틀(믹 보일), 레이첼 와이즈(레나 벨린저)",124분,8.533333333333333,105,2016
269,269,오베라는 남자,하네스 홀름,,(주)싸이더스,"(주)싸이더스,(주)디스테이션",2016-05-25,개봉영화,장편,스웨덴,255,650784888,82210,299064888,36802,드라마,12세이상관람가,독립/예술영화,6.86,"롤프 라스가드(오베), 바하르 파르스(파르바네), 필립 버그(젊은 오베)",116분,9.130952380952381,84,2016
270,270,다이노X 탐험대,이동희,(주)MBC,,(주)이수C&E,2016-05-04,개봉영화,장편,한국,348,634339900,82148,122013400,15164,애니메이션,전체관람가,독립/예술영화,-,"정준하(공룡 타르보), 하하(탐험대 가이드)",70분,7.15483870967742,310,2016
271,271,오 마이 그랜파,댄 마저,,(주)수키픽쳐스,판씨네마(주),2016-03-17,개봉영화,장편,미국,396,632806532,79701,222196232,27230,코미디,청소년관람불가,일반영화,4.65,"로버트 드 니로(딕 켈리), 잭 에프론(제이슨 켈리), 줄리안 허프(메러디스)",100분,8.201754385964913,114,2016
272,272,룸,레니 에이브러햄슨,,(주)콘텐츠게이트,(주)영화사 빅,2016-03-03,개봉영화,장편,아일랜드,333,621606700,78253,270557400,33076,드라마,15세이상관람가,독립/예술영화,7.53,"브리 라슨, 제이콥 트렘블레이, 조안 알렌",118분,9.143835616438356,146,2016
273,273,엽기적인 그녀 2,조근식,(주)신씨네,,(주)리틀빅픽쳐스,2016-05-12,개봉영화,장편,한국,387,588233900,76321,143965300,18030,멜로/로맨스,15세이상관람가,일반영화,3.50,"차태현(견우), 빅토리아(그녀)",99분,5.87037037037037,54,2016
274,274,본 투 비 블루,로버트 뷔드로,,그린나래미디어(주),그린나래미디어(주),2016-06-09,개봉영화,장편,캐나다,147,598992000,74977,338099700,40984,드라마,청소년관람불가,독립/예술영화,7.13,"에단 호크(쳇 베이커), 카르멘 에조고(제인/일레인), 칼럼 키스 레니(딕)",97분,8.595505617977528,89,2016
275,275,번개맨,조근현,"(주)드림써치C&C,한국교육방송공사 EBS",,씨네그루(주)키다리이엔티,2016-02-11,개봉영화,장편,한국,393,516736500,69303,112271800,13839,판타지,전체관람가,일반영화,5.5,"정현진, 루나",72분,7.152941176470589,170,2016
276,276,스티브 잡스,대니 보일,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-01-21,개봉영화,장편,미국,384,535351276,68815,263409778,32834,드라마,12세이상관람가,일반영화,6.40,"마이클 패스벤더(스티브 잡스), 케이트 윈슬렛(조안나 호프만), 세스 로건(스티브 워즈니악)",122분,7.865853658536586,82,2016
277,277,레터스 투 갓,데이빗 닉슨,,(재)CBS,(주)모멘텀엔터테인먼트,2016-02-25,개봉영화,장편,미국,119,430338300,65887,75632500,10510,가족,전체관람가,독립/예술영화,3.00,"태너 맥과이어(타일러), 제프리 존슨(브래디 맥다니엘스), 로빈 리블리(매디 도허티)",114분,9.3,10,2016
278,278,바다 탐험대 옥토넛 시즌4: 빙하탐험선S,다라 오코넬,,(주)얼리버드픽쳐스,와이드 릴리즈(주),2016-02-25,개봉영화,장편,영국,155,361596000,60977,91880000,15434,애니메이션,전체관람가,독립/예술영화,-,"하성용(바나클 목소리), 정재헌(콰지 목소리), 엄상현(페이소, 트래커 목소리)",58분,7.775862068965517,232,2016
279,279,트럼보,제이 로치,,그린나래미디어(주),"그린나래미디어(주),(주)프레인글로벌",2016-04-07,개봉영화,장편,미국,310,462652100,58784,235668600,29659,드라마,15세이상관람가,독립/예술영화,7.60,"브라이언 크랜스톤(달튼 트럼보), 다이안 레인(클레오 트럼보), 헬렌 미렌(헤다 호퍼)",124분,8.64102564102564,39,2016
280,280,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,다라 오코넬,,(주)얼리버드픽쳐스,와이드 릴리즈(주),2016-06-02,개봉영화,장편,영국,162,340299000,56866,72469500,11999,애니메이션,전체관람가,독립/예술영화,-,"하성용(바나클), 정재헌(콰지), 엄상현(페이소)",68분,8.451612903225806,155,2016
281,281,극장판 프랭키와 친구들: 생명의 나무,박정오,프랭키영화문화산업전문(주),,예지림엔터테인먼트,2016-04-13,개봉영화,장편,한국,258,408723600,56476,103400500,13068,애니메이션,전체관람가,일반영화,-,"이소은, 안영미, 김민정",72분,8.782608695652174,69,2016
282,282,더 보이,윌리엄 브렌트 벨,,(주)컴퍼니엘,(주)리틀빅픽쳐스,2016-06-01,개봉영화,장편,미국,186,440944821,55765,84467821,10054,공포(호러),15세이상관람가,독립/예술영화,5.17,"로렌 코핸, 루퍼트 에반스",97분,7.66,100,2016
283,283,드레스메이커,조셀린 무어하우스,,브릿지웍스 엔터테인먼트(주),(주)리틀빅픽쳐스,2016-02-11,개봉영화,장편,호주,176,440059500,55330,144520800,17846,드라마,15세이상관람가,독립/예술영화,6.40,"케이트 윈슬렛(틸리), 주디 데이비스(몰리), 리암 헴스워스(테디)",118분,8.0,1,2016
284,284,파라노말 액티비티: 더 고스트 디멘션,그레고리 플로킨,,(주)다자인소프트,(주)박수엔터테인먼트,2016-04-21,개봉영화,장편,미국,353,454055200,54972,129982200,15254,미스터리,15세이상관람가,일반영화,3.00,"크리스 J. 머레이(라이언), 브릿 쇼(에밀리), 아이비 조지(레일라)",88분,6.55,40,2016
285,285,잡아야 산다,오인천,더퀸디앤엠 주식회사,,오퍼스픽쳐스(유),2016-01-07,개봉영화,장편,한국,219,410361400,54450,91032800,11245,코미디,15세이상관람가,일반영화,3.00,"김승우(김승주), 김정태(도정택), 혁(한원태)",96분,6.977777777777778,45,2016
286,286,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,1788,93175877048,11565078,23020827248,2754686,액션,15세이상관람가,일반영화,7.10,"공유(석우), 정유미(성경), 마동석(상화)",118분,8.546636279226808,11847,2016
287,287,밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",,워너브러더스 코리아(주),2016-09-07,개봉영화,장편,한국,1444,61158644831,7487545,15436298021,1827424,액션,15세이상관람가,일반영화,7.50,"송강호(이정출), 공유(김우진)",140분,8.578849289541113,4293,2016
288,288,터널,김성훈B,"(주)어나더썬데이,(주)비에이엔터테인먼트",,(주)쇼박스,2016-08-10,개봉영화,장편,한국,1105,57510324417,7118592,14121558017,1675010,드라마,12세이상관람가,일반영화,7.21,"하정우(정수), 배두나(세현), 오달수(대경)",126분,8.660829649778988,5882,2016
289,289,인천상륙작전,이재한,(주)태원엔터테인먼트,,씨제이이앤엠(주),2016-07-27,개봉영화,장편,한국,1049,55101410303,7049643,11459996563,1427944,전쟁,12세이상관람가,일반영화,3.41,"이정재(장학수), 이범수(림계진), 리암 니슨(맥아더 장군)",110분,8.570277390361072,6453,2016
290,290,럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,개봉영화,장편,한국,1158,56361435256,6965706,13812629836,1640015,코미디,15세이상관람가,일반영화,5.68,"유해진(형욱), 이준(재성), 조윤희(리나)",112분,8.826053442959918,3892,2016
291,291,덕혜옹주,허진호,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,개봉영화,장편,한국,964,44344141109,5593551,10625578869,1304324,사극,12세이상관람가,일반영화,5.95,"손예진(덕혜옹주), 박해일(김장한)",127분,8.859929078014185,3948,2016
292,292,닥터 스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-10-26,개봉영화,장편,미국,1503,47481830396,5446239,15364372146,1657683,액션,12세이상관람가,일반영화,7.03,"베네딕트 컴버배치(닥터 스트레인지), 레이첼 맥아담스(크리스틴 팔머), 틸다 스윈튼(에인션트 원)",115분,8.949522226838388,4814,2016
293,293,마스터,조의석,영화사 집,,씨제이이앤엠(주),2016-12-21,개봉영화,장편,한국,1501,39784641065,4935320,10109128465,1211837,액션,15세이상관람가,일반영화,5.77,"이병헌(진회장), 강동원(김재명), 김우빈(박장군)",143분,8.686219739292365,5370,2016
294,294,신비한 동물사전,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-11-16,개봉영화,장편,미국,1431,39300515858,4662534,12612776458,1422215,어드벤처,12세이상관람가,일반영화,7.08,"에디 레드메인(뉴트 스캐맨더), 콜린 파렐(퍼시발 그레이브스), 캐서린 워터스턴(티나 골드스틴)",132분,8.768924302788845,3263,2016
295,295,판도라,박정우,(주)씨에이씨엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,개봉영화,장편,한국,1166,33856670164,4301361,6940555164,846789,드라마,12세이상관람가,일반영화,5.92,"김남길(재혁), 김주현(연주), 정진영(평섭)",136분,8.914615770969363,1991,2016
296,296,나우 유 씨 미 2,존 추,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-07-13,개봉영화,장편,미국,1200,25116690113,3100113,7162588413,850601,범죄,12세이상관람가,일반영화,5.34,"제시 아이젠버그(J. 다니엘 아틀라스), 마크 러팔로(딜런 로즈), 우디 해럴슨(메리트 맥키니)",129분,8.588807785888077,2055,2016
297,297,형,권수경,굿초이스컷픽쳐스(주),,씨제이이앤엠(주),2016-11-23,개봉영화,장편,한국,993,23113768293,2979659,5470616143,673565,코미디,12세이상관람가,일반영화,4.55,"조정석(고두식), 디오(고두영), 박신혜(이수현)",110분,9.011034482758621,1450,2016
298,298,미스 페레그린과 이상한 아이들의 집,팀 버튼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-09-28,개봉영화,장편,미국,904,21841214586,2718158,6220296286,737280,미스터리,12세이상관람가,일반영화,7.08,"에바 그린(페레그린), 에이사 버터필드(제이크), 사무엘 L. 잭슨(바론)",127분,8.592145015105741,1655,2016
299,299,제이슨 본,폴 그린그래스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-07-27,개봉영화,장편,미국,827,21253434663,2611966,6707397843,797790,액션,15세이상관람가,일반영화,5.97,"맷 데이먼(제이슨 본), 알리시아 비칸데르(헤더 리), 뱅상 카셀",123분,8.411099949773982,3982,2016
300,300,도리를 찾아서,앤드류 스탠튼,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-07-06,개봉영화,장편,미국,1091,20703899933,2601734,6199961913,724706,애니메이션,전체관람가,일반영화,6.52,"엘런 드제너러스(도리 목소리), 앨버트 브룩스(말린 목소리), 에드 오닐(행크 목소리)",97분,8.69192200557103,1795,2016
301,301,아수라,김성수,(주)사나이픽처스,,씨제이이앤엠(주),2016-09-28,개봉영화,장편,한국,1278,20576226662,2594028,5577412282,676676,범죄,청소년관람불가,일반영화,6.56,"정우성(한도경), 황정민(박성배), 주지훈(문선모)",132분,6.558953033268102,4088,2016
302,302,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,2517805,5360235715,656542,애니메이션,전체관람가,일반영화,6.67,"루이스 C.K., 에릭 스톤스트릿, 케빈 하트",90분,8.703752468729427,3038,2016
303,303,라라랜드,데이미언 셔젤,,판씨네마(주),판씨네마(주),2016-12-07,개봉영화,장편,미국,727,19993531232,2384782,8520674132,987682,드라마,12세이상관람가,일반영화,8.34,"라이언 고슬링(세바스찬), 엠마 스톤(미아)",127분,8.868760064412239,1242,2016
304,304,봉이 김선달,박대민,"(주)엠픽처스,(주)에스엔케이픽처스",,씨제이이앤엠(주),2016-07-06,개봉영화,장편,한국,942,16172133642,2044564,3545320462,432216,사극,12세이상관람가,일반영화,5.14,"유승호(김인홍), 조재현(성대련), 고창석(보원)",121분,8.31781557743957,1117,2016
305,305,수어사이드 스쿼드,데이비드 에이어,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-08-03,개봉영화,장편,미국,823,15873106188,1898121,4616155428,521174,액션,15세이상관람가,일반영화,5.15,"윌 스미스(플로이드 로턴 / 데드샷), 자레드 레토(조커), 마고 로비(할린 퀸젤 / 할리퀸)",122분,7.6155837432047635,3863,2016
306,306,벤허,티무르 베크맘베토브,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-09-14,개봉영화,장편,미국,717,11405870395,1399771,2957265515,356087,어드벤처,12세이상관람가,일반영화,8.75,"찰톤 헤스톤(유다 벤허), 잭 호킨스(퀸투스 아리우스), 하야 하라릿(에스더)",222분,9.0,1,2016
307,307,스타트렉 비욘드,저스틴 린,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-08-17,개봉영화,장편,미국,716,10190375820,1157156,3556973400,380899,액션,12세이상관람가,일반영화,7.10,"크리스 파인(커크), 사이먼 페그(스코티), 조 샐다나(우후라)",122분,8.41340782122905,895,2016
308,308,미씽: 사라진 여자,이언희,다이스필름(주),,메가박스중앙(주)플러스엠,2016-11-30,개봉영화,장편,한국,790,8881616256,1153109,2457671256,307997,미스터리,15세이상관람가,일반영화,6.72,"엄지원(지선), 공효진(한매)",100분,8.590727418065548,1251,2016
309,309,"당신, 거기 있어줄래요",홍지영,(주)수필름,,롯데쇼핑㈜롯데엔터테인먼트,2016-12-14,개봉영화,장편,한국,767,8999085248,1124815,2552055748,305990,판타지,12세이상관람가,일반영화,5.44,"김윤석(수현), 변요한(젊은수현), 채서진(젊은연아)",111분,8.872954764196342,1039,2016
310,310,라이트 아웃,데이비드 F. 샌드버그,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-08-24,개봉영화,장편,미국,659,8892177975,1111158,2086096975,248265,공포(호러),15세이상관람가,일반영화,-,"테레사 팔머(레베카), 앨리시아 벨라 베일리(다이애나), 가브리엘 베이트먼(마틴)",81분,7.713203463203463,924,2016
311,311,씽,가스 제닝스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-12-21,개봉영화,장편,미국,795,8196285789,1061913,2230472589,274530,애니메이션,전체관람가,일반영화,6.71,"매튜 맥커너히, 리즈 위더스푼, 스칼렛 요한슨",108분,9.039348710990502,1474,2016
312,312,맨 인 더 다크,페드 알바레즈,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-10-05,개봉영화,장편,미국,671,8445645672,999047,2347738772,267646,스릴러,청소년관람불가,일반영화,7.04,"제인 레비(록키), 딜런 미네트(알렉스), 스티븐 랭(눈 먼 노인)",88분,8.46183800623053,1284,2016
313,313,"고산자, 대동여지도",강우석,(주)시네마서비스,,씨제이이앤엠(주),2016-09-07,개봉영화,장편,한국,765,7777473258,971194,1911829638,230579,사극,전체관람가,일반영화,5.78,"차승원(김정호), 유준상(흥선대원군)",129분,8.239467849223947,451,2016
314,314,매그니피센트 7,안톤 후쿠아,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-09-14,개봉영화,장편,미국,579,7633490421,921317,2113986651,247071,액션,15세이상관람가,일반영화,5.79,"덴젤 워싱턴(샘 치좀), 크리스 프랫(조슈아 패러데이), 이병헌(빌리 락스)",133분,8.081967213114755,1525,2016
315,315,브리짓 존스의 베이비,샤론 맥과이어,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-09-28,개봉영화,장편,미국,509,6678585874,820995,2641542374,314889,코미디,15세이상관람가,일반영화,5.63,"르네 젤위거(브리짓 존스), 콜린 퍼스(마크 다시), 패트릭 뎀시(잭 퀀트)",123분,9.161118508655127,751,2016
316,316,스플릿,최국희,오퍼스픽쳐스(유),,오퍼스픽쳐스(유),2016-11-09,개봉영화,장편,한국,702,6097721539,757430,1497661939,177946,드라마,15세이상관람가,일반영화,6.38,"유지태(철종), 이정현(희진), 이다윗(영훈)",121분,9.247206703910615,716,2016
317,317,국가대표 2,김종현,케이엠컬쳐㈜,,메가박스중앙(주)플러스엠,2016-08-10,개봉영화,장편,한국,562,5424324942,703024,1319827542,166219,드라마,12세이상관람가,일반영화,5.50,"수애(리지원), 오달수(강대웅), 오연서(박채경)",126분,8.880952380952381,882,2016
318,318,인페르노,론 하워드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-10-19,개봉영화,장편,미국,754,5656281303,689071,1920944703,224942,미스터리,15세이상관람가,일반영화,4.67,"톰 행크스(로버트 랭던), 펠리시티 존스(시에나 브룩스), 벤 포스터(베르트랑 조브리스트)",121분,8.2,610,2016
319,319,설리: 허드슨강의 기적,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-09-28,개봉영화,장편,미국,573,5234170754,627102,1679863954,192870,드라마,12세이상관람가,일반영화,7.75,"톰 행크스(체슬리 설리 설렌버거 ), 로라 리니(로리 설렌버거), 아론 에크하트(제프 스카일스)",96분,8.907035175879397,398,2016
320,320,잭 리처: 네버 고 백,에드워드 즈윅,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-11-30,개봉영화,장편,미국,667,4638072258,611097,1375085358,175136,액션,15세이상관람가,일반영화,4.88,"톰 크루즈(잭 리처), 코비 스멀더스(수잔 터너)",118분,8.190140845070422,426,2016
321,321,로그 원: 스타워즈 스토리,가렛 에드워즈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2016-12-28,개봉영화,장편,미국,907,5127537094,596487,1796959744,196714,액션,12세이상관람가,일반영화,7.16,"펠리시티 존스(진 어소), 디에고 루나(카시안 안도르), 매즈 미켈슨(겔렌 어소)",133분,8.38107869142352,1131,2016
322,322,아이스 에이지: 지구 대충돌,마이크 트메이어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-07-20,개봉영화,장편,미국,580,4092484600,553760,920145300,116487,애니메이션,전체관람가,일반영화,6.00,"존 레귀자모(시드 목소리), 레이 로마노(매니 목소리), 제니퍼 로페즈(쉬라 목소리)",94분,8.163934426229508,610,2016
323,323,메카닉: 리크루트,데니스 간젤,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2016-08-31,개봉영화,장편,미국,320,4458200800,551897,1177943300,142121,액션,15세이상관람가,일반영화,5.25,"제이슨 스타뎀(비숍), 제시카 알바(지나), 토미 리 존스(아담스)",98분,7.5,8,2016
324,324,고스트버스터즈,폴 페이그,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-25,개봉영화,장편,미국,511,4116292075,515522,1376002875,165403,액션,12세이상관람가,일반영화,6.58,"멜리사 맥카시(애비), 크리스틴 위그(에린), 케이트 맥키넌(홀츠먼)",116분,8.416058394160585,685,2016
325,325,거울나라의 앨리스,제임스 보빈,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-09-07,개봉영화,장편,미국,515,4145733267,513202,1251835067,146759,어드벤처,12세이상관람가,일반영화,5.75,"조니 뎁(모자 장수), 앤 해서웨이(하얀 여왕), 미아 와시코브스카(앨리스)",112분,8.622535211267605,355,2016
326,326,가려진 시간,엄태화,(주)바른손이앤에이,,(주)쇼박스,2016-11-16,개봉영화,장편,한국,884,3946462400,510878,1183297400,144193,드라마,12세이상관람가,일반영화,6.68,"강동원(성민), 신은수(수린), 이효제(어린 성민)",129분,8.191629955947137,454,2016
327,327,명탐정 코난: 순흑의 악몽,시즈노 코분,,씨제이이앤엠(주),씨제이이앤엠(주),2016-08-03,개봉영화,장편,일본,447,3754104500,507508,717455600,93719,애니메이션,12세이상관람가,일반영화,7.00,"김선혜(코난 한국어 목소리), 강수진(남도일 한국어 목소리), 이정구(유명한 한국어 목소리)",112분,9.04263959390863,985,2016
328,328,언더 워터,자움 콜렛 세라,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-07-13,개봉영화,장편,미국,518,3111772391,384789,722677691,87120,공포(호러),15세이상관람가,일반영화,7.25,블레이크 라이블리,86분,8.227513227513228,378,2016
