,id,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,개봉일_int
18,18,쎄시봉,김현석,"유한회사 제이필름,(주)무브픽쳐스",,씨제이이앤엠(주),2015-02-05,개봉영화,장편,한국,829,13509581911,1707487,3396629711,414692,멜로/로맨스,15세이상관람가,일반영화,6.11,"정우(젊은 오근태), 김윤석(오근태), 한효주(젊은 민자영)",122분,8.43424317617866,403,2015
19,19,위플래쉬,데이미언 셔젤,,(주)에이든컴퍼니,(주)쇼박스,2015-03-12,개봉영화,장편,미국,436,12426704845,1559430,5222711445,633918,드라마,15세이상관람가,독립/예술영화,8.44,"마일즈 텔러(앤드류), J.K. 시몬스(플렛처)",106분,9.083129584352077,409,2015
20,20,마다가스카의 펭귄,"에릭 다넬,사이몬 J.스미스",,씨제이이앤엠(주),씨제이이앤엠(주),2014-12-31,개봉영화,장편,미국,615,11450482159,1512340,2764115059,346739,애니메이션,전체관람가,일반영화,6.33,"베네딕트 컴버배치(비밀요원 목소리), 존 말코비치(데이브/옥토브레인 목소리), 톰 맥그라스(스키퍼 목소리)",92분,8.681981981981982,1110,2014
21,21,차이나타운,한준희,폴룩스픽쳐스(주),,CGV아트하우스,2015-04-29,개봉영화,장편,한국,551,11989400678,1472006,3327822078,395351,범죄,청소년관람불가,일반영화,6.03,"김혜수(엄마), 김고은(일영), 엄태구(우곤)",110분,7.491289198606272,574,2015
22,22,장수상회,강제규,"(주)빅픽쳐,씨제이이앤엠(주)",,씨제이이앤엠(주),2015-04-09,개봉영화,장편,한국,688,8707389643,1160935,2204750243,284742,멜로/로맨스,12세이상관람가,일반영화,6.36,"박근형(성칠), 윤여정(금님), 조진웅(장수)",112분,8.677725118483412,211,2015
23,23,간신,민규동,(주)수필름,,롯데쇼핑㈜롯데엔터테인먼트,2015-05-21,개봉영화,장편,한국,697,8946618910,1110214,2421410210,289236,사극,청소년관람불가,일반영화,4.97,"주지훈(임숭재), 김강우(이 융), 천호진(임사홍)",131분,7.268542199488491,391,2015
24,24,박물관이 살아있다 : 비밀의 무덤,숀 레비,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-01-14,개봉영화,장편,미국,500,8170784606,1101678,2209722306,288421,어드벤처,전체관람가,일반영화,5.67,"벤 스틸러, 로빈 윌리엄스, 댄 스티븐스",98분,8.313559322033898,354,2015
25,25,허삼관,하정우,"(주)두타연,(주)판타지오픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2015-01-14,개봉영화,장편,한국,621,7405415569,955175,1879461269,232983,드라마,12세이상관람가,일반영화,6.46,"하정우, 하지원",124분,7.811816192560175,457,2015
26,26,"님아, 그 강을 건너지 마오",진모영,아거스필름,,"CGV아트하우스,(주)대명문화공장",2014-11-27,개봉영화,장편,한국,206,7509448200,955149,1833419900,228599,다큐멘터리,전체관람가,독립/예술영화,6.00,"조병만, 강계열",86분,9.67,100,2014
27,27,살인의뢰,손용호,(주)미인픽쳐스,,씨네그루(주)다우기술,2015-03-12,개봉영화,장편,한국,646,6986456737,855980,1716336937,201830,범죄,청소년관람불가,일반영화,4.33,"김상경(태수), 김성균(승현), 박성웅(강천)",102분,6.614678899082569,327,2015
