,영화명,개봉일,매출액,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
90,트레져 헌터: 비밀의 책,2020-01-14,"4,657,000",0.0%,"4,657,000",990,990,5,31,중국,중국,,(주)소나무픽쳐스,12세이상관람가,멜로/로맨스,,
91,리틀 큐,2020-01-09,"7,222,460",0.0%,"12,020,460",947,"1,494",37,240,홍콩,홍콩,,(주)미로스페이스,전체관람가,드라마,나영창,"임달화,양영기"
92,4인의 무뢰한,1971-05-28,"1,762,000",0.0%,"2,628,000",881,"1,309",1,10,미국,미국,유나이티드 아티스트,,,"서부극(웨스턴),액션",조세프 페브니,"돌로레스 하트,존 색슨,제프 챈들러"
93,터미네이터: 다크 페이트,2019-10-30,"10,590,000",0.0%,"20,164,485,830",876,"2,409,938",2,6,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,"액션,어드벤처,SF",팀 밀러,"맥켄지 데이비스,아놀드 슈왈제네거,린다 해밀턴,나탈리아 레이즈,가브리엘 루나"
94,디아스포라의 노래 : 아리랑 로드,2019-12-12,"4,325,000",0.0%,"12,674,500",863,"2,250",4,27,한국,한국,KBS 미디어,(주)드림팩트엔터테인먼트,전체관람가,다큐멘터리,이규철,양방언
95,사냥의 시간,,"7,388,000",0.0%,"7,388,000",850,850,2,5,한국,한국,(주)싸이더스,(주)리틀빅픽쳐스,,스릴러,윤성현,"이제훈,안재홍,최우식,박정민,박해수,이서준"
96,극장판 미니특공대: 공룡왕 디노,2020-02-06,"7,587,000",0.0%,"7,587,000",843,843,4,4,한국,한국,(주)삼지애니메이션,(주)리틀빅픽쳐스,전체관람가,애니메이션,이영준,"신용우,엄상현,양정화,이소영,전태열,남도형,소연"
97,제미니 맨,2019-10-09,"8,430,000",0.0%,"3,304,399,230",843,"388,185",5,5,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"액션,드라마,SF",이안,"윌 스미스,메리 엘리자베스 윈스티드,클라이브 오웬,베네딕트 웡"
98,소림쿵푸: 마지막 대결,2019-12-30,"3,963,000",0.0%,"4,681,000",841,998,2,24,중국,중국,,(주)소나무픽쳐스,12세이상관람가,액션,,
99,헤로니모,2019-11-21,"5,696,000",0.0%,"117,251,720",840,"15,980",4,35,한국,"한국,미국",커넥트픽쳐스(주),커넥트픽쳐스(주),전체관람가,다큐멘터리,전후석,"헤로니모,전후석"
100,철가면,,"1,662,000",0.0%,"1,662,000",831,831,1,12,프랑스,"프랑스,이탈리아",,,,어드벤처,,장 마레
101,82년생 김지영,2019-10-23,"6,869,000",0.0%,"30,305,411,310",826,"3,678,982",3,16,한국,한국,(주)봄바람영화사,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,김도영,"정유미,공유,김미경,공민정,박성연,이봉련,김성철,이얼,전국향,박세현,김미경,손성찬,강애심,김정영,예수정,염혜란,김해나,어성욱,권귀빈"
102,산딸기,2013-05-16,"1,626,000",0.0%,"10,256,700",808,"1,983",1,15,스웨덴,스웨덴,,㈜영화사 백두대간,12세이상관람가,드라마,잉마르 베리만,"빅터 소스트롬,비비 안데르손"
103,소녀가 소녀에게,2020-01-09,"7,761,100",0.0%,"7,876,100",796,819,9,95,일본,일본,,(주)디오시네마,15세이상관람가,드라마,에다 유카,
104,걸한트,,"1,558,000",0.0%,"1,558,000",779,779,1,20,미국,미국,,,,"코미디,멜로/로맨스",리처드 소프,스티브 맥퀸
105,성혜의 나라,2020-01-30,"6,222,480",0.0%,"6,404,480",778,815,28,60,한국,한국,닷 팩토리,아이 엠,12세이상관람가,드라마,정형석,"송지인,강두"
106,썩시드,2020-01-09,"7,331,200",0.0%,"9,405,200",774,"1,028",12,131,태국,태국,,주식회사 슈아픽처스,12세이상관람가,코미디,차야놉 분프라콥,
107,사탄은 잠들지 않는다,,"1,540,000",0.0%,"1,678,000",770,800,1,12,미국,미국,,,,"드라마,전쟁",레오 맥커레이,"윌리엄 홀든,클리프톤 웹"
108,카잔자키스,2020-01-30,"5,713,440",0.0%,"6,432,440",765,888,20,49,기타,기타,,(주)마노엔터테인먼트,12세이상관람가,드라마,,오디세즈 파파스필리오풀로스
109,더 프린세스 : 도둑맞은 공주,,"7,640,000",0.0%,"7,690,000",764,774,1,2,우크라이나,우크라이나,,(주)팝엔터테인먼트,전체관람가,"애니메이션,판타지",올레말라므,
110,그리고 신은 여자를 창조했다,,"1,522,000",0.0%,"1,522,000",761,761,1,15,프랑스,프랑스,,,,드라마,로제 바딤,브리지트 바르도
111,그린 북,2019-01-09,"6,091,500",0.0%,"3,678,414,860",748,"439,748",5,19,미국,미국,,CGV아트하우스,12세이상관람가,드라마,피터 패럴리,"비고 모텐슨,마허샬라 알리"
112,이태원,2019-12-05,"6,143,000",0.0%,"24,738,260",725,"3,096",7,115,한국,한국,영희야 놀자,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),15세이상관람가,다큐멘터리,강유가람,"삼숙,나키,영화"
113,벌새,2019-08-29,"6,113,000",0.0%,"1,181,979,074",701,"145,441",4,52,한국,한국,에피파니(주),"(주)엣나인필름,(주)콘텐츠판다",15세이상관람가,드라마,김보라,"박지후,김새벽,정인기,이승연,박수연,손용범,박서윤,길해연,손상연,설혜인,송경아,백금옥,엄경희,정원자,한승목,류혁진,원다영,곽다은,오명은,권세빈,조시연,권귀빈,박윤희,박윤희,김미향,안민영,엄윤채,김상호,김소현,김수연,이종윤,최수빈,이선주,정혜영,최원경,김종구,정경섭,조혜빈,윤태희,이현주,이연우,김예지,이예림,김채윤,김지원,김정헌,이춘희,이유진,정윤서,최민서,안진현,임세연,손채연,임혜원,안예은,형영선,박수현"
114,블랙머니,2019-11-13,"3,500,000",0.0%,"20,866,634,010",700,"2,479,664",5,35,한국,한국,"유한회사 질라라비,(주)아우라픽처스",(주)에이스메이커무비웍스,12세이상관람가,"범죄,드라마",정지영,"조진웅,이하늬,이경영,강신일,최덕문,조한철,허성태,강도연,정인기,윤진영,박영빈,최정현,엄지만,천재홍"
115,연산군,1962-01-01,"1,363,000",0.0%,"15,254,000",679,"7,453",1,12,한국,한국,신필름,,청소년관람불가,"사극,드라마",신상옥,"신영균,최은희,도금봉,신성일,김동원"
116,가버나움,2019-01-24,"5,208,500",0.0%,"1,208,433,519",652,"146,296",5,14,기타,기타,,"그린나래미디어(주),플레이리스트(주)",15세이상관람가,드라마,나딘 라바키,"자인 알 라피아,요르다노스 시프로우,보루와티프 트레저 반콜,나딘 라바키"
117,버즈 오브 프레이(할리 퀸의 황홀한 해방),2020-02-05,"9,360,000",0.0%,"9,360,000",624,624,1,1,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"액션,어드벤처,범죄",캐시 얀,"마고 로비,메리 엘리자베스 윈스티드,저니 스몰렛,로지 페레즈,이완 맥그리거,크리스 메시나,엘라 제이 바스코"
118,리버티 밸런스를 쏜 사나이,,"1,192,000",0.0%,"13,746,000",596,"6,198",1,13,미국,미국,,,,서부극(웨스턴),존 포드,존 웨인
119,차타레부인의 사랑,1981-08-01,"1,166,000",0.0%,"7,440,000",583,"3,512",1,11,프랑스,"프랑스,영국,독일",,(주)피터팬픽쳐스,연소자관람불가,"드라마,멜로/로맨스,성인물(에로)",쥐스트 쟈깽,"실비아 크리스텔,앤 미첼,쉐인 브라이언트"
120,토이 스토리 4,2019-06-20,"4,727,500",0.0%,"28,763,179,540",569,"3,400,603",6,33,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"애니메이션,어드벤처,코미디",조시 쿨리,"톰 행크스,팀 알렌,애니 팟츠,토니 헤일,키아누 리브스,조앤 쿠삭"
121,청춘여정,,"1,136,000",0.0%,"1,136,000",568,568,1,12,미국,미국,,,,드라마,,"캐롤 린레이,제프 챈들러"
122,작가 미상,2020-02-20,"2,619,500",0.0%,"2,619,500",522,522,7,7,독일,독일,,(주)영화사 진진,청소년관람불가,"드라마,스릴러",플로리안 헨켈 폰 도너스마르크,"톰 쉴링,세바스티안 코치,폴라 비어"
123,제시 제임스 스토리,,"1,047,000",0.0%,"1,137,000",521,541,1,10,미국,미국,,,,기타,니콜라스 레이,"로버트 와그너,제프리 헌터"
124,더 포리너,2018-02-07,"1,045,000",0.0%,"331,308,800",520,"41,574",1,16,영국,"영국,중국",,"(주)더블앤조이픽쳐스,TCO(주)더콘텐츠온",15세이상관람가,"액션,스릴러",마틴 캠벨,"성룡,피어스 브로스넌"
125,부베의 여인,,"1,048,000",0.0%,"4,486,000",519,"2,228",1,17,이탈리아,"이탈리아,프랑스",,,,"범죄,드라마",루이지 코멘치니,"클라우디아 카르디날레,조지 차키리스"
126,영화로운 나날,2019-12-12,"3,800,500",0.0%,"16,025,480",489,"2,035",5,56,한국,한국,콧수염필름즈,㈜인디스토리,12세이상관람가,"멜로/로맨스,드라마,판타지",이상덕,"조현철,김아현,전석호,서영화,이태경,공민정,윤태희"
127,월성,2019-12-12,"3,003,500",0.0%,"42,610,260",468,"5,138",5,40,한국,한국,한국탐사저널리즘센터,(주)리틀빅픽쳐스,전체관람가,다큐멘터리,"남태제,김성환",
128,아이다,2019-02-02,"6,848,000",0.0%,"79,268,000",457,"3,393",5,25,미국,미국,,(주) 인스터 글로벌,전체관람가,공연,,안나 네트렙코
129,공기인형,2010-04-08,"4,491,480",0.0%,"103,377,280",448,"13,318",15,36,일본,일본,아스믹에이스엔터테인먼트,"오드,씨제이엔터테인먼트","청소년관람불가,15세이상관람가","드라마,판타지",고레에다 히로카즈,"배두나,아라타,오다기리 조,이타오 이츠지"
130,로맨스 빠빠,1960-01-28,"870,000",0.0%,"10,673,000",435,"5,341",1,12,한국,한국,신필름,,15세이상관람가,"드라마,멜로/로맨스",신상옥,"신성일,주증녀,최은희,최은희"
131,하비,,"870,000",0.0%,"6,497,000",435,"3,215",1,15,,,,,,,,
132,지푸라기라도 잡고 싶은 짐승들,2020-02-19,"3,456,000",0.0%,"3,456,000",432,432,1,1,한국,한국,(주)비에이엔터테인먼트,메가박스중앙(주)플러스엠,청소년관람불가,"스릴러,범죄",김용훈,"전도연,정우성,배성우,윤여정,정만식,진경,신현빈,김준한,정가람,박지환,허동원,배진웅,장의돈"
133,캐롤,2016-02-04,"3,827,000",0.0%,"2,705,930,195",425,"326,375",1,13,미국,"미국,영국",,CGV아트하우스,청소년관람불가,드라마,토드 헤인즈,"케이트 블란쳇,루니 마라,카일 챈들러,제이크 레이시,사라 폴슨"
134,인비저블 게스트,2017-09-21,"852,000",0.0%,"764,629,800",407,"95,390",1,11,스페인,스페인,,(주)더블앤조이픽쳐스,15세이상관람가,"범죄,미스터리,스릴러",오리올 파울로,"마리오 카사스,안나 와게너,호세 코로나도,바바라 레니"
135,전송가,,"810,000",0.0%,"14,876,000",405,"7,450",1,8,미국,미국,유니버셜 픽쳐스,,,"전쟁,드라마",더글라스 서크,"록 허드슨,안나 카스피,댄 두리아,돈 드 프레,마사 하이어"
136,젊은 사자들,,"766,000",0.0%,"9,185,000",405,"4,655",1,4,미국,미국,,,18세 미만인 자는 관람할 수 없는 등급,"드라마,전쟁",에드워드 디미트릭,"말론 브란도,몽고메리 클리프트,딘 마틴"
137,라라랜드,2016-12-07,"3,749,000",0.0%,"30,047,900,388",397,"3,601,999",2,16,미국,미국,,판씨네마(주),12세이상관람가,"드라마,뮤지컬,멜로/로맨스",데이미언 셔젤,"엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스,로즈마리 드윗"
138,페어웰,,"3,116,000",0.0%,"3,116,000",396,396,2,5,미국,미국,,오드,전체관람가,"가족,드라마",룰루 왕,아콰피나
139,백야의 탈출,,"756,000",0.0%,"4,206,000",395,"1,670",1,6,미국,미국,,,,"어드벤처,드라마",윌리엄 A. 웰만,"존 웨인,로이드 놀랜"
140,무기여 잘 있거라,1974-01-01,"702,000",0.0%,"21,559,034",392,"11,625",1,6,미국,미국,,,,"드라마,멜로/로맨스",찰스 비더,"록 허드슨,제니퍼 존스,비토리오 데 시카"
141,해저 2만리,,"767,000",0.0%,"26,652,000",391,"12,880",1,9,미국,미국,월트 디즈니 프로덕션,,전체관람가,"SF,어드벤처,가족",리차드 플레이셔,"커크 더글라스,제임스 메이슨"
142,흑과 백,,"779,000",0.0%,"4,737,000",391,"2,298",1,5,미국,미국,,,12세관람가,"범죄,스릴러",스탠리 크래이머,"토니 커티스,시드니 포이티어"
143,달려오는 사람들,,"730,000",0.0%,"4,506,000",365,"2,248",1,9,미국,미국,,,,드라마,,"프랭크 시내트라,셜리 맥클레인"
144,황색리본,,"675,000",0.0%,"5,951,000",350,"2,828",1,6,미국,미국,,,,"드라마,서부극(웨스턴)",존 포드,"존 웨인,조안나 드루"
145,잃어버린 세계를 찾아서,2019-10-09,"2,546,000",0.0%,"163,817,360",349,"21,601",40,103,미국,미국,,(주)이수C&E,전체관람가,"애니메이션,어드벤처",크리스 버틀러,"휴 잭맨,조 샐다나,자크 갈리피아나키스,엠마 톰슨"
146,천국과 지옥,,"574,000",0.0%,"1,223,000",336,664,1,8,미국,미국,,,12세관람가,"드라마,전쟁",리차드 플레이셔,"로버트 와그너,테리 무어,브로데릭 크로포드"
147,레미제라블,2012-12-19,"3,012,000",0.0%,"43,103,140,000",330,"5,922,633",1,11,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,톰 후퍼,"휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터"
148,오페라의 유령,2004-12-08,"2,741,500",0.0%,"10,098,420,100",317,"1,578,678",2,12,미국,미국,워너 브러더스 픽쳐스,"(주)팝엔터테인먼트,(주)드림팩트엔터테인먼트,씨제이엔터테인먼트","12세이상관람가,12세관람가","뮤지컬,드라마",조엘 슈마허,"제라드 버틀러,에미 로섬,패트릭 윌슨,미란다 리차드슨"
149,왼손잡이 권총,,"626,000",0.0%,"3,735,000",313,"1,876",1,7,미국,미국,,,15세이상관람가,서부극(웨스턴),아서 펜,"폴 뉴먼,리타 밀란"
150,물랑루즈,2001-10-26,"2,809,000",0.0%,"145,992,655",308,"22,602",2,14,미국,미국,,"(주)프레인글로벌,이십세기폭스필름코퍼레이션",15세관람가,"멜로/로맨스,뮤지컬",바즈 루어만,"이완 맥그리거,니콜 키드먼,존 레귀자모"
151,악의 손길,2008-11-24,"616,000",0.0%,"7,997,000",308,"3,348",1,8,미국,미국,,,15세관람가,"범죄,스릴러",오손 웰즈,"오손 웰즈,찰톤 헤스톤"
152,트로이의 헤렌,,"598,000",0.0%,"11,399,000",307,"5,736",1,6,미국,미국,워너 브러더스 픽쳐스,,,"사극,전쟁",로버트 와이즈,"로잔나 포에스타,자크 쎄나스,세드릭 하드윅,스탠리 베이커"
153,사람보,,"616,000",0.0%,"1,760,000",303,875,1,5,프랑스,"프랑스,이탈리아",,,,"액션,드라마",세르지오 그리코,
154,애수,,"586,000",0.0%,"40,676,500",302,"18,291",1,6,미국,미국,,,전체관람가,"드라마,전쟁,멜로/로맨스",머빈 르로이,"비비안 리,로버트 테일러"
155,라보엠,2014-12-20,"4,678,000",0.0%,"69,302,000",299,"4,613",6,14,독일,독일,,(주)쓰리캣프로덕션,전체관람가,멜로/로맨스,로버트 돈헴,안나 네트렙코
156,삽질,2019-11-14,"2,060,000",0.0%,"123,401,530",294,"15,570",2,7,한국,한국,ohmynews,(주)엣나인필름,12세이상관람가,다큐멘터리,김병기,"이명박,김종술,김병기"
157,졸업,1971-06-19,"2,382,000",0.0%,"6,388,000",294,"1,177",1,2,미국,미국,유나이티드 아티스트,시네마 뉴원,"청소년관람불가,15세이상관람가","드라마,코미디",마이크 니콜스,"앤 밴크로프트,더스틴 호프만"
158,인생의 조건,,"586,000",0.0%,"2,104,000",293,"1,052",1,8,미국,미국,,,,"코미디,드라마,멜로/로맨스",로버트 멀리건,
159,너의 이름은.,2017-01-04,"2,232,000",0.0%,"29,898,038,256",279,"3,715,368",1,2,일본,일본,,메가박스중앙(주)플러스엠,12세이상관람가,"애니메이션,드라마,멜로/로맨스",신카이 마코토,"카미키 류노스케,카미시라이시 모네,나가사와 마사미,이치하라 에수코,유키 아오이,시마자키 노부나가,이시카와 카이토,타니 카논"
160,시마론,,"534,000",0.0%,"4,355,000",275,"2,183",1,6,,,,,,,,
161,조,2019-07-11,"1,621,000",0.0%,"138,377,096",270,"17,048",1,2,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,"멜로/로맨스,SF",드레이크 도리머스,"레아 세이두,이완 맥그리거"
162,서울의 지붕 밑,,"502,000",0.0%,"5,853,000",263,"2,945",1,6,한국,한국,신필름,,,"코미디,드라마",이형표,"김승호,허장강,김희갑,최은희,김진규,황정순"
163,누구를 위하여 종은 울리나,1972-03-18,"516,000",0.0%,"33,205,586",258,"18,344",1,15,미국,미국,파라마운트 픽쳐스,,미정,"드라마,멜로/로맨스,전쟁",샘 우드,"잉그리드 버그만,게리 쿠퍼"
164,벽안의 나비부인,,"502,000",0.0%,"1,884,000",251,942,1,8,미국,미국,,,,"코미디,드라마,멜로/로맨스",잭 카디프,"셜리 맥클레인,이브 몽땅"
165,과외 누나,2020-01-03,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이가온,
166,아스테릭스: 마법 물약의 비밀,2019-12-12,"1,244,000",0.0%,"78,814,680",244,"12,714",3,10,프랑스,프랑스,,(주)박수엔터테인먼트,전체관람가,"애니메이션,어드벤처","루이 클리시,알렉상드르 아스티에","박성영,서반석"
167,엄마와 딸,2020-01-30,"1,183,000",0.0%,"1,183,000",244,244,20,20,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이동현,
168,멀홀랜드 드라이브,2001-11-30,"1,158,000",0.0%,"105,900,882",241,"13,341",1,4,미국,미국,,(주)영화사 안다미로,18세관람가,"드라마,미스터리",데이빗 린치,"로라 해링,나오미 왓츠"
169,크롤,2019-11-27,"1,872,000",0.0%,"1,128,159,080",240,"140,576",1,10,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"액션,스릴러",알렉산더 아야,"카야 스코델라리오,배리 페퍼"
170,대통령의 7시간,2019-11-14,"1,874,000",0.0%,"241,256,840",238,"28,618",4,50,한국,한국,(주)씨네포트,"(주)씨네포트,주식회사 마운틴픽쳐스",12세이상관람가,다큐멘터리,이상호,
171,허슬러,2019-11-27,"1,572,000",0.0%,"358,343,960",236,"44,045",5,52,미국,미국,,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",청소년관람불가,"범죄,드라마",로렌 스카파리아,"제니퍼 로페즈,콘스탄스 우,릴리 라인하트,줄리아 스타일즈"
172,보리밭을 흔드는 바람,2006-11-02,"1,414,000",0.0%,"93,828,620",229,"14,267",1,9,영국,"영국,독일,아일랜드,이탈리아",,"(주)영화사 진진,(주)동숭아트센터",15세관람가,드라마,켄 로치,"킬리언 머피,리암 커닝햄"
173,빈폴,2020-02-27,"1,790,000",0.0%,"1,790,000",229,229,2,3,러시아,러시아,,(주)팝엔터테인먼트,15세이상관람가,"드라마,전쟁",칸테미르 발라고프,"빅토리아 미로시니첸코,바실리사 페렐리지나"
174,러브 앳,2019-11-27,"1,773,000",0.0%,"746,898,500",226,"93,311",2,15,프랑스,"프랑스,벨기에",,(주)크리픽쳐스,12세이상관람가,"멜로/로맨스,코미디",위고 젤랭,프랑수아 시빌
175,올모스트 엔젤스,,"432,000",0.0%,"1,336,000",216,668,1,12,미국,미국,,,,"가족,코미디",,한스 홀트
176,속물들,2019-12-12,"1,161,800",0.0%,"22,110,240",214,"2,970",3,32,한국,한국,영화사고래,(주)삼백상회,15세이상관람가,드라마,"신아가,이상철","유다인,심희섭,송재림,유재명,옥자연,백수장,이경민,조현식,윤충"
177,하이큐!! 재능과 센스,2017-11-15,"1,010,000",0.0%,"311,593,500",202,"43,487",1,2,일본,일본,,(주)이수C&E,12세이상관람가,애니메이션,미츠나카 스스무,
178,행동하는 양심 김대중,2019-11-28,"1,800,000",0.0%,"45,039,360",200,"5,676",1,1,한국,한국,명량문화재단,주식회사 마운틴픽쳐스,12세이상관람가,다큐멘터리,신상민,"김대중,이금희"
179,하이큐!! 콘셉트의 싸움,2018-01-11,"985,000",0.0%,"183,813,000",197,"25,144",1,2,일본,일본,,(주)팝엔터테인먼트,12세이상관람가,애니메이션,미츠나카 스스무,
180,메기,2019-09-26,"1,650,000",0.0%,"327,981,828",191,"38,886",1,15,한국,한국,"국가인권위원회,2X9HD","(주)엣나인필름,CGV아트하우스",15세이상관람가,"미스터리,코미디",이옥섭,"이주영,문소리,구교환,동방우,권해효,김꽃비,오희준,박경혜,박강섭,임수형,심달기,박종환,윤정재,던밀스,박길수,천우희,이주영,이옥섭,유지영"
181,전쟁과 평화,1977-09-27,"380,000",0.0%,"28,655,774",190,"14,810",1,3,미국,미국,파라마운트 픽쳐스,,연소자관람가,"드라마,멜로/로맨스,전쟁",킹 비더,"오드리 헵번,헨리 폰다,멜 페레,비토리오 가스만"
182,기인들,,"352,000",0.0%,"8,473,000",185,"3,927",1,6,미국,미국,,,,"서부극(웨스턴),드라마",존 휴스턴,"클라크 게이블,마릴린 몬로,몽고메리 클리프트"
183,애국자 게임 2 - 지록위마,,"1,203,000",0.0%,"6,781,500",183,883,2,17,한국,한국,,,,다큐멘터리,경순,
184,그대와 영원히,1958-01-15,"360,000",0.0%,"3,733,000",180,"1,899",1,15,한국,한국,삼성영화사,,,"액션,드라마,멜로/로맨스",유현목,"이룡,도금봉,장민호"
185,카센타,2019-11-27,"1,080,000",0.0%,"112,552,000",180,"14,839",1,1,한국,한국,팔팔애비뉴(주),(주)트리플픽쳐스,15세이상관람가,"범죄,코미디",하윤재,"박용우,조은지,현봉식,김한종,이서환,안민영,황재열"
186,돈 워리,2019-07-25,"1,075,000",0.0%,"121,990,854",179,"15,745",1,2,미국,미국,,"그린나래미디어(주),(주)다날엔터테인먼트",15세이상관람가,드라마,구스 반 산트,"호아킨 피닉스,조나 힐,루니 마라,잭 블랙"
187,폴링 인 러브,1987-03-21,"366,000",0.0%,"4,186,000",178,"2,021",1,15,미국,미국,,,미성년자관람불가,"드라마,멜로/로맨스",울루 그로스바드,메릴 스트립
188,하이큐!! 끝과 시작,2016-11-16,"880,000",0.0%,"728,665,000",176,"100,030",1,2,일본,일본,,(주)팝엔터테인먼트,12세이상관람가,애니메이션,미츠나카 스스무,"히노 사토시,이리노 미유"
189,하이큐!! 승자와 패자,2016-12-28,"875,000",0.0%,"382,735,000",175,"53,373",1,2,일본,일본,,"(주)이수C&E,(주)팝엔터테인먼트",12세이상관람가,애니메이션,미츠나카 스스무,
190,아들과 연인,,"348,000",0.0%,"348,000",174,174,1,5,영국,영국,,,,드라마,잭 카디프,"트레버 하워드,딘 스톡웰"
191,무한정사,2020-01-02,"940,000",0.0%,"940,000",171,171,20,20,한국,한국,오디씨네마,오디씨네마,청소년관람불가,성인물(에로),최재후,
192,주말 오후6시의 연인,2020-01-16,"943,000",0.0%,"943,000",171,171,20,20,한국,한국,(주)나우콘텐츠,(주)나우콘텐츠,청소년관람불가,멜로/로맨스,왕지방,"민도윤,조완진"
193,경계선,2019-10-24,"1,401,000",0.0%,"149,662,880",170,"17,884",1,22,스웨덴,"스웨덴,덴마크",,(주)제이앤씨미디어그룹,청소년관람불가,"판타지,멜로/로맨스",알리 아바시,"에바 멜란데르,에로 밀로노프"
194,도도녀 길들이기,2020-01-10,"937,000",0.0%,"988,000",170,187,20,20,한국,한국,선셋 시네마,선셋 시네마,청소년관람불가,"멜로/로맨스,코미디",신성진,
195,세상을 바꾼 변호인,2019-06-13,"1,021,000",0.0%,"388,107,170",170,"49,625",1,1,미국,미국,,CGV아트하우스,12세이상관람가,드라마,미미 레더,"펠리시티 존스,아미 해머,저스틴 세럭스,캐시 베이츠,샘 워터스톤"
196,신데렐라,2018-12-01,"2,424,000",0.0%,"41,170,000",170,"1,924",6,17,미국,미국,,(주) 인스터 글로벌,전체관람가,공연,,
197,지구를 지켜라,2003-04-04,"1,331,000",0.0%,"2,190,500",170,315,1,1,한국,한국,(주)싸이더스,씨제이엔터테인먼트,18세관람가,코미디,장준환,"신하균,백윤식,황정민,이재용,이주현,기주봉,김영찬,김동현,이현아,김중규,이무현,김뢰하,예수정,김기천"
198,대리 남편,2020-01-03,"933,000",0.0%,"933,000",169,169,20,20,한국,한국,재밌는 그림,(주)태왕엔터웍스,청소년관람불가,기타,박준석,
199,아내와 내 친구들,2020-01-03,"934,000",0.0%,"934,000",169,169,20,20,한국,한국,(주)나우콘텐츠,(주)나우콘텐츠,청소년관람불가,멜로/로맨스,최재후,조완진
200,어린 관리사,2020-01-10,"933,000",0.0%,"933,000",169,169,20,20,한국,한국,(주)영화사히트,(주)영화사히트,청소년관람불가,성인물(에로),최성은,
201,어린 누나 4,2020-01-23,"933,000",0.0%,"933,000",169,169,20,20,한국,한국,너바나 필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,김태수,
202,어린 이모 3,2020-01-02,"933,000",0.0%,"933,000",169,169,20,20,한국,한국,모히또필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,계장혁,
203,어린 처형 3,2020-01-09,"934,000",0.0%,"934,000",169,169,20,20,한국,한국,모히또필름,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,정진호,
204,엄마의 일기,2020-01-30,"933,000",0.0%,"933,000",169,169,20,20,한국,한국,컨텐츠레드,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,
205,처제의 비밀,2020-01-29,"933,000",0.0%,"933,000",169,169,20,20,한국,한국,(주)나우콘텐츠,(주)나우콘텐츠,청소년관람불가,멜로/로맨스,최재후,조완진
206,동경 이야기,2014-08-16,"1,236,000",0.0%,"11,353,400",163,"1,522",1,2,일본,일본,,오드,전체관람가,드라마,오즈 야스지로,"치슈 류,히가시야마 치에코"
207,프란츠,2017-07-20,"1,287,000",0.0%,"152,716,300",163,"20,983",1,4,프랑스,프랑스,,찬란,12세이상관람가,"멜로/로맨스,드라마",프랑수아 오종,"피에르 니네이,폴라 비어"
208,무림방주: 절대고수의 탄생,2020-01-10,"669,000",0.0%,"669,000",162,162,18,44,중국,중국,,(유)조이앤시네마,15세이상관람가,"사극,액션",조지,황건
209,천로역정: 천국을 찾아서,2019-06-13,"339,000",0.0%,"2,203,177,010",162,"296,750",1,8,미국,미국,,"(재)CBS,주식회사 마운틴픽쳐스",전체관람가,"애니메이션,어드벤처",로버트 페르난데스,
210,"나, 다니엘 블레이크",2016-12-08,"995,000",0.0%,"741,859,460",161,"98,966",2,9,영국,영국,,(주)영화사 진진,12세이상관람가,드라마,켄 로치,데이브 존스
211,자매들:감금의 추억,2020-01-17,"888,000",0.0%,"888,000",160,160,20,20,한국,한국,주식회사 플릭스코,주식회사 플릭스코,청소년관람불가,드라마,한동호,민도윤
212,기억할 만한 지나침,2019-12-19,"971,000",0.0%,"1,681,500",157,274,5,50,한국,한국,순리필름,영화배급협동조합 씨네소파,15세이상관람가,드라마,박영임,
213,아이 엠 브리딩,2019-12-19,"1,022,000",0.0%,"8,307,600",150,"1,167",4,42,영국,영국,,독포레스트,12세이상관람가,다큐멘터리,"엠마 데이비,모라그 맥키넌","닐 플랫,루이즈 플랫,오스카 플랫,린 플랫"
214,일일시호일,2019-01-17,"1,236,000",0.0%,"332,495,019",148,"42,079",1,10,일본,일본,,(주)영화사 진진,12세이상관람가,드라마,오오모리 타츠시,"키키 키린,타베 미카코,쿠로키 하루"
