,영화명,개봉일,매출액,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
39,핑크퐁 시네마 콘서트 : 우주대탐험,2020-01-30,"47,057,500",0.0%,"47,057,500","6,504","6,504",176,642,한국,한국,스마트스터디(주)
40,몽마르트 파파,2020-01-09,"46,613,800",0.0%,"49,244,800","6,277","6,673",42,553,한국,한국,(주)트리플픽쳐스
41,클로젯,2020-02-05,"51,170,000",0.0%,"51,170,000","5,865","5,865",10,27,한국,한국,씨제이이앤엠(주)
42,아내를 죽였다,2019-12-11,"29,437,000",0.0%,"794,209,560","5,795","97,719",16,41,한국,한국,케이티하이텔(주)
43,차일드 인 타임,2020-01-09,"48,508,420",0.0%,"50,930,420","5,719","6,081",75,669,영국,영국,(주)팝엔터테인먼트
44,목격자-눈이 없는 아이,2020-01-29,"16,305,540",0.0%,"16,305,540","5,622","5,622",43,170,중국,중국,(주)드림팩트엔터테인먼트
45,신의 은총으로,2020-01-16,"41,170,820",0.0%,"43,023,820","5,349","5,615",41,433,프랑스,프랑스,찬란
46,에릭 클랩튼: 기타의 신,2020-01-23,"37,751,422",0.0%,"38,917,422","4,778","4,938",28,247,영국,영국,(주)영화사 진진
47,걸즈 앤 판처 최종장 제1화,2020-01-08,"38,676,620",0.0%,"38,676,620","4,380","4,380",55,580,일본,일본,(주)디스테이션
48,윤희에게,2019-11-14,"31,674,108",0.0%,"963,547,609","3,870","120,889",11,223,한국,한국,(주)리틀빅픽쳐스
49,조커,2019-10-02,"28,864,080",0.0%,"45,409,939,530","3,849","5,251,723",67,325,미국,미국,워너브러더스 코리아(주)
50,와일드라이프,2019-12-25,"30,228,360",0.0%,"98,869,120","3,715","12,391",36,374,미국,미국,"그린나래미디어(주),씨네그루(주)키다리이엔티"
51,러브레터,1999-11-20,"33,498,520",0.0%,"861,347,734","3,632","111,022",17,218,일본,일본,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,(유)조이앤시네마,(주)팝엔터테인먼트"
52,알라딘,2019-05-23,"27,784,000",0.0%,"106,982,922,359","3,473","12,555,756",6,46,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
53,작은 아씨들,2020-02-12,"25,709,000",0.0%,"25,709,000","3,127","3,127",6,30,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
54,페인 앤 글로리,2020-02-05,"26,893,800",0.0%,"26,893,800","3,034","3,034",20,52,스페인,스페인,(주)제이앤씨미디어그룹
55,"베를린, 아이 러브 유",2019-12-04,"4,304,000",0.0%,"5,693,900","2,980","3,146",1,10,독일,독일,(주)영화사 안다미로
56,겨울왕국,2014-01-16,"25,406,500",0.0%,"82,509,480,900","2,966","10,301,709",6,107,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
57,파비안느에 관한 진실,2019-12-05,"20,511,260",0.0%,"301,510,700","2,798","45,268",20,169,프랑스,프랑스,(주)티캐스트
58,결혼 이야기,2019-11-27,"21,749,200",0.0%,"185,071,760","2,366","22,480",7,117,영국,영국,판씨네마(주)
59,쥬만지: 넥스트 레벨,2019-12-11,"18,350,960",0.0%,"8,793,014,370","2,303","1,057,266",13,119,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
60,조조 래빗,2020-02-05,"16,823,000",0.0%,"16,823,000","2,162","2,162",6,28,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
61,벌룬,2020-01-16,"16,365,500",0.0%,"16,366,500","1,941","1,942",24,271,독일,독일,주식회사 세미콜론스튜디오
62,프란치스코 교황 : 맨 오브 히스 워드,2019-11-21,"13,642,000",0.0%,"286,673,260","1,940","39,222",5,84,이탈리아,"이탈리아,스위스,독일,프랑스","㈜영화사 백두대간,영화사 풀"
63,원스 어폰 어 타임... 인 할리우드,2019-09-25,"13,802,000",0.0%,"2,283,609,670","1,870","279,189",18,76,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
64,아이리시맨,2019-11-20,"14,356,440",0.0%,"307,823,340","1,770","36,493",6,76,미국,미국,판씨네마(주)
65,쥬라기 프레데터,2019-12-16,"3,564,000",0.0%,"3,565,000","1,710","1,711",1,10,영국,영국,(주)영화사 안다미로
66,쥬라기 펫의 모험,2019-12-24,"3,379,000",0.0%,"3,380,000","1,601","1,602",1,11,미국,미국,(주)영화사 안다미로
67,지옥의 영웅들,,"3,172,000",0.0%,"5,694,000","1,581","2,778",1,20,미국,미국,
68,날씨의 아이,2019-10-30,"13,023,240",0.0%,"5,426,311,650","1,561","657,437",2,45,일본,일본,"(주)미디어캐슬,워터홀컴퍼니(주)"
