,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,actor_involved,전국관객수
556,설해,2015-01-08,9003000,0.0,9003000,1137,1137,4,7,한국,한국,(주)맑음영화사,"(주)마인스 엔터테인먼트,주식회사 마운틴픽쳐스",12세이상관람가,"멜로/로맨스,드라마",김정권,"박해진,이영아,송재희,전무송,최원주,이상민,이기열,윤기호,김수환,김정권,김혜진,박재한,성낙규,김정균,이용녀,오은호,편보승,정재훈","박해진, 이영아, 송재희",2015,True,2796
557,룸13,2014-11-13,4503500,0.0,4503500,565,565,8,80,미국,미국,,(주)팝엔터테인먼트,청소년관람불가,"범죄,액션,스릴러",데이빗 그로빅,"존 쿠삭,로버트 드 니로,레베카 다 코스타","존 쿠삭, 로버트 드 니로, 레베카 다 코스타",2014,True,565
558,엘리노어 릭비: 그 남자 그 여자,2015-04-09,4855000,0.0,4855000,559,559,1,3,미국,미국,,(주)이수C&E,15세이상관람가,드라마,네드 벤슨,"제임스 맥어보이,제시카 차스테인,이자벨 위페르,윌리엄 허트","제임스 맥어보이, 제시카 차스테인, 이자벨 위페르",2015,True,46589
559,언브로큰,2015-01-07,2608000,0.0,2608000,326,326,1,1,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,드라마,전쟁",안젤리나 졸리,"잭 오코넬,도널 글리슨,가렛 헤드룬드,핀 위트록","잭 오코넬, 도널 글리슨, 가렛 헤드룬드",2015,True,256475
560,꿈보다 해몽,2015-02-12,1881200,0.0,1881200,235,235,1,4,한국,한국,영화사 벽돌,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),15세이상관람가,"드라마,코미디",이광국,"유준상,신동미,김강현,이채은,이주원,박수민,서영화,윤영민,백수장,이봉련,김동현","유준상, 신동미, 김강현",2015,True,4087
561,소셜포비아,2015-03-12,1187200,0.0,1187200,203,203,1,2,한국,한국,한국영화아카데미,CGV아트하우스,15세이상관람가,"스릴러,드라마",홍석재,"변요한,이주승,하윤경,이강욱,류준열,배유람,임지호,엄기성,하상명,전신환,김종수,남문철,오희준,박근록,박예영","변요한, 이주승, 하윤경",2015,True,248215
562,화장,2015-04-09,929000,0.0,929000,137,137,1,1,한국,한국,(주)명필름,(주)리틀빅픽쳐스,청소년관람불가,드라마,임권택,"안성기,김규리,김호정,박혜미,윤종호,이소정,이은경,안석환,연우진,김병춘,주현,어성욱,김기천,차청화,한이진","안성기, 김규리, 김호정",2015,True,140616
563,한여름의 판타지아,2015-06-11,621500,0.0,621500,100,100,1,3,한국,"한국,일본",(주)모쿠슈라,㈜인디스토리,전체관람가,드라마,장건재,"김새벽,이와세 료,임형국","김새벽, 이와세 료, 임형국",2015,True,21380
564,토미리존스의 쓰리베리얼,2014-10-07,396000,0.0,396000,68,68,1,6,미국,"미국,프랑스",,미디어소프트,청소년관람불가,"어드벤처,범죄,드라마",토미 리 존스,"토미 리 존스,배리 페퍼,드라이트 요아캄","토미 리 존스, 배리 페퍼, 드라이트 요아캄",2014,True,10
565,더 트루스: 무언의 제보자,2014-08-21,270000,0.0,270000,54,54,1,1,미국,미국,,(주)미디어데이,청소년관람불가,"드라마,스릴러",로드 루리,"케이트 베킨세일,맷 딜런,베라 파미가,데이빗 쉼머","케이트 베킨세일, 맷 딜런, 베라 파미가",2014,True,54
566,바이올렛 앤 데이지,2014-09-04,270000,0.0,270000,54,54,1,1,미국,미국,,(주)미디어데이,청소년관람불가,"액션,스릴러",제프리 플레쳐,"시얼샤 로넌,알렉시스 블레델,제임스 갠돌피니,대니 트레조","시얼샤 로넌, 알렉시스 블레델, 제임스 갠돌피니",2014,True,54
567,박물관을 털어라,2014-08-21,270000,0.0,270000,54,54,1,1,미국,미국,,(주)미디어데이,15세이상관람가,"코미디,액션,범죄",피터 휴잇,"모건 프리먼,크리스토퍼 월켄,윌리엄 H. 머시,마샤 게이 하든","모건 프리먼, 크리스토퍼 월켄, 윌리엄 H. 머시",2014,True,54
568,범죄도시,2014-10-23,270000,0.0,270000,54,54,1,1,미국,미국,,(주)미디어데이,청소년관람불가,"액션,스릴러",브라이언 굿맨,"마크 러팔로,에단 호크,아만다 피트","마크 러팔로, 에단 호크, 아만다 피트",2014,True,54
569,가디언스,2014-11-24,250000,0.0,250000,50,50,1,1,독일,독일,,씨네그루(주)다우기술,청소년관람불가,"액션,범죄",틸 슈바이거,"카롤리네 슈허,틸 슈바이거,모리츠 블라이브트로이,루나 슈바이거","카롤리네 슈허, 틸 슈바이거, 모리츠 블라이브트로이",2014,True,50
570,갓 헬프 더 걸,2015-02-12,373000,0.0,373000,47,47,1,1,영국,영국,,찬란,15세이상관람가,"뮤지컬,멜로/로맨스",스튜어트 머독,"에밀리 브라우닝,올리 알렉산더,한나 머레이","에밀리 브라우닝, 올리 알렉산더, 한나 머레이",2015,True,5029
571,창백한 얼굴들,2015-09-10,149000,0.0,149000,25,25,1,3,한국,한국,한국영화아카데미,CGV아트하우스,청소년관람불가,애니메이션,허범욱,"조민수,진성민,허범욱,허범욱,김민지,김민지,김민지,김민지,이성일,이성일,이성일,이성일,이성일,이성일,이성일,이규창,이규창,이규창,이규창,이규창,이규창,이규창,이규창,이규창,이규창,윤금선아,전국향","조민수, 진성민, 허범욱",2015,True,280
572,데빌스 노트,2014-12-04,8000,0.0,8000,1,1,1,1,미국,미국,,(주)누리픽쳐스,15세이상관람가,"범죄,스릴러",아톰 에고이안,"콜린 퍼스,리즈 위더스푼,데인 드한,스테판 모이어","콜린 퍼스, 리즈 위더스푼, 데인 드한",2014,True,1
573,진구세주전설 북두의권 1부 라오우전 순애의 장,2014-12-26,9000,0.0,9000,1,1,1,1,일본,일본,,(주)미디어캐슬,15세이상관람가,애니메이션,이마무라 타카히로,"아베 히로시,우카지 타카시,이시다 유리코,시바사키 코우","아베 히로시, 우카지 타카시, 이시다 유리코",2014,True,1
574,진구세주전설 북두의권 3부 라오우전 격투의 장,2014-12-27,9000,0.0,9000,1,1,1,1,일본,일본,,(주)미디어캐슬,15세이상관람가,애니메이션,히라노 토시키,"아베 히로시,우카지 타카시,이시다 유리코,시바사키 코우","아베 히로시, 우카지 타카시, 이시다 유리코",2014,True,1
575,파라노이아,2014-09-18,8000,0.0,8000,1,1,1,1,미국,"미국,프랑스",,(주)누리픽쳐스,15세이상관람가,"드라마,스릴러",로버트 루케틱,"리암 헴스워스,게리 올드만,앰버 허드,해리슨 포드","리암 헴스워스, 게리 올드만, 앰버 허드",2014,True,1
576,플라이트 7500,2014-12-16,8000,0.0,8000,1,1,1,1,미국,미국,,페어팍스인터내셔날(주),15세이상관람가,"미스터리,공포(호러)",시미즈 다카시,"라이언 콴튼,제리 페라라,에이미 스마트,레슬리 빕","라이언 콴튼, 제리 페라라, 에이미 스마트",2014,True,1
577,어벤져스: 에이지 오브 울트론,2015-04-23,88582586366,0.116,88582586366,10494499,10494499,1843,191778,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",조스 웨던,"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨,제레미 레너,돈 치들,애런 존슨,엘리자베스 올슨,폴 베타니,코비 스멀더스,제임스 스페이더,사무엘 L. 잭슨,수현","로버트 다우니 주니어, 크리스 헴스워스, 마크 러팔로",2015,True,10494499
578,킹스맨 : 시크릿 에이전트,2015-02-11,50369009795,0.066,50369009795,6129681,6129681,728,139988,미국,"미국,영국",,이십세기폭스코리아(주),청소년관람불가,"액션,스릴러",매튜 본,"콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인","콜린 퍼스, 태런 에저튼, 사무엘 L. 잭슨",2015,True,6125154
579,쥬라기 월드,2015-06-11,40130812071,0.053,40130812071,4565888,4565888,1290,94927,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",콜린 트레보로우,"크리스 프랫,주디 그리어,브라이스 달라스 하워드,케이티 맥그라스,제이크 존슨,빈센트 도노프리오","크리스 프랫, 주디 그리어, 브라이스 달라스 하워드",2015,True,4565888
580,조선명탐정 : 사라진 놉의 딸,2015-02-11,30456879428,0.04,30456879428,3872015,3872015,825,80499,한국,한국,청년필름(주),(주)쇼박스,12세이상관람가,"사극,코미디,어드벤처",김석윤,"김명민,오달수,이연희,강다현,전건익,정명철,박지선,배영민,정혜은,조관우,조명행,최지명,송병철,김나현,이경용,이귀현,이낙준,한대룡,이선도,이성동,이용우,김태환,정원중,남윤나,류광일,류현상,최무성,김원해,우현,황정민,이정은,박수영,권범택","김명민, 오달수, 이연희",2015,True,3872015
581,매드 맥스: 분노의 도로,2015-05-14,32781268462,0.043,32781268462,3828994,3828994,799,98416,미국,"미국,호주",,워너브러더스 코리아(주),15세이상관람가,"액션,어드벤처,스릴러",조지 밀러,"톰 하디,샤를리즈 테론,니콜라스 홀트,조 크라비츠,로지 헌팅턴-휘틀리,라일리 코프,메간 게일,애비 리,코트니 이튼","톰 하디, 샤를리즈 테론, 니콜라스 홀트",2015,True,3828994
582,분노의 질주: 더 세븐,2015-04-01,26454098694,0.035,26454098694,3247955,3247955,983,93612,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,범죄,스릴러",제임스 완,"빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀","빈 디젤, 폴 워커, 드웨인 존슨",2015,True,3247558
583,스물,2015-03-25,23558988686,0.031,23558988686,3044134,3044134,926,100151,한국,한국,"(주)영화나무,(주)아이에이치큐",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이병헌,"김우빈,이준호,강하늘,정덕희,주창욱,권지훈,오하늬,오현경,이성두,정소민,안재홍,이유비,김의성,김종수,민지,황미영,서호철,박명신,양현민,허준석,한준우,백수희,차민지,정주연,홍완표,곽진석","김우빈, 이준호, 강하늘",2015,True,3044134
584,빅 히어로,2015-01-21,21993119765,0.029,21993119765,2801949,2801949,825,62228,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,코미디","돈 홀,크리스 윌리암스","라이언 포터,스콧 애짓,다니엘 헤니,제이미 정,T.J. 밀러,제네시스 로드리게스,데이몬 웨이언스 주니어,마야 루돌프,제임스 크롬웰,알란 터딕","라이언 포터, 스콧 애짓, 다니엘 헤니",2015,True,2801949
585,극비수사,2015-06-18,18338857652,0.024,18338857652,2330813,2330813,894,49046,한국,한국,"(주)제이콘컴퍼니,(주)영화사 신세계",(주)쇼박스,15세이상관람가,"드라마,범죄",곽경택,"김윤석,유해진,송영창,장영남,정호빈,이준혁,이종일,장성훈,정규용,정기용,백승호,이효제,최원,송승현,신유경,양중경,유주영,홍명기,이석현,이소영,이승준,이윤희,이인규,주영호,박효주,이재용,남문철,황성준,조민준,장지건,현봉식,김태훈,천명재","김윤석, 유해진, 송영창",2015,True,2330813
586,강남 1970,2015-01-21,17717971499,0.023,17717971499,2192172,2192172,841,53302,한국,한국,"(주)모베라픽처스,(주)쇼박스",(주)쇼박스,청소년관람불가,"액션,드라마",유하,"이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호,이가경,한준우,이성우,임용순,박기륭,유정호,신유람,박태산,남진복,박혁민","이민호, 김래원, 정진영",2015,True,2192172
587,악의 연대기,2015-05-14,17359565332,0.023,17359565332,2192075,2192075,776,64347,한국,한국,(주)비에이엔터테인먼트,씨제이이앤엠(주),15세이상관람가,스릴러,백운학,"손현주,마동석,최다니엘,박서준,이준혁,이태호,이현우,강민정,조은수,서정우,최동헌,안용우,이명준,이성재,이용희,이은정,정원중,지대한,장준녕(장남부),정준원,한성천,배진웅,송훈","손현주, 마동석, 최다니엘",2015,True,2191793
588,오늘의 연애,2015-01-14,14924654487,0.02,14924654487,1891993,1891993,709,47237,한국,한국,(주)팝콘에프앤엠,씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,코미디",박진표,"이승기,문채원,이서진,장진우,이경진,이동진,임하룡,이상협,김광규,김부선,가인,임종윤,남능미,류화영,박지연,김소연","이승기, 문채원, 이서진",2015,True,1891993
589,연평해전,2015-06-24,14300770159,0.019,14300770159,1873003,1873003,1013,27350,한국,한국,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,김학순,"김무열,김율호,진구,이현우,이완,이청아,천민희,이한종,박찬희,박혜준,최순조,최승준,최종환,송재호,유형균,박정학,이철민,김강일,김희정,한창현,장의수,한이진","김무열, 김율호, 진구",2015,True,1872677
590,이미테이션 게임,2015-02-17,13655718120,0.018000000000000002,13655718120,1743936,1743936,541,44779,영국,영국,,메가박스중앙(주)플러스엠,15세이상관람가,"드라마,스릴러",모튼 틸덤,"베네딕트 컴버배치,키이라 나이틀리,매튜 구드","베네딕트 컴버배치, 키이라 나이틀리, 매튜 구드",2015,True,1743774
591,쎄시봉,2015-02-05,13570381911,0.018000000000000002,13570381911,1714803,1714803,829,51735,한국,한국,"유한회사 제이필름,(주)무브픽쳐스",씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,코미디,드라마",김현석,"김윤석,정우,한효주,김희애,진구,장현성,강하늘,조복래,김인권,장미진,강명찬,정수교,조성관,천준호,최남주,최성택,최성택,최충열,송민석,박소담,오하늬,윤준호,이미소,김승찬,이병훈,이상희,이승현,안재홍,이대연,이동훈,권해효,최유화","김윤석, 정우, 한효주",2015,True,1707487
592,간신,2015-05-21,8946618910,0.012,8946618910,1110214,1110214,697,40573,한국,한국,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,사극,민규동,"주지훈,김강우,천호진,임지연,이유영,김현수,문희경,박시영,박아영,임효우,전미정,전태호,박은영,박은영,박재성,박주희,박지수,정수지,정재우,배효진,조명행,조용완,송영창,차지연,성진아,최창훈,신동필,양정민,염재민,한진구,이보라,홍의정,황동희,이상철,이소희,이솔,이슬기,이승주,이용호,이용호,이윤지,김태희,서영주,기주봉,장광,류아벨,김강일,정만식,최일화,전여빈,박명신,민성욱,김도영,손수현,고경표,정인기,주가영,박경찬,곽자형,오창경,임용순,손영희","주지훈, 김강우, 천호진",2015,True,1110214
