,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,actor_involved,전국관객수
0,어벤져스,2012-04-26,59546521565,0.093,59546521565,7073037,7073037,967,109646,미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"액션,SF",조스 웨던,"로버트 다우니 주니어,스칼렛 요한슨,크리스 헴스워스,크리스 에반스,제레미 레너","로버트 다우니 주니어, 스칼렛 요한슨, 크리스 헴스워스",2012,True,7073037
1,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,36538823500,0.057,36538823500,4719872,4719872,713,91889,한국,한국,"(주)팔레트픽처스,(주)쇼박스",(주)쇼박스,청소년관람불가,"범죄,드라마",윤종빈,"최민식,하정우,조진웅,마동석,곽도원,김성균,박성광,이철민,임자연,임헌호,권종현,김민주,박재현,박태호,신수정,이강곤,이낙준,권율,송영창,박병은,김홍파,이희준,유재명,장준녕(장남부),김종수,오만석,정재헌,고규필,이세랑,박인수,권태원,강신철,한성천,이유준,김응수,안민영,노태엽,김종구,이윤희,김재영,손병욱","최민식, 하정우, 조진웅",2012,True,4710454
2,내 아내의 모든 것,2012-05-17,32518413000,0.051,32518413000,4360205,4360205,563,82867,한국,한국,"(주)수필름,영화사 집",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,멜로/로맨스",민규동,"임수정,이선균,류승룡,이달형,이진희,김도균,김선일,최차원,신경철,옥광희,박희본,김지영,정대용,남명렬,김도영,한이진,박현우","임수정, 이선균, 류승룡",2012,True,4360205
3,댄싱퀸,2012-01-18,30129331500,0.047,30129331500,4057555,4057555,544,80969,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"코미디,드라마",이석훈,"황정민,엄정화,정성화,오나라,박정민,박사랑,임호걸,정원영,이정건,안은정,라미란,송원석,이대연,이한위,최우리,천보근,권병길,조달환,서동원,정아미,어성욱","황정민, 엄정화, 정성화",2012,True,4057546
4,부러진 화살,2012-01-18,25878110500,0.04,25936754000,3450941,3459780,530,71556,한국,한국,(주)아우라픽처스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,정지영,"안성기,박원상,나영희,김지호,이승훈,이춘연,이홍표,임태연,장길수,장현남,전윤희,조세래,조완기,조유미,최린,최필선,한현근,허웅,이미화,김지연,이익태,이제희,이지석,배연태,백성기,신종훈,오대환,정원중,조동인,김준배,조덕제,박길수,한기중,이제희,김응수,한사명,이정민","안성기, 박원상, 나영희",2012,True,3450941
5,맨 인 블랙 3,2012-05-24,27295181070,0.042,27295181070,3378818,3378818,770,69487,미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"액션,코미디,SF",배리 소넨필드,"윌 스미스,켄 아놀드,토미 리 존스,조슈 브롤린,제메인 클레멘트,빌 헤이더,알렉 볼드윈","윌 스미스, 켄 아놀드, 토미 리 존스",2012,True,3378818
6,화차,2012-03-08,18459203000,0.029,18459203000,2436400,2436400,548,62641,한국,한국,(주)영화제작소보임,필라멘트픽쳐스,15세이상관람가,미스터리,변영주,"이선균,김민희,조성하,김별,차수연,임남숙,임순옥,장대윤,황남희,박지은,박지혜,송성원,오기민,최덕문,이희준,진선규,최일화,김성태,민성욱,김수진,박해준","이선균, 김민희, 조성하",2012,True,2435211
7,후궁 : 제왕의 첩,2012-06-06,17813379000,0.028,17813379000,2423458,2423458,624,56804,한국,한국,(주)황기성 사단,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"사극,멜로/로맨스",김대승,"조여정,김동욱,김민준,조은지,박지영,이경영,박철민,장지민,전주병,정일원,홍수지,신민철,안석환,오지혜,이용녀,박충선,최정현","조여정, 김동욱, 김민준",2012,True,2408574
8,배틀쉽,2012-04-11,16545921500,0.026,16545921500,2241687,2241687,736,53109,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"SF,액션",피터 버그,"리암 니슨,테일러 키치,알렉산더 스카르가드,브룩클린 데커,리한나","리암 니슨, 테일러 키치, 알렉산더 스카르가드",2012,True,2241687
9,장화신은 고양이,2012-01-12,17601188500,0.027000000000000003,17601188500,2080154,2080154,593,45438,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,코미디,판타지",크리스 밀러,"안토니오 반데라스,셀마 헤이엑,자크 갈리피아나키스","안토니오 반데라스, 셀마 헤이엑, 자크 갈리피아나키스",2012,True,2080154
10,코리아,2012-05-03,13446936500,0.021,13446936500,1872261,1872261,537,49671,한국,한국,"(주)더타워픽쳐스,씨제이이앤엠(주),(주)웰메이드스타엠",씨제이이앤엠(주),12세이상관람가,드라마,문현성,"하지원,배두나,한예리,최윤영,박철민,김응수,오정세,이종석,박영서,박정학,허승,홍혜림,박지연,유영기,천우희,주영호,김재화,김원해,이한위,김인우,장리우,이주실,권태원,박지연,권은수,차청화,한사명,이정민","하지원, 배두나, 한예리",2012,True,1856972
11,러브픽션,2012-02-29,13200412500,0.021,13200412500,1726202,1726202,617,44130,한국,한국,"(주)삼거리픽쳐스,(주)판타지오",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"멜로/로맨스,코미디",전계수,"하정우,공효진,이병준,지진희,유인나,최유화,전수지,장동찬,정동철,최재용,최준용,이원함,박재한,이규원,이규희,김재화,차은재,조용준,박준면,조희봉,박영수,서현우,조희봉,강신철,이윤희,김남순,설창희,최정현,이은채,손병욱","하정우, 공효진, 이병준",2012,True,1726202
12,하울링,2012-02-16,11765293500,0.018000000000000002,11765293500,1612554,1612554,550,44753,한국,한국,오퍼스픽쳐스(유),씨제이이앤엠(주),15세이상관람가,"범죄,드라마",유하,"송강호,이여진,이나영,박민규,이태리,임현성,정진,조은별,주영민,한민혁,이승현,이종혁,박정률,박진우,신정근,이민아,조영진,남보라,권태원,박선우,정민성,김경룡,김종구","송강호, 이여진, 이나영",2012,True,1612554
13,마다가스카3 : 이번엔 서커스다!,2012-06-06,10864569500,0.017,10864569500,1392049,1392049,564,28666,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,코미디","에릭 다넬,톰 맥그라스,콘래드 베논","벤 스틸러,크리스 록,데이빗 쉼머,제이다 핀켓 스미스,프란시스 맥도먼드","벤 스틸러, 크리스 록, 데이빗 쉼머",2012,True,1390190
14,은교,2012-04-25,9917728000,0.015,9917728000,1346274,1346274,521,41679,한국,한국,"정지우 필름,㈜렛츠필름",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,멜로/로맨스,정지우,"박해일,김무열,김고은,이후빈,임민경,김재준,정만식,안민영,강덕중","박해일, 김무열, 김고은",2012,True,1346274
15,간기남,2012-04-11,9356404500,0.015,9356404500,1246185,1246185,396,38155,한국,한국,"(주)트로피엔터테인먼트,㈜더드림앤드픽쳐스",(주)쇼박스,청소년관람불가,"코미디,스릴러",김형준,"박희순,박시연,주상욱,김정태,이한위,이광수,박희순,차수연,전승환,차종호,이상헌,신현탁,김강일,김윤성,김경룡","박희순, 박시연, 주상욱",2012,True,1246185
16,어메이징 스파이더맨,2012-06-28,10637474200,0.017,10637474200,1192050,1192050,1118,16134,미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,마크 웹,"앤드류 가필드,엠마 스톤,마틴 쉰,샐리 필드","앤드류 가필드, 엠마 스톤, 마틴 쉰",2012,True,1192050
17,돈의 맛,2012-05-17,8780122611,0.014,8780122611,1166011,1166011,643,36919,한국,"한국,필리핀",휠므빠말주식회사,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",청소년관람불가,드라마,임상수,"김강우,백윤식,윤여정,김효진,온주완,권병길,황정민,양재준,김응수,정원중,갈소원","김강우, 백윤식, 윤여정",2012,True,1165481
18,잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,9784305000,0.015,9784305000,1149628,1149628,398,27236,미국,미국,,워너브러더스 코리아(주),전체관람가,"액션,어드벤처",브래드 페이튼,"드웨인 존슨,마이클 케인,조쉬 허처슨,바네사 허진스","드웨인 존슨, 마이클 케인, 조쉬 허처슨",2012,True,1149628
19,시체가 돌아왔다,2012-03-29,7360631000,0.011,7360631000,986923,986923,435,36705,한국,한국,(주)씨네이천,씨제이이앤엠(주),15세이상관람가,"범죄,드라마",우선호,"이범수,류승범,김옥빈,정만식,유다인,신정근,고창석,정인기,오정세,배정남,최동헌,김병오,최태환,박혜인,서성만,윤석진,손종학,조민준,오창경,한이진","이범수, 류승범, 김옥빈",2012,True,986547
20,프로메테우스,2012-06-06,8554125599,0.013,8554125599,965355,965355,521,31340,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"SF,스릴러",리들리 스콧,"누미 라파스,마이클 패스벤더,샤를리즈 테론,가이 피어스,이드리스 엘바","누미 라파스, 마이클 패스벤더, 샤를리즈 테론",2012,True,964148
21,타이탄의 분노,2012-03-29,7591124500,0.012,7591124500,893027,893027,535,33580,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,판타지",조나단 리브스만,"샘 워싱턴,리암 니슨,랄프 파인즈,로자문드 파이크,대니 허스튼","샘 워싱턴, 리암 니슨, 랄프 파인즈",2012,True,893027
22,디스 민즈 워,2012-02-29,6661435000,0.01,6661435000,873396,873396,351,32790,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,코미디,멜로/로맨스",맥지,"리즈 위더스푼,크리스 파인,톰 하디","리즈 위더스푼, 크리스 파인, 톰 하디",2012,True,873396
23,미확인 동영상 : 절대클릭금지,2012-05-30,5932400500,0.009000000000000001,5932400500,866147,866147,361,25002,한국,한국,"(주)에이디사공육,(주)다세포클럽",(주)쇼박스,15세이상관람가,공포(호러),김태경,"박보영,주원,강별,최대호,전희수,박민영,이맑음,이인,박지연,양정원","박보영, 주원, 강별",2012,True,866147
24,퍼펙트 게임,2011-12-21,5224000500,0.008,11220408500,695312,1507084,396,21284,한국,한국,"(주)동아수출공사,밀리언 스토리,(주)다세포클럽",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,박희곤,"조승우,양동근,최정원,임지훈,김동희,허형규,박용규,신준호,최지훈,조찬형,차현우,한준혁,박정수,박정식,박현용,안준석,안태운,권승현,주아영,김기홍,이만규,서상화,문용식,문종헌,이명자,장원석,민정기,원희,최대영,곽병민,이상하,곽중훈,최민철,윤상일,최상호,김성태,구종률,이선진,이성수,오성진,김창후,박수진,박수환,최용규,최은,김우상,김지만,조진웅,장경아,김병옥,손병호,신현종,오정세,이병준,나윤성,최일화,공정환,최원영,김영민,박서준","조승우, 양동근, 최정원",2011,True,695312
25,스노우 화이트 앤 더 헌츠맨,2012-05-30,4645167000,0.006999999999999999,4645167000,636477,636477,447,20643,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,판타지",루퍼트 샌더스,"샤를리즈 테론,크리스틴 스튜어트,크리스 헴스워스","샤를리즈 테론, 크리스틴 스튜어트, 크리스 헴스워스",2012,True,636477
26,헝거게임: 판엠의 불꽃,2012-04-05,4478418000,0.006999999999999999,4478418000,607956,607956,514,24924,미국,미국,라이온스 게이트 필름즈,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,드라마,SF",게리 로스,"제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,엘리자베스 뱅크스","제니퍼 로렌스, 조쉬 허처슨, 리암 헴스워스",2012,True,606531
27,백설공주,2012-05-03,4097396000,0.006,4097396000,585473,585473,386,20746,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"판타지,어드벤처",타셈 싱,"줄리아 로버츠,릴리 콜린스,아미 해머","줄리아 로버츠, 릴리 콜린스, 아미 해머",2012,True,576150
28,다크 섀도우,2012-05-10,4326459000,0.006999999999999999,4326459000,582126,582126,394,18978,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"드라마,공포(호러),스릴러,미스터리",팀 버튼,"조니 뎁,미셀 파이퍼,에바 그린","조니 뎁, 미셀 파이퍼, 에바 그린",2012,True,582126
29,마이 웨이,2011-12-21,4181348000,0.006999999999999999,15995187000,556628,2142670,588,22546,한국,"한국,일본,중국",(주)디렉터스,"에스케이플래닛(주),씨제이이앤엠(주)",15세이상관람가,"전쟁,액션,드라마",강제규,"장동건,오다기리 조,판빙빙,강남현,조동혁,김효연,김홍근,신승훈,홍서백,김희원,최지우,도지한,이건우,최태정,박태성,이광기,한경석,한정욱,서종철,김대현,이문호,유미진,이호연,이상협,이확광,곽진석,곽호선,권문철,이홍섭,최우수,오태경,양진석,이창욱,이학렬,이현희,이재희,최상준,한승현,이동훈,김시후,김인우,성유빈,정종열","장동건, 오다기리 조, 판빙빙",2011,True,556580
30,페이스메이커,2012-01-18,3443753000,0.005,3443753000,467697,467697,412,21875,한국,한국,"(주)드림캡쳐,(주)에이트볼픽쳐스 ,(주)필통픽쳐스","(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",12세이상관람가,드라마,김달중,"김명민,안성기,고아라,최태준,조희봉,이엘,이동훈,권지민,최재웅,최윤성,유하복,조영진,이봉규,임종윤,정준원,곽자형,곽진석","김명민, 안성기, 고아라",2012,True,467697
31,아부의 왕,2012-06-21,2922945500,0.005,2922945500,411909,411909,428,16602,한국,한국,(주)황금주전자,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,정승구,"송새벽,성동일,김성령,고창석,이병준,한채아,이철민,진선규,정승욱,조화영,이성재,신봉곤,안승혁,황석정,김종수,박미현,이윤희,박보경","송새벽, 성동일, 김성령",2012,True,411909
32,크로니클,2012-03-15,2884776000,0.004,2884776000,384398,384398,324,20957,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,스릴러",조쉬 트랭크,"데인 드한,알렉스 러셀,마이클 B. 조던,애슐리 힌쇼","데인 드한, 알렉스 러셀, 마이클 B. 조던",2012,True,383862
33,프렌즈: 몬스터섬의비밀,2011-12-29,2668476500,0.004,3754760000,364732,512549,290,10153,일본,일본,,"(주)스마일이엔티,(주)에스비에스콘텐츠허브",전체관람가,"애니메이션,어드벤처",야마자키 타카시,"이장원,엄상현,김서영,윤세웅,카토리 싱고,야마데라 코이치,신도 유나,아베 사다오","이장원, 엄상현, 김서영",2011,True,363179
34,로렉스,2012-05-03,2151848000,0.003,2151848000,298366,298366,463,7814,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"크리스 리노드,카일 발다","대니 드비토,잭 에프런,에드 헬름스,베티 화이트,롭 리글","대니 드비토, 잭 에프런, 에드 헬름스",2012,True,297025
35,짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,2012-04-26,1804032000,0.003,1804032000,272062,272062,295,5989,일본,일본,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,마스이 소이치,"야지마 아키코,나라하시 미키,후지와라 케이지","야지마 아키코, 나라하시 미키, 후지와라 케이지",2012,True,272062
36,오싹한 연애,2011-12-01,1721163500,0.003,22010977000,231358,3009356,243,7444,한국,한국,상상필름(주),씨제이이앤엠(주),12세이상관람가,"공포(호러),멜로/로맨스,코미디",황인호,"손예진,이민기,신동훈,김혜숙,조아라,박재우,태리,최우진,이현진,이미도,송지인,황승언,김현숙","손예진, 이민기, 신동훈",2011,True,231358
37,언더월드 4: 어웨이크닝,2012-02-22,1861948000,0.003,1861948000,200038,200038,343,13363,미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,청소년관람불가,"액션,판타지,SF,공포(호러)","만스 말린드,비욘 스테인","케이트 베킨세일,테오 제임스,인디아 아이슬리,마이클 엘리","케이트 베킨세일, 테오 제임스, 인디아 아이슬리",2012,True,200038
38,해피 피트 2,2012-02-02,1463939000,0.002,1463939000,185744,185744,315,7802,호주,호주,,워너브러더스 코리아(주),전체관람가,"애니메이션,코미디,가족",조지 밀러,"일라이저 우드,핑크,로빈 윌리엄스,엘리자베스 데일리,브래드 피트,맷 데이먼","일라이저 우드, 핑크, 로빈 윌리엄스",2012,True,185420
39,캐빈 인 더 우즈,2012-06-28,738658500,0.001,738658500,98511,98511,288,3881,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"공포(호러),스릴러",드류 고다드,"크리스 헴스워스,크리스틴 코놀리,안나 허치슨,프란 크랜즈,제시 윌리엄스,리차드 젠킨스","크리스 헴스워스, 크리스틴 코놀리, 안나 허치슨",2012,True,98511
40,인류멸망 보고서,2012-04-11,704635000,0.001,704635000,97916,97916,236,9556,한국,한국,지오엔터테인먼트,"롯데쇼핑㈜롯데엔터테인먼트,타임스토리그룹(주)",15세이상관람가,SF,김지운,"류승범,김강우,송새벽,송영창,김규리,고준희,진지희,류승수,윤세아,조윤희,임근호,임형주,정우,최덕문,윤제문,김뢰하,이칸희,김무열,이영은","류승범, 김강우, 송새벽",2012,True,97555
41,콜드 라잇 오브 데이,2012-05-17,636555090,0.001,636555090,88522,88522,245,7158,미국,미국,,씨너스엔터테인먼트(주),15세이상관람가,"액션,스릴러",마브룩 엘 메크리,"헨리 카빌,브루스 윌리스,시고니 위버","헨리 카빌, 브루스 윌리스, 시고니 위버",2012,True,88522
42,팅커 테일러 솔저 스파이,2012-02-09,648304500,0.001,648304500,87155,87155,187,4689,영국,"영국,프랑스,독일",,팝엔터테인먼트,15세이상관람가,스릴러,토마스 알프레드슨,"게리 올드만,톰 하디,콜린 퍼스,마크 스트롱,베네딕트 컴버배치","게리 올드만, 톰 하디, 콜린 퍼스",2012,True,87155
43,레전드 오브 래빗,2012-02-22,581200500,0.001,581200500,85184,85184,225,3911,중국,중국,,(주)화앤담이엔티,전체관람가,애니메이션,순리준,"엄상현,박지훈,남도형","엄상현, 박지훈, 남도형",2012,True,85184
44,페이스 블라인드,2012-06-21,628118169,0.001,628118169,84583,84583,179,4333,미국,"미국,프랑스,캐나다",,(주)마인스 엔터테인먼트,청소년관람불가,"범죄,미스터리,스릴러",줄리앙 마그넷,"밀라 요보비치,줄리안 맥마흔,사라 웨인 콜리스,마이클 쉥크스","밀라 요보비치, 줄리안 맥마흔, 사라 웨인 콜리스",2012,True,84583
45,극장판 썬더일레븐GO : 궁극의 우정 그리폰,2012-05-24,574947000,0.001,574947000,84255,84255,243,2849,일본,일본,,에이원엔터테인먼트,전체관람가,애니메이션,미야오 요시카즈,"문남숙,전숙경,배정미,이호산","문남숙, 전숙경, 배정미",2012,True,84255
46,극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」,2011-12-22,528197000,0.001,1998356500,76642,293895,175,2273,일본,일본,,씨제이이앤엠(주),전체관람가,"애니메이션,판타지,어드벤처",유야마 쿠니히코,"마츠모토 리카,츠루노 타케시,타카하시 히데키,미즈키 나나","마츠모토 리카, 츠루노 타케시, 타카하시 히데키",2011,True,76642
47,앨빈과 슈퍼밴드3,2011-12-15,485263000,0.001,3764908000,73590,570150,169,2146,미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,코미디,어드벤처,가족",마이크 미첼,"저스틴 롱,제이슨 리,매튜 그레이 구블러,제시 맥카트니","저스틴 롱, 제이슨 리, 매튜 그레이 구블러",2011,True,73213
48,더 씽,2012-06-14,366491589,0.001,366491589,50704,50704,174,4174,미국,미국,,(주)싸이더스,15세이상관람가,"공포(호러),미스터리,SF",매티스 반 헤이닌겐 주니어,"메리 엘리자베스 윈스티드,조엘 에저튼,에릭 크리스찬 올슨","메리 엘리자베스 윈스티드, 조엘 에저튼, 에릭 크리스찬 올슨",2012,True,50704
49,킹메이커,2012-04-19,342178000,0.001,342178000,44903,44903,95,2906,미국,미국,,(주)시너지하우스 (시너지),15세이상관람가,드라마,조지 클루니,"라이언 고슬링,조지 클루니,필립 세이모어 호프만,폴 지아마티,마리사 토메이,에반 레이첼 우드","라이언 고슬링, 조지 클루니, 필립 세이모어 호프만",2012,True,44689
50,저스티스,2012-03-15,329594500,0.001,329594500,44546,44546,142,4282,미국,미국,,(주)쇼박스,청소년관람불가,"액션,드라마,스릴러",로저 도널드슨,"니콜라스 케이지,가이 피어스,재뉴어리 존스","니콜라스 케이지, 가이 피어스, 재뉴어리 존스",2012,True,44546
51,코난: 암흑의 시대,2012-04-05,260491000,0.0,260491000,33683,33683,198,4220,미국,미국,,씨제이이앤엠(주),청소년관람불가,"판타지,액션",마커스 니스펠,"제이슨 모모아,레이첼 니콜스,스티븐 랭,론 펄먼,로즈 맥고완","제이슨 모모아, 레이첼 니콜스, 스티븐 랭",2012,True,33469
52,데인저러스 메소드,2012-05-10,207171509,0.0,207171509,27226,27226,97,2041,영국,"영국,독일,캐나다,스위스",,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),청소년관람불가,"멜로/로맨스,드라마",데이빗 크로넨버그,"키이라 나이틀리,비고 모텐슨,마이클 패스벤더,뱅상 카셀","키이라 나이틀리, 비고 모텐슨, 마이클 패스벤더",2012,True,27165
53,머신건 프리처,2012-05-24,197290500,0.0,197290500,26630,26630,141,2147,미국,미국,,(주)팝파트너스,15세이상관람가,"액션,드라마,범죄",마크 포스터,"제라드 버틀러,미셸 모나한,마이클 섀넌,매들린 캐롤","제라드 버틀러, 미셸 모나한, 마이클 섀넌",2012,True,26630
54,원 포 더 머니,2012-02-16,195806000,0.0,195806000,26387,26387,144,2539,미국,미국,,씨너스엔터테인먼트(주),15세이상관람가,"멜로/로맨스,코미디,범죄",줄리 앤 로빈슨,"캐서린 헤이글,제이슨 오마라,다니엘 선자타","캐서린 헤이글, 제이슨 오마라, 다니엘 선자타",2012,True,26387
55,레이드 : 첫번째 습격,2012-05-17,163320500,0.0,163320500,21705,21705,120,2291,인도네시아,인도네시아,,씨제이이앤엠(주),청소년관람불가,"액션,범죄,스릴러",가렛 에반스,"이코 우웨이스,도니 알람시아,야얀 루히안","이코 우웨이스, 도니 알람시아, 야얀 루히안",2012,True,21705
56,멜랑콜리아,2012-05-17,116640800,0.0,116640800,14724,14724,21,674,덴마크,"덴마크,스웨덴,이탈리아,독일,프랑스",,(주)팝엔터테인먼트,15세이상관람가,"드라마,SF,스릴러",라스 폰 트리에,"커스틴 던스트,샤를로뜨 갱스부르,키퍼 서덜랜드,샬롯 램플링","커스틴 던스트, 샤를로뜨 갱스부르, 키퍼 서덜랜드",2012,True,14724
57,원피스 3D : 밀짚모자 체이스,2012-01-26,91648500,0.0,91648500,13475,13475,111,1382,일본,일본,,(주)미디어데이,전체관람가,"애니메이션,어드벤처,액션",사토 히로유키,"타나카 마유미,오카무라 아케미,강수진,김승준","타나카 마유미, 오카무라 아케미, 강수진",2012,True,13475
58,내가 사는 피부,2011-12-29,73488000,0.0,103927500,9326,13090,19,547,스페인,스페인,,(주)영화사 조제,청소년관람불가,드라마,페드로 알모도바르,"안토니오 반데라스,엘레나 아나야,마리사 파레데스,바바라 레니","안토니오 반데라스, 엘레나 아나야, 마리사 파레데스",2011,True,9326
59,멋진 악몽,2012-04-19,58874000,0.0,58874000,7908,7908,20,619,일본,일본,,주식회사 마운틴픽쳐스,전체관람가,"코미디,드라마",미타니 코키,"후카츠 에리,니시다 토시유키,나카이 키이치,다케우치 유코,아베 히로시","후카츠 에리, 니시다 토시유키, 나카이 키이치",2012,True,7908
60,컬러풀,2012-05-10,33356900,0.0,33356900,5030,5030,13,339,일본,일본,,(주)키노아이디엠씨,15세이상관람가,애니메이션,하라 케이이치,"미야자키 아오이,아소 쿠미코,후지와라 케이지,나카오 아키요시","미야자키 아오이, 아소 쿠미코, 후지와라 케이지",2012,True,4642
61,미드나잇 인 파리,2012-07-05,31095000,0.0,31095000,4296,4296,6,22,미국,"미국,스페인",,"(주)디스테이션,(주)드림팩트엔터테인먼트,(주)나이너스엔터테인먼트",15세이상관람가,"코미디,멜로/로맨스,판타지",우디 알렌,"오웬 윌슨,마리온 꼬띨라르,레이첼 맥아담스,애드리언 브로디","오웬 윌슨, 마리온 꼬띨라르, 레이첼 맥아담스",2012,True,350785
62,빠삐용,2019-02-27,8050000,0.0,8050000,3953,3953,1,28,미국,"미국,프랑스",,(주)에이앤비픽쳐스,청소년관람불가,"드라마,어드벤처",프랭크린 J. 샤프너,"더스틴 호프만,안소니 저브,스티브 맥퀸","더스틴 호프만, 안소니 저브, 스티브 맥퀸",2019,True,34638
63,폭풍의 언덕,2012-06-28,29214500,0.0,29214500,3927,3927,19,113,영국,영국,,찬란,15세이상관람가,"드라마,멜로/로맨스",안드레아 아놀드,"카야 스코델라리오,제임스 호손,폴 힐튼,올리버 밀번","카야 스코델라리오, 제임스 호손, 폴 힐튼",2012,True,3927
64,아버지를 위한 노래,2012-05-03,29858000,0.0,31970000,3749,4005,2,84,이탈리아,"이탈리아,프랑스,아일랜드",,(주)쇼박스,12세이상관람가,"범죄,드라마,스릴러",파올로 소렌티노,"숀 펜,프란시스 맥도먼드,주드 허쉬","숀 펜, 프란시스 맥도먼드, 주드 허쉬",2012,True,3594
65,이민자,2012-04-12,22560700,0.0,22560700,3317,3317,16,389,미국,미국,,판씨네마(주),12세이상관람가,드라마,크리스 웨이츠,"데미안 비쉬어,호세 줄리안,낸시 레니한","데미안 비쉬어, 호세 줄리안, 낸시 레니한",2012,True,3063
66,연가시,2012-07-05,20634000,0.0,20634000,2807,2807,5,20,한국,한국,(주)오죤필름,씨제이이앤엠(주),15세이상관람가,"공포(호러),SF",박정우,"김명민,강지원,문정희,김동완,이하늬,강신일,최일화,이행춘,장형원,정경임,최동헌,김상오,최정수,박유정,황경호,이민수,이은채,박종원,박진영,서병덕,송광주,신상열,안용우,이나연,이동하,이주원,송영창,조덕현,최정우,전국환,주석태,김승훈,정인기,김태훈","김명민, 강지원, 문정희",2012,True,4513026
67,밍크코트,2012-01-12,20615600,0.0,22200600,2781,2992,13,350,한국,한국,애즈필름,㈜인디스토리,15세이상관람가,드라마,"신아가,이상철","황정민,김미향,정희성,이상철,이재희,노형석,노형석,박상욱,박지만,신아가,신준호,이종윤","황정민, 김미향, 정희성",2012,True,2731
68,벤허,2016-09-14,2158932,0.0,16700932,2589,7936,2,35,미국,미국,메트로-골드윈-마이어,(주)팝엔터테인먼트,"12세이상관람가,연소자관람가,전체관람가","드라마,액션",윌리엄 와일러,"찰톤 헤스톤,잭 호킨스,하야 할라이드,스티븐 보이드","찰톤 헤스톤, 잭 호킨스, 하야 할라이드",2016,True,1399771
69,딱따구리와 비,2012-05-03,12382000,0.0,12382000,1703,1703,9,243,일본,일본,,(주)영화사 조제,전체관람가,"드라마,코미디",오키타 슈이치,"야쿠쇼 코지,오구리 슌,고라 겐고","야쿠쇼 코지, 오구리 슌, 고라 겐고",2012,True,1703
70,"열여덟, 열아홉",2012-03-01,10665000,0.0,10665000,1501,1501,17,335,한국,한국,영화사 도로시(주),(주)키노아이디엠씨,15세이상관람가,멜로/로맨스,배광수,"유연석,백진희,정헌,엄현경,이혜란,장남일,권미경,최희대,이보영,이성민,이수현,김창아,박호진,신성일,신정훈,이영진,이민웅","유연석, 백진희, 정헌",2012,True,1249
71,소중한 날의 꿈,2011-06-23,4347000,0.0,361373100,1130,52131,3,111,한국,한국,(주)연필로명상하기,에이원엔터테인먼트,전체관람가,"애니메이션,드라마","안재훈,한혜진","박신혜,오연서,송창의,신정희,박진희,조효민,이태연","박신혜, 오연서, 송창의",2011,True,1009
72,듀엣,2012-04-19,7995000,0.0,7995000,1081,1081,10,248,한국,한국,(주)스테이지팩토리,(주)영화사 조제,전체관람가,드라마,이상빈,"고아성,제임스 페이지,장윤정,최두원","고아성, 제임스 페이지, 장윤정",2012,True,1081
