,전국스크린수,expert_rating,running_times,audience_rating,rating_audiences,director_power
726,274,4.0,105,9.31578947368421,152,81722.0
441,495,6.0,121,9.046511627906977,129,126384.0
113,804,6.56,132,8.46712802768166,867,10600985.0
48,480,5.0,119,7.433962264150942,159,871786.0
289,1049,3.41,110,8.570277390361072,6453,7084821.0
804,241,7.0,132,8.921052631578947,38,1028253.0
206,967,7.46,156,8.009656652360514,932,2416664.0
578,833,5.0,108,6.530805687203793,422,1387508.0
285,219,3.0,96,6.977777777777778,45,535159.0
691,722,8.25,117,9.278207109737249,647,3839604.0
225,494,6.81,106,9.097664543524415,471,3981463.0
612,192,7.8,132,9.4251968503937,127,198013.0
120,607,6.65,117,8.564612326043736,503,2973250.0
476,1687,5.0,141,8.748452264581298,3069,17202955.0
391,1034,6.7,141,8.388947927736451,941,2153152.0
556,207,0.0,65,0.0,0,54988.0
221,523,4.0,98,8.8125,272,732531.0
896,585,6.5,99,8.549019607843139,51,7913061.0
171,299,3.33,81,6.607142857142858,56,261903.0
716,454,0.0,103,8.858267716535432,127,2791007.0
711,511,6.0,67,7.547550432276658,347,186191.0
816,442,6.25,107,8.767295597484276,159,1440037.0
851,1246,5.0,106,8.993224932249323,738,2146766.0
727,465,5.0,94,7.18,50,77794.0
536,289,6.67,100,9.77710843373494,166,159627.0
749,1948,9.06,131,9.116782675947409,2586,9676939.0
123,686,6.0,89,8.66931216931217,1890,3882431.0
386,1091,5.89,115,8.391095591444786,2291,2572971.0
180,318,0.0,90,5.155555555555557,45,478094.0
161,351,5.67,100,8.666666666666666,48,113404.0
654,312,4.0,91,8.263157894736842,19,0.0
453,342,7.0,159,8.89090909090909,110,809305.0
117,1105,5.69,148,7.629014396456259,903,4196905.0
599,599,5.5,95,9.202635914332783,607,387794.0
891,224,6.33,100,7.829268292682928,82,167333.0
707,278,5.8,117,8.375,16,264766.0
828,94,0.0,117,9.460843373493976,332,87570.0
669,1021,5.25,111,7.73300283286119,1412,1304906.0
462,145,0.0,68,8.287234042553191,188,1206342.0
524,635,4.33,91,7.375,216,238587.0
240,523,0.0,75,8.120155038759691,516,278914.0
134,572,6.12,121,6.151515151515151,264,1359388.0
155,838,0.0,180,9.05240706886045,1641,26081050.0
353,88,6.0,92,8.393258426966293,89,94243.0
139,446,4.83,104,7.247058823529412,170,558411.0
862,1198,6.7,132,9.022116903633492,633,12152726.0
418,613,5.71,131,8.794642857142858,560,433825.0
60,380,8.1,119,8.532051282051281,156,2416664.0
860,933,6.0,85,9.080555555555557,360,7075659.0
558,395,7.0,94,8.376811594202897,69,51867.0
165,117,0.0,95,8.545454545454545,11,106030.0
658,1775,6.13,118,8.975738984941437,3586,11127668.0
300,1091,6.52,97,8.69192200557103,1795,2601734.0
214,736,5.96,122,8.683649289099526,1688,1156727.0
407,807,5.14,107,7.406067677946324,857,764072.0
468,104,6.83,132,9.2,5,48051.0
297,993,4.55,110,9.01103448275862,1450,2979659.0
394,954,7.55,137,8.946745562130179,2366,5342562.0
131,509,5.83,112,7.386533665835412,401,609063.0
314,579,5.79,133,8.081967213114755,1525,1966151.0
845,1311,6.0,136,9.019567456230693,971,12043900.0
684,1085,5.73,138,5.382171226831421,1133,15041788.0
678,984,6.38,133,9.114047287899863,719,1258317.0
905,153,6.0,118,10.0,2,101864.0
526,486,5.0,90,8.56637168141593,226,3772141.0
38,532,6.56,94,8.26086956521739,207,360445.0
249,494,5.75,93,8.285714285714286,168,2904212.0
436,419,6.2,146,7.563775510204081,392,159948.0
402,685,5.4,123,7.8081534772182275,417,1176711.0
53,187,5.0,92,8.571428571428571,7,3213932.0
194,255,6.29,118,7.239130434782607,92,2585525.0
136,425,6.31,111,7.033613445378151,238,428429.0
444,334,0.0,96,8.816964285714286,224,966278.0
768,965,5.0,118,8.774712643678159,435,1022790.0
281,258,0.0,72,8.782608695652174,69,56476.0
35,482,7.21,118,7.502283105022831,219,413577.0
512,691,6.67,115,8.115,200,4790550.0
575,1079,8.36,140,8.930516953863258,1799,6576583.0
798,900,5.63,144,6.6838235294117645,136,183784.0
378,1310,6.83,134,8.51175917215428,3189,5316325.0
66,308,3.75,112,7.203703703703702,108,3798104.0
532,471,6.43,114,8.0,147,12043900.0
841,1476,5.3,135,9.229327453142227,907,22317650.0
856,986,7.63,152,9.344036697247706,218,5342562.0
52,205,7.04,109,8.664556962025317,158,536514.0
377,976,5.0,125,8.890845070422538,1988,17234182.0
662,1308,4.6,107,8.305248226950354,3525,7913061.0
873,799,4.8,119,8.615384615384615,221,674609.0
888,454,5.5,125,9.29310344827586,116,184796.0
239,380,3.5,92,8.422360248447205,322,289645.0
246,528,6.75,106,8.947136563876652,227,559404.0
870,806,4.57,108,8.127272727272727,165,637021.0
425,576,5.9,97,8.030211480362539,662,351276.0
552,135,0.0,64,8.55,100,107938.0
28,641,4.75,116,7.925486875529213,1181,6153654.0
763,971,6.71,104,9.28358208955224,737,1506942.0
265,317,6.0,94,5.647058823529411,136,10301714.0
601,530,3.5,100,8.395280235988201,339,310695.0
850,1429,5.43,139,7.076327433628317,904,2328194.0
244,517,5.0,112,7.897163120567376,282,253681.0
103,1210,7.54,125,8.389521640091116,1756,5052135.0
276,384,6.4,122,7.865853658536586,82,443134.0
393,1739,2.83,151,6.909167367535744,1189,8062889.0
110,1113,5.81,125,8.12320916905444,1047,6279260.0
76,349,4.58,113,7.086486486486487,185,201594.0
159,66,0.0,99,9.361204013377927,299,122574.0
458,479,6.5,124,8.221518987341772,158,605273.0
235,524,5.0,93,8.296610169491526,236,903166.0
464,133,7.63,101,7.726495726495727,234,459722.0
411,605,7.29,116,8.323731138545954,729,2530063.0
848,1117,6.0,113,9.109154929577462,284,2464978.0
112,940,7.55,135,8.371521035598706,1545,4393723.0
632,479,6.0,114,7.413043478260869,92,86841.0
801,83,8.2,119,8.874193548387098,310,392466.0
529,206,6.0,110,8.40379403794038,369,176017.0
513,272,7.5,107,9.169934640522877,459,1150551.0
329,467,4.5,99,7.777292576419214,229,1027700.0
262,349,0.0,68,8.469387755102039,196,907833.0
223,592,5.31,103,8.022988505747126,348,1304906.0
918,373,0.0,82,5.5,10,42914.0
897,810,5.5,136,8.766129032258064,248,2743672.0
858,894,5.0,116,8.858757062146893,177,1144894.0
510,626,6.0,98,9.00152207001522,657,7587500.0
606,364,4.0,116,8.217391304347826,92,229005.0
167,344,0.0,60,8.461538461538463,104,100026.0
865,1143,4.75,109,6.825991189427312,454,996403.0
241,841,5.97,119,8.427209705372617,1154,259324.0
699,351,4.83,97,8.281767955801103,181,450374.0
744,161,7.6,95,8.590909090909092,22,37241.0
154,432,3.5,86,7.4631578947368435,95,236157.0
878,569,0.0,103,9.737113402061857,194,966094.0
24,500,5.67,98,8.313559322033898,354,1101678.0
294,1431,7.08,132,8.768924302788845,3263,16840678.0
847,1515,6.0,102,8.91994750656168,762,2904212.0
443,393,0.0,89,8.472527472527473,91,127181.0
659,1540,6.22,135,8.667371847030108,6145,5440186.0
777,837,6.33,129,8.12863070539419,482,4460383.0
150,428,5.0,111,8.157894736842103,133,552590.0
41,926,6.42,144,8.620253164556964,1185,7230889.0
346,128,7.45,117,0.0,0,6576583.0
94,158,0.0,114,8.976525821596244,213,52857.0
519,547,0.0,103,8.703389830508474,118,904736.0
217,683,5.5,91,8.30791788856305,682,1075477.0
710,220,6.67,100,0.0,0,1840982.0
381,1257,5.71,110,7.626346313173157,1207,3628949.0
23,697,4.97,131,7.268542199488491,391,9729747.0
268,65,7.34,124,8.533333333333333,105,114081.0
388,1116,5.2,97,8.871711594673595,3079,2447246.0
926,174,5.5,109,8.428571428571429,63,31888.0
352,462,6.07,93,8.641304347826088,92,95542.0
416,647,5.67,103,7.9071428571428575,420,21706.0
292,1503,7.03,115,8.949522226838388,4814,5516025.0
200,1365,6.47,95,8.894853348090757,1807,11954436.0
173,59,8.45,121,8.601895734597157,211,459722.0
100,1064,7.5,123,9.259043173862313,3428,40559524.0
25,621,6.46,124,7.8118161925601735,457,1225323.0
700,542,6.0,110,9.312621359223302,1030,395408.0
770,1151,4.86,115,7.008333333333334,240,8247867.0
489,482,5.6,125,8.909090909090908,77,1873782.0
551,90,6.4,102,0.0,0,20000.0
354,72,7.07,117,8.666666666666666,312,1027046.0
597,404,8.18,123,8.841176470588236,510,506182.0
242,502,6.96,102,6.494773519163762,287,236971.0
927,37,5.5,111,8.962962962962962,27,31866.0
73,321,6.05,107,7.6440677966101696,59,13621196.0
893,541,6.0,87,9.246153846153844,65,2161083.0
118,794,5.2,114,7.918032786885246,488,1593694.0
114,764,5.9,120,8.682264150943396,1325,2625686.0
520,781,5.17,91,6.7142857142857135,182,9465112.0
5,799,8.75,120,8.889012208657046,901,4014414.0
475,1102,5.1,109,9.095669036845507,1547,12882255.0
608,512,5.86,101,9.003968253968255,252,217803.0
696,555,7.43,135,9.24795081967213,488,482952.0
69,326,5.9,111,8.166666666666666,42,136134.0
14,1013,4.94,130,9.344880677444188,1299,1872677.0
919,360,4.0,107,8.512820512820513,39,40985.0
793,620,4.0,93,7.94,200,202756.0
369,198,6.78,100,8.258064516129032,93,374270.0
78,358,5.0,102,6.655172413793102,29,92598.0
479,1426,7.18,139,8.811791383219955,2205,4012889.0
672,1117,5.8,126,7.865155807365439,1765,2087474.0
54,401,5.33,137,8.067164179104477,134,256475.0
467,111,7.33,120,8.766742338251987,5286,9676939.0
266,51,0.0,115,9.6,5,320199.0
729,212,3.75,94,5.75,4,67368.0
514,748,4.67,115,8.624223602484474,322,4123013.0
537,79,5.17,92,8.176991150442477,113,118985.0
844,1486,6.79,118,9.485499462943073,931,3678156.0
503,751,5.83,103,8.01736111111111,288,572266.0
563,2553,7.09,149,9.198528235482325,6251,198955047.0
166,399,6.31,93,7.467532467532468,77,2328194.0
641,25,0.0,100,0.0,0,
331,538,7.0,87,8.825657894736842,304,1039533.0
668,962,6.57,110,9.092165898617507,2170,2820029.0
247,449,6.0,115,7.878612716763008,173,232016.0
373,213,0.0,76,7.565217391304348,46,55355.0
914,235,5.0,105,8.03448275862069,29,58645.0
472,1965,7.0,133,8.943646805455849,2786,22537735.0
499,778,7.67,113,8.642105263157895,285,821419.0
881,625,4.4,110,7.87962962962963,108,903166.0
565,1620,6.67,135,8.201442841287458,1802,5398994.0
747,1978,6.8,111,9.346142116498932,3279,11501537.0
307,716,7.1,122,8.41340782122905,895,2947429.0
501,803,0.0,79,9.276190476190477,945,7687186.0
234,221,8.96,118,8.706161137440759,422,313164.0
666,1605,7.33,125,9.346312242605766,2671,3564540.0
430,970,2.67,137,4.455172413793104,435,255180.0
859,1090,5.0,104,8.503472222222221,288,12070492.0
191,278,4.0,106,7.407692307692307,130,49558.0
151,409,5.67,101,8.21875,160,253564.0
435,173,7.89,111,8.374468085106383,235,177483.0
256,380,5.5,144,8.658227848101266,79,8062889.0
712,463,6.0,108,8.996078431372549,255,182256.0
618,511,6.13,135,5.9416058394160585,274,150215.0
721,414,4.0,74,7.793103448275862,58,31618.0
541,497,4.25,95,7.4393939393939394,132,97017.0
569,862,5.2,120,9.222732491389207,1742,3417629.0
383,1357,5.2,129,8.604651162790697,860,13626748.0
145,445,3.0,96,6.43010752688172,186,0.0
797,381,5.0,113,9.551020408163266,49,191580.0
822,269,3.0,79,8.3125,16,62985.0
533,459,4.0,101,8.821138211382113,123,154966.0
215,691,5.2,120,8.610481586402265,706,1100120.0
705,661,5.5,128,7.185430463576161,151,267896.0
834,344,6.0,86,7.584905660377357,53,38262.0
617,472,5.25,92,8.99290780141844,141,1828.0
196,1991,7.5,147,8.996032112208178,10837,198955047.0
782,923,5.2,132,8.11111111111111,288,357902.0
495,854,5.5,109,8.150684931506849,657,3085152.0
17,847,4.9,114,8.426070038910506,514,5977451.0
719,461,6.83,117,7.842105263157895,95,2023958.0
27,646,4.33,102,6.614678899082569,327,5429882.0
277,119,3.0,114,9.3,10,65887.0
395,775,6.67,109,9.643512450851901,763,1849416.0
228,609,6.58,117,8.542372881355933,354,498831.0
320,667,4.88,118,8.190140845070422,426,631545.0
147,607,4.63,122,7.160621761658031,579,2633231.0
879,802,6.33,87,8.526315789473685,57,965178.0
494,711,5.8,100,7.543103448275862,696,1305145.0
449,461,3.0,101,8.137362637362637,182,102170.0
663,1177,8.14,110,8.593857634902411,3484,3772713.0
106,1009,5.63,124,8.942040816326529,1225,17833713.0
350,53,0.0,60,9.692307692307693,26,307662.0
523,228,6.44,106,9.649484536082477,291,687080.0
389,935,6.0,119,8.796284433055732,1561,2910138.0
448,198,0.0,78,0.0,0,108730.0
93,233,7.31,117,7.9655172413793105,29,55892.0
259,246,6.97,119,8.899497487437184,199,996403.0
554,314,0.0,76,8.418604651162791,43,63340.0
823,488,4.0,97,8.34862385321101,109,54410.0
170,335,5.33,124,8.857142857142858,35,1966151.0
254,470,3.67,105,6.3444444444444414,90,148512.0
602,544,5.5,91,9.471153846153848,104,305582.0
252,474,5.54,108,7.553719008264463,121,169855.0
306,717,8.75,222,9.0,1,0.0
547,164,0.0,86,0.0,0,79446.0
738,28,6.0,104,9.452380952380953,42,45764.0
882,678,7.9,161,8.068441064638783,263,778167.0
428,250,7.0,122,8.647058823529411,34,1577296.0
186,73,6.21,115,7.14,200,70202.0
269,255,6.86,116,9.130952380952381,84,82210.0
162,245,6.81,105,8.825581395348838,86,136946.0
413,546,6.5,124,8.69620253164557,632,1015891.0
717,531,6.5,120,7.906403940886699,203,8210440.0
731,335,5.5,90,6.782608695652174,69,57579.0
98,231,4.94,106,8.04761904761905,21,45166.0
6,983,7.08,138,9.294190358467244,809,22415560.0
743,121,6.6,115,9.0,19,37764.0
790,833,4.29,127,7.281081081081082,185,262233.0
611,569,7.29,135,8.41304347826087,184,4302393.0
229,489,7.29,130,7.8130081300812995,246,1028253.0
264,393,4.5,121,8.335766423357665,137,871786.0
368,163,6.2,110,9.0,1,66314.0
646,345,6.43,93,8.823529411764708,51,46487.0
799,737,4.57,130,8.491150442477876,226,0.0
784,224,0.0,113,0.0,0,
830,192,6.2,118,9.6,5,46792.0
403,781,4.6,90,10.0,1,0.0
677,954,6.11,102,7.958402662229616,601,1543800.0
610,544,3.5,103,8.863013698630136,146,214949.0
189,344,4.0,115,8.026315789473685,38,51207.0
332,498,4.33,90,6.3147410358565725,251,288016.0
303,727,8.34,127,8.868760064412239,1242,10113218.0
260,200,0.0,48,9.111111111111107,18,133736.0
144,425,8.59,141,8.902702702702703,185,6576583.0
627,458,0.0,68,7.5,92,907833.0
283,176,6.4,118,8.0,1,55330.0
791,625,5.71,112,7.695431472081219,197,256202.0
11,841,5.84,135,8.053080568720379,1055,3804726.0
755,1047,6.0,129,9.216358839050134,758,6268514.0
594,872,5.5,123,6.30967741935484,310,528007.0
531,351,6.0,101,8.8125,112,166252.0
469,94,6.86,98,7.911764705882352,102,47668.0
127,661,6.6,137,7.791479820627803,446,3701500.0
681,715,5.0,97,8.745495495495495,1332,3882431.0
57,386,6.0,83,5.173333333333333,75,219678.0
33,429,4.0,119,8.396039603960396,202,810861.0
237,515,6.5,103,8.482758620689655,203,1281521.0
854,1108,5.67,119,8.996296296296297,270,7535850.0
282,186,5.17,97,7.66,100,55819.0
586,1099,6.0,101,6.505415162454875,554,35729066.0
362,175,5.9,103,9.466666666666667,15,69586.0
243,696,5.05,93,5.9642857142857135,616,0.0
603,575,5.57,104,9.105022831050226,219,6093136.0
92,264,4.33,133,8.896551724137929,29,159831.0
210,891,6.5,115,7.442600276625173,1446,1278894.0
337,66,6.0,124,9.565400843881855,237,192668.0
301,1278,6.56,132,6.558953033268103,4088,3122222.0
85,290,4.65,106,8.225563909774436,133,78070.0
190,305,4.81,102,7.0588235294117645,17,0.0
39,489,6.75,99,6.72108843537415,294,11416716.0
500,702,6.6,104,9.330445544554456,808,814587.0
623,155,5.0,104,7.490909090909091,110,111541.0
507,218,7.33,109,8.538461538461537,65,1088390.0
634,260,7.0,132,8.733333333333333,45,21424146.0
516,629,6.43,100,7.289855072463768,276,350908.0
104,1202,7.54,131,8.909564570152586,2687,19621922.0
748,2835,7.62,181,9.52442096708655,24610,198955047.0
233,575,7.17,103,7.333333333333332,291,356976.0
676,1010,4.67,115,8.740901683867463,1841,1593386.0
105,1088,6.23,108,8.584792396198099,1999,7838312.0
341,294,5.0,91,8.08860759493671,79,142577.0
253,460,5.0,80,7.788732394366198,284,169257.0
408,622,5.5,92,8.820702402957489,541,2791969.0
422,621,5.86,121,8.617391304347828,460,383336.0
208,764,6.8,125,8.370217166494312,967,1426873.0
908,366,6.6,101,9.9,50,87029.0
713,582,4.0,108,7.639130434782609,230,195146.0
82,58,7.25,119,8.906976744186048,43,374270.0
497,837,6.6,135,7.609907120743034,323,2367815.0
852,975,4.5,113,8.124497991967871,498,6153654.0
583,985,4.6,100,7.064593301435408,836,11501537.0
723,325,6.0,85,8.675,200,279000.0
87,232,6.0,97,7.672131147540983,61,793320.0
64,111,6.25,114,8.851063829787234,94,4889524.0
270,348,0.0,70,7.15483870967742,310,82148.0
605,213,4.0,110,9.103109656301145,611,229346.0
274,147,7.13,97,8.595505617977528,89,74977.0
806,508,6.5,98,7.4,135,658845.0
734,309,0.0,69,8.721153846153848,104,49574.0
827,345,7.67,92,7.5,38,146826.0
153,341,6.33,95,7.2206896551724125,145,161382.0
613,532,5.75,130,7.669811320754717,424,192093.0
913,184,5.5,109,10.0,3,59397.0
410,520,4.0,115,8.734072022160666,361,646195.0
517,617,6.0,93,8.306167400881058,454,341614.0
44,408,6.64,95,8.754716981132075,265,946106.0
625,389,5.33,140,8.629032258064516,248,3701500.0
390,953,6.4,113,9.24909090909091,1650,6930162.0
220,481,5.0,110,8.81132075471698,636,820800.0
140,331,6.42,121,7.760162601626017,246,782240.0
349,167,7.0,103,8.415254237288135,118,109137.0
357,199,6.9,93,8.394736842105264,114,264690.0
133,433,4.5,112,8.637096774193548,372,5748553.0
261,167,8.5,167,8.166666666666666,6,778167.0
278,155,0.0,58,7.775862068965517,232,1206342.0
79,349,0.0,104,7.605263157894738,38,273492.0
903,423,5.25,86,5.482758620689657,29,0.0
115,792,5.63,91,8.239776951672862,1614,27875256.0
757,1336,8.09,100,9.277322404371583,732,2251096.0
775,752,7.0,78,9.024436090225564,1064,18942522.0
718,398,5.29,123,8.64006139677667,1303,11416716.0
380,1469,6.0,136,9.31884765625,2048,8247867.0
864,717,6.0,92,9.267543859649123,228,4905282.0
184,75,7.64,118,8.524590163934427,122,392466.0
732,490,6.5,97,8.983606557377051,61,782240.0
358,354,8.1,103,8.333333333333334,90,79889.0
36,452,4.55,102,8.2565445026178,191,387409.0
339,425,5.0,80,8.25974025974026,154,151360.0
776,850,5.33,100,7.986870897155361,457,1672226.0
420,607,7.0,89,8.644,750,905037.0
149,360,0.0,80,8.790748898678414,454,7587500.0
9,894,7.16,108,8.393271461716939,862,9465112.0
45,330,6.0,91,8.049382716049383,162,894894.0
95,210,0.0,70,7.529411764705883,68,51884.0
836,2648,6.75,103,8.95408163265306,1764,40107261.0
