,title,director,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,sequel,original,actor_power,director_count,director_movie_count,actor_movie_count,log_aud
18,쎄시봉,김현석,씨제이이앤엠(주),A,2/5/2015,winter,개봉영화,장편,한국,829,13509581911.0,1707487,3396629711,414692,멜로/로맨스,15세이상관람가,일반영화,6.11,"정우,김윤석,한효주",122,8.434243176,403,2015,870785,1,0,37303827,1,1,8,14.350533256928115
19,위플래쉬,데이미언 셔젤,(주)쇼박스,C,3/12/2015,spring,개봉영화,장편,미국,436,12426704845.0,1559430,5222711445,633918,드라마,15세이상관람가,독립/예술영화,8.44,"마일즈 텔러,J.K. 시몬스",106,9.083129584,409,2015,0,1,0,200,1,0,1,14.259830927841112
20,마다가스카의 펭귄,"에릭 다넬,사이몬 J.스미스",씨제이이앤엠(주),A,12/31/2014,winter,개봉영화,장편,미국,615,11450482159.0,1512340,2764115059,346739,애니메이션,전체관람가,일반영화,6.33,"베네딕트 컴버배치,존 말코비치,톰 맥그라스",92,8.681981982,1110,2014,1390190,0,1,10578164,2,1,7,14.229168678167525
21,차이나타운,한준희,CGV아트하우스,A,4/29/2015,spring,개봉영화,장편,한국,551,11989400678.0,1472006,3327822078,395351,범죄,청소년관람불가,일반영화,6.03,"김혜수,김고은,엄태구",110,7.491289199,574,2015,0,0,0,23495448,1,0,6,14.202136654349609
22,장수상회,강제규,씨제이이앤엠(주),A,4/9/2015,spring,개봉영화,장편,한국,688,8707389643.0,1160935,2204750243,284742,멜로/로맨스,12세이상관람가,일반영화,6.36,"박근형,윤여정,조진웅",112,8.677725118,211,2015,0,1,0,38288122,1,0,12,13.964736272893965
23,간신,민규동,롯데쇼핑㈜롯데엔터테인먼트,A,5/21/2015,spring,개봉영화,장편,한국,697,8946618910.0,1110214,2421410210,289236,사극,청소년관람불가,일반영화,4.97,"주지훈,김강우,천호진",131,7.268542199,391,2015,5222820,0,0,9437615,1,4,10,13.920063347499168
24,박물관이 살아있다 : 비밀의 무덤,숀 레비,이십세기폭스코리아(주),B,1/14/2015,winter,개봉영화,장편,미국,500,8170784606.0,1101678,2209722306,288421,어드벤처,전체관람가,일반영화,5.67,"벤 스틸러,로빈 윌리엄스,댄 스티븐스",98,8.313559322,354,2015,0,0,0,1783439,1,0,5,13.912345029990167
25,허삼관,하정우,(주)넥스트엔터테인먼트월드(NEW),C,1/14/2015,winter,개봉영화,장편,한국,621,7405415569.0,955175,1879461269,232983,드라마,12세이상관람가,일반영화,6.46,"하정우,하지원",124,7.811816192999999,457,2015,270148,1,0,26394758,1,1,8,13.769649848748655
26,"님아, 그 강을 건너지 마오",진모영,"CGV아트하우스,(주)대명문화공장",A,11/27/2014,autumn,개봉영화,장편,한국,206,7509448200.0,955149,1833419900,228599,다큐멘터리,전체관람가,독립/예술영화,6.0,"조병만,강계열",86,9.67,100,2014,0,1,0,0,1,0,0,13.769622628235274
27,살인의뢰,손용호,씨네그루(주)다우기술,B,3/12/2015,spring,개봉영화,장편,한국,646,6986456737.0,855980,1716336937,201830,범죄,청소년관람불가,일반영화,4.33,"김상경,김성균,박성웅",102,6.614678898999999,327,2015,0,1,0,42388996,1,0,19,13.660002290364943
28,기술자들,김홍선,롯데쇼핑㈜롯데엔터테인먼트,A,12/24/2014,winter,개봉영화,장편,한국,641,6241817635.0,786257,1295768435,156201,범죄,15세이상관람가,일반영화,4.75,"김우빈,김영철,고창석",116,7.925486876,1181,2014,1646142,0,0,11457458,1,1,4,13.575038989977823
29,신데렐라,케네스 브래너,월트디즈니컴퍼니코리아(주),B,3/19/2015,spring,개봉영화,장편,미국,531,5499767900.0,716386,1654573800,205943,멜로/로맨스,전체관람가,일반영화,6.5,"릴리 제임스,리차드 매든,케이트 블란쳇",113,8.403278689,305,2015,327591,1,0,10302428,1,1,5,13.481974406822523
30,채피,닐 블롬캠프,유니버설픽쳐스인터내셔널 코리아(유),B,3/12/2015,spring,개봉영화,장편,미국,536,4620348654.0,573657,1430685654,167768,액션,15세이상관람가,일반영화,5.78,"휴 잭맨,샬토 코플리,시고니 위버",120,7.703703704,216,2015,1207732,1,0,12509432,1,1,8,13.259786935715377
31,헬머니,신한솔,(주)넥스트엔터테인먼트월드(NEW),C,3/5/2015,spring,개봉영화,장편,한국,422,4096141972.0,519983,799976772,98593,코미디,청소년관람불가,일반영화,4.13,"김수미,정만식,김정태",108,7.56462585,147,2015,0,0,0,43034509,1,0,12,13.161551397715513
32,도라에몽 : 스탠 바이 미,"야마자키 타카시,야기 류이치",(주)넥스트엔터테인먼트월드(NEW),C,2/12/2015,winter,개봉영화,장편,일본,432,3681140429.0,503516,681756129,88689,애니메이션,전체관람가,일반영화,7.0,"미즈타,와사비,오오하라 메구미,카카즈 유미",95,8.517928287,251,2015,0,1,1,331280,2,0,2,13.129370768192958
33,위험한 상견례 2,김진영,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",A,4/29/2015,spring,개봉영화,장편,한국,429,3575384754.0,472693,738570754,93940,멜로/로맨스,15세이상관람가,일반영화,4.0,"진세연,홍종현,신정근",119,8.396039604,202,2015,338168,0,1,22214097,1,1,6,13.066201408125034
34,순수의 시대,안상훈,씨제이이앤엠(주),A,3/5/2015,spring,개봉영화,장편,한국,546,3702353828.0,465492,1047948228,125716,사극,청소년관람불가,일반영화,4.57,"신하균,장혁,강한나",113,6.721153846,208,2015,0,0,0,4296558,1,0,3,13.050850189729884
35,무뢰한,오승욱,CGV아트하우스,A,5/27/2015,spring,개봉영화,장편,한국,482,3253854931.0,413577,1111717431,136411,멜로/로맨스,청소년관람불가,일반영화,7.21,"전도연,김남길,박성웅",118,7.502283105,219,2015,0,0,0,23523340,1,0,10,12.93259899134577
36,내 심장을 쏴라,문제용,"(주)리틀빅픽쳐스,(주)이수C&E",D,1/28/2015,winter,개봉영화,장편,한국,452,2856859132.0,387409,602511932,79237,드라마,15세이상관람가,일반영화,4.55,"이민기,여진구",102,8.256544502999999,191,2015,0,1,0,4265101,1,0,3,12.867236261486934
37,그레이의 50가지 그림자,샘 테일러-존슨,유니버설픽쳐스인터내셔널 코리아(유),B,2/26/2015,winter,개봉영화,장편,미국,512,2918598796.0,364415,1201564996,145292,드라마,청소년관람불가,일반영화,3.07,"제이미 도넌,다코타 존슨,루크 그림즈",125,5.57518797,266,2015,0,1,0,0,1,0,0,12.806048607077276
38,홈,팀 존슨,씨제이이앤엠(주),A,5/21/2015,spring,개봉영화,장편,미국,532,2691338791.0,360445,649663691,83379,애니메이션,전체관람가,일반영화,6.56,"짐 파슨스,리아나,제니퍼 로페즈",94,8.260869565,207,2015,0,0,0,1648070,1,0,1,12.795094658187061
39,경성학교: 사라진 소녀들,이해영,롯데쇼핑㈜롯데엔터테인먼트,A,6/18/2015,summer,개봉영화,장편,한국,489,2710740700.0,351208,715075900,88741,미스터리,15세이상관람가,일반영화,6.75,"박보영,엄지원,박소담",99,6.721088435,294,2015,0,0,0,10387634,1,0,9,12.76913391952694
40,아메리칸 스나이퍼,클린트 이스트우드,워너브러더스 코리아(주),B,1/14/2015,winter,개봉영화,장편,미국,308,2800001438.0,344766,1052863738,126890,액션,청소년관람불가,일반영화,7.25,"브래들리 쿠퍼,시에나 밀러,제이크 맥더맨",132,8.669902913,206,2015,0,1,0,1767333,1,0,7,12.750621205020966
41,호빗: 다섯 군대 전투,피터 잭슨,워너브러더스 코리아(주),B,12/17/2014,winter,개봉영화,장편,미국,926,2840004341.0,326887,1007967441,104765,어드벤처,12세이상관람가,일반영화,6.42,"마틴 프리먼,이안 맥켈런,리처드 아미티지",144,8.620253165,1185,2014,4721002,1,1,7546878,1,2,4,12.697369824408552
42,스폰지밥 3D,폴 티비트,씨제이이앤엠(주),A,2/18/2015,winter,개봉영화,장편,미국,357,2458946200.0,325016,512218000,65131,애니메이션,전체관람가,일반영화,5.5,"전태열,이인성,안토니오 반데라스",92,7.947826087,345,2015,0,1,0,2232404,1,0,4,12.691629690869311
43,주피터 어센딩,"라나 워쇼스키,릴리 워쇼스키",워너브러더스 코리아(주),B,2/5/2015,winter,개봉영화,장편,미국,561,2685741879.0,309729,832233679,89787,SF,12세이상관람가,일반영화,4.75,"밀라 쿠니스,채닝 테이텀,숀 빈",127,6.739495797999999,119,2015,898142,0,0,2583354,2,2,8,12.643453000582925
44,패딩턴,폴 킹,롯데쇼핑㈜롯데엔터테인먼트,A,1/7/2015,winter,개봉영화,장편,영국,408,2246424729.0,305100,646094129,84276,코미디,전체관람가,일반영화,6.64,"벤 위쇼,니콜 키드먼,휴 보네빌",95,8.754716981,265,2015,0,1,0,1144385,1,0,7,12.628394870704762
45,오즈의 마법사: 돌아온 도로시,"윌 핀,댄 세인트 피에르",(주)박수엔터테인먼트,D,2/12/2015,winter,개봉영화,장편,미국,330,2175321000.0,298298,518209900,68014,애니메이션,전체관람가,독립/예술영화,6.0,"박지윤,김하영,신용우",91,8.049382716,162,2015,0,1,0,47204,2,0,2,12.605848265820626
46,런 올 나이트,자움 콜렛 세라,워너브러더스 코리아(주),B,3/19/2015,spring,개봉영화,장편,미국,411,2293671495.0,289534,623115595,76106,액션,청소년관람불가,일반영화,5.94,"리암 니슨,조엘 킨나만,에드 해리스",114,8.026086957,115,2015,2084457,0,0,17046553,1,1,10,12.576028012967935
47,다이노 타임,"최윤석,존 카프카",씨제이이앤엠(주),A,4/30/2015,spring,개봉영화,장편,한국,430,2099627100.0,283292,405724600,52818,애니메이션,전체관람가,일반영화,0.0,"멜라니 그리피스,제인 린치,윌리암 볼드윈",85,8.539370079,254,2015,0,0,0,0,2,0,0,12.554233446803583
48,인서전트,로베르트 슈벤트케,롯데쇼핑㈜롯데엔터테인먼트,A,3/25/2015,spring,개봉영화,장편,미국,480,2158449889.0,282662,650066489,81654,SF,15세이상관람가,일반영화,5.0,"쉐일린 우들리,테오 제임스,케이트 윈슬렛",119,7.433962264,159,2015,101460,1,1,2251229,1,1,7,12.552007116535686
49,소수의견,김성제,(주)시네마서비스,D,6/24/2015,summer,개봉영화,장편,한국,398,2015282936.0,268255,692212236,90111,드라마,15세이상관람가,일반영화,7.18,"윤계상,유해진,김옥빈",126,9.085,200,2015,0,1,0,17753412,1,0,9,12.49969329964822
50,백 투 더 비기닝,딘 이스라엘리트,롯데쇼핑㈜롯데엔터테인먼트,A,2/26/2015,winter,개봉영화,장편,미국,423,2016298400.0,266389,586021800,74127,SF,15세이상관람가,일반영화,4.0,"조니 웨스턴,소피아 블랙 디엘리아,샘 러너",106,7.68907563,119,2015,0,0,0,0,1,0,0,12.492712925504572
51,투모로우랜드,브래드 버드,월트디즈니컴퍼니코리아(주),B,5/27/2015,spring,개봉영화,장편,미국,435,2082869000.0,265744,682335600,83016,액션,12세이상관람가,일반영화,5.5,"조지 클루니,휴 로리,브릿 로버트슨",129,7.915384615,130,2015,0,0,0,116172,1,0,2,12.49028871833878
52,개를 훔치는 완벽한 방법,김성호,"(주)리틀빅픽쳐스,(주)대명문화공장",D,12/31/2014,winter,개봉영화,장편,한국,205,2018597565.0,262943,667976565,84221,드라마,전체관람가,독립/예술영화,7.04,"이레,이지원,홍은택",109,8.664556962,158,2014,493622,1,0,0,1,2,0,12.47969255763253
53,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,야마모토 야스이치로,씨제이이앤엠(주),A,2/12/2015,winter,개봉영화,장편,일본,187,1885543600.0,257381,356320500,48679,애니메이션,12세이상관람가,일반영화,5.0,"김선혜,강수진,이현진",92,8.571428571,7,2015,1273318,1,1,2174394,1,4,7,12.458312756345881
54,언브로큰,안젤리나 졸리,유니버설픽쳐스인터내셔널 코리아(유),B,1/7/2015,winter,개봉영화,장편,미국,401,1997947292.0,256475,605776392,75489,액션,15세이상관람가,일반영화,5.33,"잭 오코넬,도널 글리슨,가렛 헤드룬드",137,8.067164179,134,2015,0,1,0,2892009,1,0,2,12.454786472955913
55,소셜포비아,홍석재,CGV아트하우스,A,3/12/2015,spring,개봉영화,장편,한국,368,1950635763.0,248215,551485163,67072,스릴러,15세이상관람가,독립/예술영화,7.18,"변요한,이주승,류준열",102,7.655555556,90,2015,0,0,0,5503296,1,0,4,12.422050585059472
56,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,유야마 쿠니히코,롯데쇼핑㈜롯데엔터테인먼트,A,1/14/2015,winter,개봉영화,장편,일본,360,1653084000.0,233347,385135900,52427,애니메이션,전체관람가,일반영화,6.0,"조현정,이선호,마츠모토 리카",98,8.552301255,239,2015,729645,1,1,1723043,1,4,6,12.360281895070765
57,언프렌디드: 친구삭제,레오 가브리아제,유니버설픽쳐스인터내셔널 코리아(유),B,5/7/2015,spring,개봉영화,장편,미국,386,1643911941.0,219678,347479141,45233,공포,15세이상관람가,일반영화,6.0,"헤더 소서맨,쉘리 헨닝,모세 제이콥 스톰",83,5.173333333,75,2015,0,0,0,0,1,0,0,12.299918116808861
58,노아의 방주: 남겨진 녀석들,토비 젠켈,씨네그루(주)다우기술,B,4/30/2015,spring,개봉영화,장편,기타,436,1586417300.0,219621,362928700,48437,애니메이션,전체관람가,일반영화,6.16,"김하영,배진홍,윤세웅",85,8.408866995,203,2015,0,0,0,77624,1,0,2,12.299658612460707
59,연애의 맛,김아론,"(주)와우픽쳐스,(주)쇼박스",D,5/7/2015,spring,개봉영화,장편,한국,398,1706805153.0,212154,382376253,45698,멜로/로맨스,청소년관람불가,일반영화,5.0,"오지호,강예원",101,8.14953271,107,2015,0,0,0,527136,1,0,2,12.265067705036746
60,버드맨,알레한드로 곤잘레스 이냐리투,이십세기폭스코리아(주),B,3/5/2015,spring,개봉영화,장편,미국,380,1653103800.0,204742,855370200,103328,코미디,청소년관람불가,일반영화,8.1,"마이클 키튼,에드워드 노튼,엠마 스톤",119,8.532051282000001,156,2015,0,0,0,8099449,1,0,6,12.229505928912912
61,기생수 파트1,야마자키 타카시,판씨네마(주),D,2/26/2015,winter,개봉영화,장편,일본,247,1534923185.0,186184,438111585,51401,스릴러,청소년관람불가,일반영화,5.5,"소메타니 쇼타,아베 사다오,후카츠 에리",110,8.262068966000001,145,2015,0,1,0,8741,1,0,2,12.134490711024501
62,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아(주),B,11/6/2014,autumn,개봉영화,장편,미국,1342,1619640900.0,170235,884774800,92474,SF,12세이상관람가,일반영화,7.9,"매튜 맥커너히,앤 해서웨이,마이클 케인",169,9.280903327999999,2524,2014,6396528,0,0,13474490,1,1,4,12.04493511440335
63,최강전사 미니특공대 : 새로운 악당의 습격,이영준,에이원엔터테인먼트,D,2/5/2015,winter,개봉영화,장편,한국,318,1163431200.0,154342,220766300,27906,애니메이션,전체관람가,일반영화,0.0,"엄상현,전태열,신용우",60,7.558252427,206,2015,0,1,0,211248,1,0,6,11.946926198331159
64,아메리칸 셰프,존 파브로,(주)영화사 진진,D,1/7/2015,winter,개봉영화,장편,미국,111,1240660929.0,151833,787266129,95079,코미디,15세이상관람가,독립/예술영화,6.25,"존 파브로,엠제이 안소니,소피아 베르가라",114,8.85106383,94,2015,0,1,0,9001144,1,0,1,11.930536511621948
65,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,타카하시 와타루,(주)이수C&E,B,4/23/2015,spring,개봉영화,장편,일본,372,1085388600.0,150226,171433200,22562,애니메이션,전체관람가,일반영화,7.0,"야지마 아키코,나라하시 미키,후지와라 케이지",97,8.573333332999999,75,2015,0,1,1,820828,1,0,4,11.919896105861618
66,워킹걸,정범식,메가박스중앙(주)플러스엠,A,1/7/2015,winter,개봉영화,장편,한국,308,1183887479.0,149181,389163479,49874,코미디,청소년관람불가,일반영화,3.75,"조여정,클라라,김태우",112,7.203703704,108,2015,824183,1,0,24500777,1,2,7,11.912915612798123
67,은밀한 유혹,윤재구,씨제이이앤엠(주),A,6/4/2015,summer,개봉영화,장편,한국,394,1112273247.0,142375,353352647,43475,멜로/로맨스,15세이상관람가,일반영화,3.71,"임수정,유연석",110,7.275,80,2015,0,1,0,16859755,1,0,9,11.866219700749483
68,화장,임권택,(주)리틀빅픽쳐스,D,4/9/2015,spring,개봉영화,장편,한국,327,1059405100.0,140616,338077900,43757,드라마,청소년관람불가,독립/예술영화,6.78,"안성기,김규리,김호정",94,7.6363636360000005,44,2015,0,1,0,9597061,1,0,7,11.853788049892735
69,워터 디바이너,러셀 크로우,롯데쇼핑㈜롯데엔터테인먼트,A,1/28/2015,winter,개봉영화,장편,미국,326,1008818235.0,136134,315480635,42375,드라마,15세이상관람가,일반영화,5.9,"러셀 크로우,올가 쿠릴렌코,제이 코트니",111,8.166666667000001,42,2015,0,1,0,10886022,1,0,10,11.821394973752195
70,눈의 여왕 2: 트롤의 마법거울,알렉세이 트시칠린,씨네그루(주)다우기술,B,12/24/2014,winter,개봉영화,장편,기타,479,859030900.0,120278,171264600,22406,애니메이션,전체관람가,독립/예술영화,0.0,"벨라 손,샬토 코플리",78,7.260797342,602,2014,0,1,1,1207732,1,0,1,11.697561009095914
71,19곰 테드 2,세스 맥팔레인,유니버설픽쳐스인터내셔널 코리아(유),B,6/25/2015,summer,개봉영화,장편,미국,297,961888700.0,119518,378111600,45161,코미디,청소년관람불가,일반영화,5.0,"마크 월버그,아만다 사이프리드,세스 맥팔레인",115,8.293233082999999,133,2015,283947,0,1,7802884,1,2,11,11.691222266625566
72,나의 절친 악당들,임상수,이십세기폭스코리아(주),B,6/25/2015,summer,개봉영화,장편,한국,384,921337864.0,116444,298390064,35949,범죄,청소년관람불가,일반영화,5.5,"류승범,고준희,류현경",110,5.9,80,2015,1165481,0,0,14161423,1,1,11,11.665165749725729
73,존 윅,"데이빗 레이치,채드 스타헬스키","(주)제이앤씨미디어그룹,(주)나이너스엔터테인먼트",D,1/21/2015,winter,개봉영화,장편,미국,321,925995637.0,116119,338434537,41631,액션,청소년관람불가,일반영화,6.05,"키아누 리브스,미카엘 니크비스트",107,7.644067797000001,59,2015,0,0,0,5663,2,0,1,11.662370806320569
74,상의원,이원석,"(주)쇼박스,(주)와우픽쳐스",C,12/24/2014,winter,개봉영화,장편,한국,466,908709400.0,113526,290262800,35338,사극,15세이상관람가,일반영화,5.21,"한석규,고수,박신혜",127,7.787072243,526,2014,507257,0,0,25177635,1,1,6,11.639787164559817
75,스틸 앨리스,"리처드 글랫저,워시 웨스트모어랜드",그린나래미디어(주),D,4/29/2015,spring,개봉영화,장편,미국,109,856716246.0,111005,479597846,60784,드라마,12세이상관람가,독립/예술영화,6.57,"줄리안 무어,알렉 볼드윈,크리스틴 스튜어트",101,8.342105262999999,76,2015,0,1,0,10971393,2,0,12,11.617330524325018
76,더 건맨,피에르 모렐,롯데쇼핑㈜롯데엔터테인먼트,A,4/16/2015,spring,개봉영화,장편,프랑스,349,833910965.0,107441,240106365,30062,액션,청소년관람불가,일반영화,4.58,"숀 펜,하비에르 바르뎀,이드리스 엘바",113,7.086486486,185,2015,0,1,0,9164691,1,0,8,11.584697138674281
77,빌리와 용감한 녀석들 3,척 파워스,롯데쇼핑㈜롯데엔터테인먼트,A,4/30/2015,spring,개봉영화,장편,미국,343,699788600.0,98495,177312700,23652,애니메이션,전체관람가,독립/예술영화,5.0,"엄상현,조현정,숀 애스틴",80,7.263157895,114,2015,0,0,0,1199118,1,0,8,11.497761064450456
78,7번째 아들,세르게이 보드로프,유니버설픽쳐스인터내셔널 코리아(유),B,2/11/2015,winter,개봉영화,장편,미국,358,729980451.0,92598,218674251,25546,어드벤처,12세이상관람가,일반영화,5.0,"제프 브리지스,벤 반스,줄리안 무어",102,6.655172414,29,2015,0,1,0,3189921,1,0,9,11.436022822128887
79,포커스,"글렌 피카라,존 레쿼",워너브러더스 코리아(주),B,2/26/2015,winter,개봉영화,장편,미국,349,702878700.0,91164,227994000,28313,코미디,15세이상관람가,일반영화,0.0,"윌 스미스,마고 로비,로드리고 산토로",104,7.605263158,38,2015,0,0,0,3445516,2,0,2,11.420415361291221
80,심야식당,마츠오카 조지,(주)영화사 진진,D,6/18/2015,summer,개봉영화,장편,일본,180,711908074.0,90416,351932174,43398,드라마,12세이상관람가,독립/예술영화,6.03,"코바야시 카오루,오다기리 죠",120,8.550724638,138,2015,0,1,0,0,1,0,0,11.412176521869625
81,빅 아이즈,팀 버튼,판씨네마(주),D,1/28/2015,winter,개봉영화,장편,미국,290,651316335.0,85200,333321635,42902,드라마,12세이상관람가,독립/예술영화,7.09,"에이미 아담스,크리스토프 왈츠",105,8.131578947000001,76,2015,626104,1,0,3570551,1,2,7,11.352756712817406
82,와일드,장 마크 발레,이십세기폭스코리아(주),B,1/22/2015,winter,개봉영화,장편,미국,58,665271800.0,83334,408810700,50722,드라마,청소년관람불가,독립/예술영화,7.25,"리즈 위더스푼,로라 던,토머스 새도스키",119,8.906976744,43,2015,73663,1,0,873397,1,2,2,11.330611908144274
83,더 이퀄라이저,안톤 후쿠아,유니버설픽쳐스인터내셔널 코리아(유),B,1/28/2015,winter,개봉영화,장편,미국,255,639464500.0,82779,220031900,28526,액션,청소년관람불가,일반영화,6.25,"덴젤 워싱턴,콜로이 모레츠,마튼 초카스",131,8.136363636,22,2015,178073,1,0,20491,1,2,1,11.323929685017145
84,세인트 빈센트,데오도르 멜피,(주)영화사 빅,D,3/5/2015,spring,개봉영화,장편,미국,308,604885528.0,78336,225289928,28351,코미디,12세이상관람가,독립/예술영화,6.19,"빌 머레이,나오미 왓츠,멜리사 맥카시",102,8.275862069,29,2015,0,0,0,234947,1,0,4,11.268762546431944
