,title,director,producer,importer,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,director_movie_num,sequel,original,actor_power
10,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),B,5/21/2015,spring,개봉영화,장편,미국,665,18385015858.0,2314520,5381937358,647117,액션,15세이상관람가,일반영화,7.32,"멜리사 맥카시,주드 로,제이슨 스타뎀",120,8.889208632999999,695,2015,2023958.0,4 [4],0,0,25277599
11,강남 1970,유하,"(주)모베라픽처스,(주)쇼박스",,(주)쇼박스,C,1/21/2015,winter,개봉영화,장편,한국,841,17717971499.0,2192172,4859661899,586992,액션,청소년관람불가,일반영화,5.84,"이민호,김래원,정진영",135,8.053080569,1055,2015,3804726.0,1 [1],0,0,64819098
12,악의 연대기,백운학,(주)비에이엔터테인먼트,,씨제이이앤엠(주),A,5/14/2015,spring,개봉영화,장편,한국,776,17357873332.0,2191793,4129615932,497664,스릴러,15세이상관람가,일반영화,5.81,"손현주,마동석,최다니엘",102,8.428093645,598,2015,2191793.0,1 [1],0,0,288312402
13,오늘의 연애,박진표,(주)팝콘에프앤엠,,씨제이이앤엠(주),A,1/14/2015,winter,개봉영화,장편,한국,709,14924654487.0,1891993,3951958987,480061,멜로/로맨스,15세이상관람가,일반영화,4.0,"이승기,문채원,이서진",118,8.060514372,661,2015,1891993.0,1 [1],0,0,81655172
14,연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),C,6/24/2015,summer,개봉영화,장편,한국,1013,14298162159.0,1872677,3158195559,399170,드라마,12세이상관람가,일반영화,4.94,"김무열,진구,이현우",130,9.344880677,1299,2015,1872677.0,1 [1],1,0,99406182
15,테이큰 3,올리비에 메가턴,,이십세기폭스코리아(주),이십세기폭스코리아(주),B,1/1/2015,winter,개봉영화,장편,미국,616,15088105000.0,1860934,4082036100,487343,액션,15세이상관람가,일반영화,3.88,"리암 니슨,팜케 얀센,매기 그레이스",112,8.095959596,990,2015,4169530.0,1 [1],0,1,100349858
16,이미테이션 게임,모튼 틸덤,,(주)미디어로그,메가박스중앙(주)플러스엠,A,2/17/2015,winter,개봉영화,장편,영국,541,13654746120.0,1743774,4581883920,569958,드라마,15세이상관람가,일반영화,7.25,"베네딕트 컴버배치,키이라 나이틀리,매튜 구드",114,8.726821192000001,604,2015,3487587.0,2 [2],1,0,69343290
17,샌 안드레아스,브래드 페이튼,,워너브러더스 코리아(주),워너브러더스 코리아(주),B,6/3/2015,summer,개봉영화,장편,미국,847,14397026552.0,1712142,3817925452,429180,액션,12세이상관람가,일반영화,4.9,"드웨인 존슨,알렉산드라 다드다리오,칼라 구기노",114,8.426070038999999,514,2015,5977451.0,2 [2],0,0,140613327
18,쎄시봉,김현석,"유한회사 제이필름,(주)무브픽쳐스",,씨제이이앤엠(주),A,2/5/2015,winter,개봉영화,장편,한국,829,13509581911.0,1707487,3396629711,414692,멜로/로맨스,15세이상관람가,일반영화,6.11,"정우,김윤석,한효주",122,8.434243176,403,2015,7565055.0,2 [2],1,0,377954343
19,위플래쉬,데이미언 셔젤,,(주)에이든컴퍼니,(주)쇼박스,C,3/12/2015,spring,개봉영화,장편,미국,436,12426704845.0,1559430,5222711445,633918,드라마,15세이상관람가,독립/예술영화,8.44,"마일즈 텔러,J.K. 시몬스",106,9.083129584,409,2015,10113218.0,3 [3],1,0,25116537
20,마다가스카의 펭귄,"에릭 다넬,사이몬 J.스미스",,씨제이이앤엠(주),씨제이이앤엠(주),A,12/31/2014,winter,개봉영화,장편,미국,615,11450482159.0,1512340,2764115059,346739,애니메이션,전체관람가,일반영화,6.33,"베네딕트 컴버배치,존 말코비치,톰 맥그라스",92,8.681981982,1110,2014,3227050.0,"2 [1, 1]",0,1,51796067
21,차이나타운,한준희,폴룩스픽쳐스(주),,CGV아트하우스,A,4/29/2015,spring,개봉영화,장편,한국,551,11989400678.0,1472006,3327822078,395351,범죄,청소년관람불가,일반영화,6.03,"김혜수,김고은,엄태구",110,7.491289199,574,2015,1826714.0,2 [2],0,0,96690887
22,장수상회,강제규,"(주)빅픽쳐,씨제이이앤엠(주)",,씨제이이앤엠(주),A,4/9/2015,spring,개봉영화,장편,한국,688,8707389643.0,1160935,2204750243,284742,멜로/로맨스,12세이상관람가,일반영화,6.36,"박근형,윤여정,조진웅",112,8.677725118,211,2015,1160935.0,1 [1],1,0,426986393
23,간신,민규동,(주)수필름,,롯데쇼핑㈜롯데엔터테인먼트,A,5/21/2015,spring,개봉영화,장편,한국,697,8946618910.0,1110214,2421410210,289236,사극,청소년관람불가,일반영화,4.97,"주지훈,김강우,천호진",131,7.268542199,391,2015,9729747.0,3 [3],0,0,270017259
24,박물관이 살아있다 : 비밀의 무덤,숀 레비,,이십세기폭스코리아(주),이십세기폭스코리아(주),B,1/14/2015,winter,개봉영화,장편,미국,500,8170784606.0,1101678,2209722306,288421,어드벤처,전체관람가,일반영화,5.67,"벤 스틸러,로빈 윌리엄스,댄 스티븐스",98,8.313559322,354,2015,1101678.0,1 [1],0,0,17645881
25,허삼관,하정우,"(주)두타연,(주)판타지오픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),C,1/14/2015,winter,개봉영화,장편,한국,621,7405415569.0,955175,1879461269,232983,드라마,12세이상관람가,일반영화,6.46,"하정우,하지원",124,7.811816192999999,457,2015,1225323.0,1 [1],1,0,516158873
26,"님아, 그 강을 건너지 마오",진모영,아거스필름,,"CGV아트하우스,(주)대명문화공장",A,11/27/2014,autumn,개봉영화,장편,한국,206,7509448200.0,955149,1833419900,228599,다큐멘터리,전체관람가,독립/예술영화,6.0,"조병만,강계열",86,9.67,100,2014,3846206.0,1 [1],1,0,0
27,살인의뢰,손용호,(주)미인픽쳐스,,씨네그루(주)다우기술,B,3/12/2015,spring,개봉영화,장편,한국,646,6986456737.0,855980,1716336937,201830,범죄,청소년관람불가,일반영화,4.33,"김상경,김성균,박성웅",102,6.614678898999999,327,2015,5429882.0,2 [2],1,0,168552961
28,기술자들,김홍선,(주)트리니티엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,A,12/24/2014,winter,개봉영화,장편,한국,641,6241817635.0,786257,1295768435,156201,범죄,15세이상관람가,일반영화,4.75,"김우빈,김영철,고창석",116,7.925486876,1181,2014,6153654.0,3 [3],0,0,61621051
29,신데렐라,케네스 브래너,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),B,3/19/2015,spring,개봉영화,장편,미국,531,5499767900.0,716386,1654573800,205943,멜로/로맨스,전체관람가,일반영화,6.5,"릴리 제임스,리차드 매든,케이트 블란쳇",113,8.403278689,305,2015,1520015.0,2 [2],1,0,64688576
