,title,director,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,sequel,original,actor_power,director_count,director_movie_count,actor_movie_count,before_news,after_news,holiday,dist_cat
496,스타워즈: 라스트 제다이,라이언 존슨,월트디즈니컴퍼니코리아 유한책임회사,B,20171214,winter,개봉영화,장편,미국,1107,8535886061.0,3253329661,325647,액션,12세이상관람가,일반영화,7.75,"데이지 리들리,마크 해밀,아담 드라이버",152,7.827302632,608,2017,0,1,0,2936404,1,0,3,385,669,0,B
397,23 아이덴티티,M. 나이트 샤말란,유니버설픽쳐스인터내셔널 코리아(유),B,20170222,winter,개봉영화,장편,미국,952,13609456135.0,4134850035,490806,스릴러,15세이상관람가,일반영화,6.5,"제임스 맥어보이,안야 테일러 조이",117,7.8787731260000005,2054,2017,52197,0,1,7295598,1,1,3,40,339,0,B
664,아쿠아맨,제임스 완,워너브러더스 코리아(주),B,20181219,winter,개봉영화,장편,미국,1285,30454292381.0,8140709631,892939,액션,12세이상관람가,일반영화,6.83,"제이슨 모모아,앰버 허드,니콜 키드먼",143,8.768219833,1674,2018,4972485,0,1,4103559,1,2,10,228,846,0,B
157,우먼 인 골드,사이먼 커티스,(주)팝엔터테인먼트,D,20150709,summer,개봉영화,장편,미국,252,1096192800.0,571626200,71829,드라마,12세이상관람가,독립/예술영화,7.0,"헬렌 미렌,라이언 레이놀즈,다니엘 브륄",109,9.0625,80,2015,19387,1,0,5946775,1,1,5,21,48,0,C
546,원더,스티븐 크보스키,CGV아트하우스,A,20171227,winter,개봉영화,장편,미국,183,632389700.0,266568600,34246,드라마,전체관람가,독립/예술영화,6.86,"제이콥 트렘블레이,줄리아 로버츠,오웬 윌슨",113,9.404761905,42,2017,0,0,1,1272633,1,0,5,58,146,0,A
753,증인,이한,롯데컬처웍스(주)롯데엔터테인먼트,A,20190213,winter,개봉영화,장편,한국,1047,20312348931.0,4478036341,547326,드라마,12세이상관람가,일반영화,6.0,"정우성,김향기",129,9.216358839,758,2019,1069550,0,0,32339493,1,2,9,108,455,0,A
77,빌리와 용감한 녀석들 3,척 파워스,롯데쇼핑㈜롯데엔터테인먼트,A,20150430,spring,개봉영화,장편,미국,343,699788600.0,177312700,23652,애니메이션,전체관람가,독립/예술영화,5.0,"엄상현,조현정,숀 애스틴",80,7.263157895,114,2015,0,0,0,1199118,1,0,8,22,64,0,A
768,맨 인 블랙: 인터내셔널,F. 게리 그레이,롯데컬처웍스(주)롯데엔터테인먼트,A,20190612,summer,개봉영화,장편,미국,1151,7406282720.0,2154318570,234952,액션,12세이상관람가,일반영화,4.86,"크리스 헴스워스,테사 톰슨",115,7.0083333329999995,240,2019,3653238,1,0,22094465,1,1,7,140,565,0,A
1,국제시장,윤제균,씨제이이앤엠(주),A,20141217,winter,개봉영화,장편,한국,966,69823893034.0,16331193634,2033863,드라마,12세이상관람가,일반영화,5.81,"황정민,김윤진,오달수",126,9.272090989,1143,2014,0,0,0,51592007,1,0,16,1547,917,0,A
232,나의 소녀시대,프랭키 첸,오드,D,20160512,spring,개봉영화,장편,기타,176,3288673300.0,1107449800,134195,멜로/로맨스,15세이상관람가,독립/예술영화,6.8,"송운화,왕대륙,이옥새",134,10.0,1,2016,0,0,0,0,1,0,0,41,131,0,C
