,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,director_involved,actor_involved,전국관객수
12,코리아,2012-05-03,13446936500,0.021,13446936500,1872261,1872261,537,49671,한국,한국,"(주)더타워픽쳐스,씨제이이앤엠(주),(주)웰메이드스타엠",씨제이이앤엠(주),12세이상관람가,드라마,문현성,"하지원,배두나,한예리,최윤영,박철민,김응수,오정세,이종석,박영서,박정학,허승,홍혜림,박지연,유영기,천우희,주영호,김재화,김원해,이한위,김인우,장리우,이주실,권태원,박지연,권은수,차청화,한사명,이정민","하지원, 배두나, 한예리",2012,True,True,1856972
13,러브픽션,2012-02-29,13200412500,0.021,13200412500,1726202,1726202,617,44130,한국,한국,"(주)삼거리픽쳐스,(주)판타지오",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"멜로/로맨스,코미디",전계수,"하정우,공효진,이병준,지진희,유인나,최유화,전수지,장동찬,정동철,최재용,최준용,이원함,박재한,이규원,이규희,김재화,차은재,조용준,박준면,조희봉,박영수,서현우,조희봉,강신철,이윤희,김남순,설창희,최정현,이은채,손병욱","하정우, 공효진, 이병준",2012,False,True,1726202
14,언터처블: 1%의 우정,2012-03-22,12732368000,0.02,12732368000,1719941,1719941,454,48970,프랑스,프랑스,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,드라마","올리비에르 나카체,에릭 토레다노","프랑수아 클뤼제,오마 사이",,2012,False,False,1719661
15,하울링,2012-02-16,11765293500,0.018000000000000002,11765293500,1612554,1612554,550,44753,한국,한국,오퍼스픽쳐스(유),씨제이이앤엠(주),15세이상관람가,"범죄,드라마",유하,"송강호,이여진,이나영,박민규,이태리,임현성,정진,조은별,주영민,한민혁,이승현,이종혁,박정률,박진우,신정근,이민아,조영진,남보라,권태원,박선우,정민성,김경룡,김종구","송강호, 이여진, 이나영",2012,True,True,1612554
16,마다가스카3 : 이번엔 서커스다!,2012-06-06,10864569500,0.017,10864569500,1392049,1392049,564,28666,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,코미디","에릭 다넬,톰 맥그라스,콘래드 베논","벤 스틸러,크리스 록,데이빗 쉼머,제이다 핀켓 스미스,프란시스 맥도먼드","벤 스틸러, 크리스 록, 데이빗 쉼머",2012,True,True,1390190
17,은교,2012-04-25,9917728000,0.015,9917728000,1346274,1346274,521,41679,한국,한국,"정지우 필름,㈜렛츠필름",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,멜로/로맨스,정지우,"박해일,김무열,김고은,이후빈,임민경,김재준,정만식,안민영,강덕중","박해일, 김무열, 김고은",2012,True,True,1346274
18,차형사,2012-05-30,9588750296,0.015,9588750296,1323347,1323347,433,37710,한국,한국,(주)영화사홍,씨제이이앤엠(주),15세이상관람가,"코미디,액션",신태라,"강지환,성유리,이수혁,김영광,신민철,손현우,윤봉길,이태형,이한샘,신정근,박정학,이희준,라미란,최진규,한대희,허명행,이예지,윤선영,이대수,박보검,주영호,최영민,미람,김우빈,이은채,손병욱","강지환, 성유리, 이수혁",2012,False,False,1323347
19,간기남,2012-04-11,9356404500,0.015,9356404500,1246185,1246185,396,38155,한국,한국,"(주)트로피엔터테인먼트,㈜더드림앤드픽쳐스",(주)쇼박스,청소년관람불가,"코미디,스릴러",김형준,"박희순,박시연,주상욱,김정태,이한위,이광수,박희순,차수연,전승환,차종호,이상헌,신현탁,김강일,김윤성,김경룡","박희순, 박시연, 주상욱",2012,False,True,1246185
20,어메이징 스파이더맨,2012-06-28,10637474200,0.017,10637474200,1192050,1192050,1118,16134,미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,마크 웹,"앤드류 가필드,엠마 스톤,마틴 쉰,샐리 필드","앤드류 가필드, 엠마 스톤, 마틴 쉰",2012,False,True,1192050
21,돈의 맛,2012-05-17,8780122611,0.013999999999999999,8780122611,1166011,1166011,643,36919,한국,"한국,필리핀",휠므빠말주식회사,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",청소년관람불가,드라마,임상수,"김강우,백윤식,윤여정,김효진,온주완,권병길,황정민,양재준,김응수,정원중,갈소원","김강우, 백윤식, 윤여정",2012,True,True,1165481
22,잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,9784305000,0.015,9784305000,1149628,1149628,398,27236,미국,미국,,워너브러더스 코리아(주),전체관람가,"액션,어드벤처",브래드 페이튼,"드웨인 존슨,마이클 케인,조쉬 허처슨,바네사 허진스","드웨인 존슨, 마이클 케인, 조쉬 허처슨",2012,True,True,1149628
23,점박이:한반도의 공룡3D,2012-01-26,9621468000,0.015,9621468000,1040636,1040636,457,21843,한국,한국,"(주)드림써치C&C,한국교육방송공사 EBS,올리브스튜디오",씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,액션",한상호,"이형석,신용우,구자형","이형석, 신용우, 구자형",2012,True,False,1040636
24,시체가 돌아왔다,2012-03-29,7360631000,0.011000000000000001,7360631000,986923,986923,435,36705,한국,한국,(주)씨네이천,씨제이이앤엠(주),15세이상관람가,"범죄,드라마",우선호,"이범수,류승범,김옥빈,정만식,유다인,신정근,고창석,정인기,오정세,배정남,최동헌,김병오,최태환,박혜인,서성만,윤석진,손종학,조민준,오창경,한이진","이범수, 류승범, 김옥빈",2012,False,True,986547
25,원더풀 라디오,2012-01-05,7193596000,0.011000000000000001,7255598000,977470,986287,474,29167,한국,한국,"(주)영화사아이비젼,(주)대명문화공장",(주)쇼박스,15세이상관람가,"드라마,멜로/로맨스",권칠인,"이민정,이정진,이광수,서영,황보현,이범규,박지연,서미래,김병옥,조우진,김해숙,김창완,지대한,안미나,우상기,박지연,정인기","이민정, 이정진, 이광수",2012,False,False,977470
26,프로메테우스,2012-06-06,8554125599,0.013000000000000001,8554125599,965355,965355,521,31340,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"SF,스릴러",리들리 스콧,"누미 라파스,마이클 패스벤더,샤를리즈 테론,가이 피어스,이드리스 엘바","누미 라파스, 마이클 패스벤더, 샤를리즈 테론",2012,True,True,964148
27,셜록홈즈 : 그림자 게임,2011-12-21,7168608500,0.011000000000000001,16670913500,949299,2239156,360,25140,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"액션,미스터리",가이 리치,"로버트 다우니 주니어,주드 로",,2011,True,False,949299
28,타이탄의 분노,2012-03-29,7591124500,0.012,7591124500,893027,893027,535,33580,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,판타지",조나단 리브스만,"샘 워싱턴,리암 니슨,랄프 파인즈,로자문드 파이크,대니 허스튼","샘 워싱턴, 리암 니슨, 랄프 파인즈",2012,False,True,893027
29,디스 민즈 워,2012-02-29,6661435000,0.01,6661435000,873396,873396,351,32790,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,코미디,멜로/로맨스",맥지,"리즈 위더스푼,크리스 파인,톰 하디","리즈 위더스푼, 크리스 파인, 톰 하디",2012,False,True,873396
30,미확인 동영상 : 절대클릭금지,2012-05-30,5932400500,0.009000000000000001,5932400500,866147,866147,361,25002,한국,한국,"(주)에이디사공육,(주)다세포클럽",(주)쇼박스,15세이상관람가,공포(호러),김태경,"박보영,주원,강별,최대호,전희수,박민영,이맑음,이인,박지연,양정원","박보영, 주원, 강별",2012,False,True,866147
31,존 카터: 바숨 전쟁의 서막,2012-03-08,7229870500,0.011000000000000001,7229870500,838126,838126,508,30760,미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"SF,액션",앤드류 스탠튼,"테일러 키치,린 콜린스,윌렘 데포,사만다 모튼","테일러 키치, 린 콜린스, 윌렘 데포",2012,True,False,837426
32,토르: 마법망치의 전설,2012-02-09,5550797500,0.009000000000000001,5550797500,768426,768426,383,18742,아이슬란드,아이슬란드,,"롯데쇼핑㈜롯데엔터테인먼트,(주)스마일이엔티",전체관람가,"애니메이션,어드벤처","오스카 요나손,토비 젠켈,거나 칼슨","하동훈,최효종,김원효,조지훈","하동훈, 최효종, 김원효",2012,False,False,765315
33,퍼펙트 게임,2011-12-21,5224000500,0.008,11220408500,695312,1507084,396,21284,한국,한국,"(주)동아수출공사,밀리언 스토리,(주)다세포클럽",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,박희곤,"조승우,양동근,최정원,임지훈,김동희,허형규,박용규,신준호,최지훈,조찬형,차현우,한준혁,박정수,박정식,박현용,안준석,안태운,권승현,주아영,김기홍,이만규,서상화,문용식,문종헌,이명자,장원석,민정기,원희,최대영,곽병민,이상하,곽중훈,최민철,윤상일,최상호,김성태,구종률,이선진,이성수,오성진,김창후,박수진,박수환,최용규,최은,김우상,김지만,조진웅,장경아,김병옥,손병호,신현종,오정세,이병준,나윤성,최일화,공정환,최원영,김영민,박서준","조승우, 양동근, 최정원",2011,True,True,695312
34,스노우 화이트 앤 더 헌츠맨,2012-05-30,4645167000,0.006999999999999999,4645167000,636477,636477,447,20643,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,판타지",루퍼트 샌더스,"샤를리즈 테론,크리스틴 스튜어트,크리스 헴스워스","샤를리즈 테론, 크리스틴 스튜어트, 크리스 헴스워스",2012,True,True,636477
35,헝거게임: 판엠의 불꽃,2012-04-05,4478418000,0.006999999999999999,4478418000,607956,607956,514,24924,미국,미국,라이온스 게이트 필름즈,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,드라마,SF",게리 로스,"제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,엘리자베스 뱅크스","제니퍼 로렌스, 조쉬 허처슨, 리암 헴스워스",2012,True,True,606531
36,맨 온 렛지,2012-02-22,4393531500,0.006999999999999999,4393531500,591841,591841,408,22440,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,스릴러",애스게르 레스,"샘 워싱턴,엘리자베스 뱅크스",,2012,False,False,591841
37,파파,2012-02-01,4000020000,0.006,4000020000,587283,587283,414,24765,한국,"한국,미국",상상필름(주),롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"가족,코미디",한지승,"박용우,고아라,손병호,정명숙,최경선,성상배","박용우, 고아라, 손병호",2012,False,False,562156
38,백설공주,2012-05-03,4097396000,0.006,4097396000,585473,585473,386,20746,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"판타지,어드벤처",타셈 싱,"줄리아 로버츠,릴리 콜린스,아미 해머","줄리아 로버츠, 릴리 콜린스, 아미 해머",2012,True,True,576150
39,다크 섀도우,2012-05-10,4326459000,0.006999999999999999,4326459000,582126,582126,394,18978,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"드라마,공포(호러),스릴러,미스터리",팀 버튼,"조니 뎁,미셀 파이퍼,에바 그린","조니 뎁, 미셀 파이퍼, 에바 그린",2012,True,True,582126
40,마이 웨이,2011-12-21,4181348000,0.006999999999999999,15995187000,556628,2142670,588,22546,한국,"한국,일본,중국",(주)디렉터스,"에스케이플래닛(주),씨제이이앤엠(주)",15세이상관람가,"전쟁,액션,드라마",강제규,"장동건,오다기리 조,판빙빙,강남현,조동혁,김효연,김홍근,신승훈,홍서백,김희원,최지우,도지한,이건우,최태정,박태성,이광기,한경석,한정욱,서종철,김대현,이문호,유미진,이호연,이상협,이확광,곽진석,곽호선,권문철,이홍섭,최우수,오태경,양진석,이창욱,이학렬,이현희,이재희,최상준,한승현,이동훈,김시후,김인우,성유빈,정종열","장동건, 오다기리 조, 판빙빙",2011,True,True,556580
41,미쓰GO,2012-06-21,3834035000,0.006,3834035000,525744,525744,440,18455,한국,한국,영화사 도로시(주),(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,코미디,범죄",박철관,"고현정,유해진,성동일,이문식,고창석,박신양,김병철,정우식,조석현,한동룡,김영민,김희선,이원종,남성진,장준녕(장남부),유하복,김서원","고현정, 유해진, 성동일",2012,False,False,525744
42,페이스메이커,2012-01-18,3443753000,0.005,3443753000,467697,467697,412,21875,한국,한국,"(주)드림캡쳐,(주)에이트볼픽쳐스 ,(주)필통픽쳐스","(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",12세이상관람가,드라마,김달중,"김명민,안성기,고아라,최태준,조희봉,이엘,이동훈,권지민,최재웅,최윤성,유하복,조영진,이봉규,임종윤,정준원,곽자형,곽진석","김명민, 안성기, 고아라",2012,False,True,467697
43,락아웃: 익스트림미션,2012-06-14,3327716500,0.005,3327716500,455775,455775,374,21370,미국,"미국,프랑스",,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"SF,액션,스릴러","제임스 매더스,스테판 St. 레게르","가이 피어스,매기 그레이스,조셉 길건","가이 피어스, 매기 그레이스, 조셉 길건",2012,False,False,455775
44,밀레니엄 : 여자를 증오한 남자들,2012-01-11,3504237000,0.005,3504237000,443855,443855,321,12005,미국,"미국,스웨덴,영국,독일",,한국소니픽쳐스릴리징브에나비스타영화㈜,청소년관람불가,"스릴러,드라마",데이빗 핀처,"다니엘 크레이그,루니 마라",,2012,False,False,443889
45,아부의 왕,2012-06-21,2922945500,0.005,2922945500,411909,411909,428,16602,한국,한국,(주)황금주전자,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,정승구,"송새벽,성동일,김성령,고창석,이병준,한채아,이철민,진선규,정승욱,조화영,이성재,신봉곤,안승혁,황석정,김종수,박미현,이윤희,박보경","송새벽, 성동일, 김성령",2012,False,True,411909
46,크로니클,2012-03-15,2884776000,0.004,2884776000,384398,384398,324,20957,미국,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,스릴러",조쉬 트랭크,"데인 드한,알렉스 러셀,마이클 B. 조던,애슐리 힌쇼","데인 드한, 알렉스 러셀, 마이클 B. 조던",2012,True,True,383862
47,프렌즈: 몬스터섬의비밀,2011-12-29,2668476500,0.004,3754760000,364732,512549,290,10153,일본,일본,,"(주)스마일이엔티,(주)에스비에스콘텐츠허브",전체관람가,"애니메이션,어드벤처",야마자키 타카시,"이장원,엄상현,김서영,윤세웅,카토리 싱고,야마데라 코이치,신도 유나,아베 사다오","이장원, 엄상현, 김서영",2011,True,True,363179
48,로렉스,2012-05-03,2151848000,0.003,2151848000,298366,298366,463,7814,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"크리스 리노드,카일 발다","대니 드비토,잭 에프런,에드 헬름스,베티 화이트,롭 리글","대니 드비토, 잭 에프런, 에드 헬름스",2012,True,True,297025
49,더 그레이,2012-02-16,2198959500,0.003,2198959500,292217,292217,298,12002,미국,"미국,캐나다",,(주)팝파트너스,15세이상관람가,"액션,드라마,스릴러",조 카나한,"리암 니슨,더못 멀로니",,2012,False,False,292217
50,네버엔딩 스토리,2012-01-18,2106823000,0.003,2106823000,283449,283449,269,13651,한국,한국,아일랜드픽처스(주),(주)화앤담이엔티,15세이상관람가,"코미디,멜로/로맨스",정용주,"엄태웅,김현정,정려원,유선,박기웅,박성광,이병준,조동희,최상아,최혜진,이정영,박준영,박현지,권해효,이칸희","엄태웅, 김현정, 정려원",2012,False,False,283449
51,우리는 동물원을 샀다,2012-01-18,1993190500,0.003,1993190500,276334,276334,235,10457,미국,미국,,이십세기폭스코리아(주),전체관람가,"가족,코미디",카메론 크로우,"맷 데이먼,스칼렛 요한슨",,2012,False,False,276334
52,짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,2012-04-26,1804032000,0.003,1804032000,272062,272062,295,5989,일본,일본,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,마스이 소이치,"야지마 아키코,나라하시 미키,후지와라 케이지","야지마 아키코, 나라하시 미키, 후지와라 케이지",2012,False,True,272062
53,가비,2012-03-15,1969360500,0.003,1969360500,270602,270602,339,17388,한국,한국,(주)오션필름,(주)시네마서비스,15세이상관람가,"드라마,멜로/로맨스,미스터리",장윤현,"주진모,김소연,박희순,유선,손호승,채현우,홍준표,오동현,조승연,조덕현,조덕제,엄효섭,김응수,윤주만","주진모, 김소연, 박희순",2012,False,False,270602
