,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,director_involved,actor_involved,전국관객수
1706,분노의 파이터,2013-11-28,100000,0.0,100000,10,10,1,1,미국,미국,,미디어브로스(주),청소년관람불가,"액션,드라마",크리스 시버트슨,"펠 제임스,마이클 보웬",,2013,False,False,10
1707,불륜의 다이어리,2013-09-12,20000,0.0,20000,10,10,1,1,일본,일본,,(유)조이앤컨텐츠그룹,청소년관람불가,"멜로/로맨스,드라마",핫토리 미츠노리,아사쿠라 마리아,,2013,False,False,10
1708,사오리의 비뇨기과,2013-11-07,50000,0.0,50000,10,10,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,,오부치 아키라,,,2013,False,False,10
1709,사쿠라-마지막 정사,2013-08-29,20000,0.0,20000,10,10,1,1,일본,일본,,(유)조이앤컨텐츠그룹,청소년관람불가,멜로/로맨스,다무라 다카유키,키시 아이노,,2013,False,False,10
1710,선배의 첫경험레슨,2013-11-28,50000,0.0,50000,10,10,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),카이하라 쿠리스 료,,,2013,False,False,10
1711,알바생과의 불륜,2013-07-11,30000,0.0,30000,10,10,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),이마오카 신지,아사다 마유,,2013,False,False,10
1712,야쿠자 대 닌자,2013-09-12,30000,0.0,30000,10,10,1,1,일본,일본,,(주)도키엔터테인먼트,15세이상관람가,액션,마이하라 켄조,"타카기 만페이,타카기 신페이",,2013,False,False,10
1713,야쿠자 대 닌자 2,2013-09-17,30000,0.0,30000,10,10,1,1,일본,일본,,(주)도키엔터테인먼트,15세이상관람가,액션,마이하라 켄조,"타카기 만페이,타카기 신페이",,2013,False,False,10
1714,어린 에츠코의 고민,2013-10-24,50000,0.0,50000,10,10,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),조조 히데오,"메구리,모리야 후미오",,2013,False,False,10
1715,얼짱녀 어부,2013-08-28,20000,0.0,20000,10,10,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",와다 소에몬,안쥬 사나,,2013,False,False,10
1716,여변호사 성희롱사건,2013-11-21,50000,0.0,50000,10,10,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),죠 타이치,나카뮤라 마오,,2013,False,False,10
1717,오일 마사지샵의 비밀,2013-08-15,30000,0.0,30000,10,10,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),카타오카 슈지,아라이 마도카,,2013,False,False,10
1718,온천장의 은밀한 정사,2013-10-16,30000,0.0,30000,10,10,1,1,일본,일본,,(주)액티버스엔터테인먼트,청소년관람불가,드라마,아이조메 쿄코,"아사미 유마,카와세 요우타",,2013,False,False,10
1719,완전한 감금,2013-09-05,20000,0.0,20000,10,10,1,1,일본,일본,,(유)조이앤컨텐츠그룹,청소년관람불가,멜로/로맨스,카와사키 히로유키,"미즈모리 아오이,이츠키 카즈",,2013,False,False,10
1720,요리사와의 불륜,2013-12-24,40000,0.0,40000,10,10,1,1,일본,일본,,(유)조이앤컨텐츠그룹,청소년관람불가,"멜로/로맨스,드라마",타무라 고우노,키시 아이노,,2013,False,False,10
1721,요코의 짜릿한 상상,2013-08-08,30000,0.0,30000,10,10,1,1,독일,독일,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),카미노 후토시,한다 사사,,2013,False,False,10
1722,유다,2013-09-05,30000,0.0,30000,10,10,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,,,2013,False,False,10
1723,전망 좋은 차- 맛있는 섹스,2013-07-17,20000,0.0,20000,10,10,1,1,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,성인물(에로),이세일,"강세미,조진우",,2013,False,False,10
1724,트라이앵글 불륜,2013-10-24,50000,0.0,50000,10,10,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,,,2013,False,False,10
1725,폭렬닌자 키사라기,2013-11-07,30000,0.0,30000,10,10,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,액션,치바 세이지,"타케다 리나,코가 미츠키,사토 유이치","타케다 리나, 코가 미츠키, 사토 유이치",2013,False,False,10
1726,필링 인사이드,2013-11-07,50000,0.0,50000,10,10,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,마츠다 아야토,마에다 아야카,,2013,False,False,10
1727,행방불명,2013-10-17,100000,0.0,100000,10,10,1,1,일본,일본,,(주)영진크리에이티브,15세이상관람가,"미스터리,공포(호러),스릴러",카와노 코지,타카다 리호,,2013,False,False,10
1728,혐오스런사쿠라코의일생,2013-11-21,50000,0.0,50000,10,10,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),오부치 아키라,,,2013,False,False,10
1729,레디액션! 폭력영화,2014-06-05,48000,0.0,48000,8,8,1,1,한국,한국,(주)빅브라더픽쳐스,㈜인디스토리,청소년관람불가,액션,"최원경,김도경","민호열,오성근,박종환,김인형,김진,김태형","민호열, 오성근, 박종환",2014,False,False,166
1730,메이지가 알고 있었던 일,2014-03-27,48000,0.0,48000,8,8,1,1,미국,미국,,(주)미디어데이,15세이상관람가,드라마,"스콧 맥게히,데이빗 시겔","줄리안 무어,스티브 쿠건,알렉산더 스카스가드,오나타 에이프릴","줄리안 무어, 스티브 쿠건, 알렉산더 스카스가드",2014,False,True,2003
1731,기억하고 있다,2013-07-05,50000,0.0,50000,5,5,1,1,일본,일본,,(주)영진크리에이티브,15세이상관람가,"공포(호러),미스터리,드라마","요시다 히데아키,아카이시 토모유키,쿠보 토모히로","아소 유미,카가와 테루유키,카츠라야마 신고,에모토 토키오,무라카미 준","아소 유미, 카가와 테루유키, 카츠라야마 신고",2013,False,False,5
1732,스캔들,2016-12-13,20000,0.0,20000,5,5,1,2,일본,일본,,,,드라마,구로사와 아키라,"미후네 토시로,셜리 야마구치",,2016,False,False,132
1733,탈옥의사 엔마,2013-07-18,50000,0.0,50000,5,5,1,1,일본,일본,,(주)영진크리에이티브,15세이상관람가,"드라마,액션,기타",오누마 유이치,"스가 타카마사,아베 마리",,2013,False,False,5
1734,루팡 3세 : 바빌론의 황금전설,2013-08-15,31000,0.0,31000,4,4,1,2,일본,일본,,에이원엔터테인먼트,12세이상관람가,"애니메이션,액션,어드벤처","스즈키 세이준,요시다 시게츠구",,,2013,False,False,4
1735,플라이보이스,2013-11-02,16000,0.0,16000,3,3,1,2,미국,미국,,(주)액티버스엔터테인먼트,12세이상관람가,"드라마,액션,스릴러",로코 데빌리어스,"제시 제임스,레일리 맥클렌던",,2013,False,False,3
1736,베일,2013-12-05,12000,0.0,12000,2,2,3,6,한국,한국,YK 필름,(주)액티버스엔터테인먼트,청소년관람불가,미스터리,정창현,"유상재,이양희,김주후,정찬성,임형태,박제하,김경미,김준희,황석하","유상재, 이양희, 김주후",2013,False,False,2
1737,지상 최고의 아빠,2013-12-24,12000,0.0,12000,2,2,1,1,미국,미국,,(주)액티버스엔터테인먼트,15세이상관람가,드라마,밥 골드스웨이트,"로빈 윌리엄스,다릴 사바라",,2013,False,False,2
1738,고양이 소녀,2013-11-28,8000,0.0,8000,1,1,1,1,한국,한국,영화사시작,골든타이드픽처스(주),청소년관람불가,"멜로/로맨스,드라마",최경진,"이수완,히로사와 소우,신유주,임태상,심휘,백재호,이규형","이수완, 히로사와 소우, 신유주",2013,False,False,1
1739,맘,2019-10-05,0,0.0,0,0,0,1,1,한국,한국,,,,애니메이션,장욱상,,,2019,False,False,60
1740,미스 좀비,2014-01-16,0,0.0,0,0,0,1,2,일본,일본,,(주)영화사조아,15세이상관람가,공포(호러),사부,"코마츠 아야카,토가시 마코토",,2014,False,False,514
1741,초원의 왕 도제,2014-03-27,0,0.0,0,0,0,1,2,일본,일본,,(주)나이너스엔터테인먼트,전체관람가,"애니메이션,어드벤처",코지마 마사유키,"하마다 타츠오미,카케이 토시오",,2014,False,False,21424
1742,캡처링 대디,2016-10-26,0,0.0,0,0,0,1,2,일본,일본,,(유)영화사 화수분,12세이상관람가,"드라마,코미디",나카노 료타,"와타나베 마키코,야나기 에리사",,2016,False,False,1
1743,피부색깔=꿀색,2014-05-08,0,0.0,0,0,0,1,1,벨기에,"벨기에,프랑스,한국",(주)판다미디어,(주)미루픽처스,12세이상관람가,"애니메이션,다큐멘터리","융 헤닌,로랑 브왈로",융 헤닌,,2014,False,False,5935
1744,겨울왕국,2014-01-16,82450301100,0.111,82450301100,10294697,10294697,1010,157638,미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,"애니메이션,어드벤처,가족,코미디,뮤지컬,판타지","크리스 벅,제니퍼 리","이디나 멘젤,크리스틴 벨,조나단 그로프,조시 게드","이디나 멘젤, 크리스틴 벨, 조나단 그로프",2014,True,True,10294697
1745,수상한 그녀,2014-01-22,62691877249,0.085,62691877249,8655360,8655360,1027,136937,한국,한국,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",씨제이이앤엠(주),15세이상관람가,드라마,황동혁,"심은경,나문희,박인환,성동일,이진욱,김현숙,황정민,김슬기,박형우,신재훈,박인환,이태식,박재홍,서진호,양태규,정상원,정은임,정종혁,조명행,진영,한상경,한흥석,김경아,이주희,김동욱,김동희,김민준,김선하,김순찬,김영웅,김용진,김재섭,김정원,박선희,한지은,김수현,황영희,장광,전우재,강필선,김가희,황승언,임현성,정인기,이장유,하연주,박혜진,김남순,조혜선","심은경, 나문희, 박인환",2014,True,True,8655360
1746,엣지 오브 투모로우,2014-06-04,36349722301,0.049,36349722301,4391075,4391075,801,83983,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,SF",더그 라이만,"톰 크루즈,에밀리 블런트,빌 팩스톤","톰 크루즈, 에밀리 블런트, 빌 팩스톤",2014,True,True,4389009
1747,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,34632659866,0.047,34632659866,4311068,4311068,1056,82593,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,판타지,SF,어드벤처",브라이언 싱어,"휴 잭맨,제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스,할리 베리,엘렌 페이지","휴 잭맨, 제임스 맥어보이, 마이클 패스벤더",2014,True,True,4311068
1748,어메이징 스파이더맨 2,2014-04-23,34869101800,0.047,34869101800,4168353,4168353,1312,91715,미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,판타지",마크 웹,"앤드류 가필드,엠마 스톤,제이미 폭스,데인 드한","앤드류 가필드, 엠마 스톤, 제이미 폭스",2014,False,True,4168350
1749,캡틴 아메리카: 윈터 솔져,2014-03-26,31711040385,0.043,31711040385,3963251,3963251,1106,110109,미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,"액션,어드벤처,SF","조 루소,안소니 루소","크리스 에반스,스칼렛 요한슨,사무엘 L. 잭슨,로버트 레드포드","크리스 에반스, 스칼렛 요한슨, 사무엘 L. 잭슨",2014,True,True,3963220
1750,역린,2014-04-30,29889714890,0.04,29889714890,3848860,3848860,1054,83285,한국,한국,"굿초이스컷픽쳐스(주),(주)파파스필름",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,사극,이재규,"현빈,정재영,조정석,한지민,조재현,박성웅,김성령,정은채,강민지,박지혜,석현,정성민,조정민,최용식,이상현,한대룡,이수봉,홍남희,김고운,이승주,이승주,이승훈,이언정,이용출,이용출,이정수,김기수,김나현,김도연,김두루,김현진,송영창,김대명,천보근,서이숙,성유빈,고보결,이성우,한성천,전국향,곽자형","현빈, 정재영, 조정석",2014,True,True,3848762
1751,끝까지 간다,2014-05-29,24527420000,0.033,24527420000,3128652,3128652,645,73085,한국,한국,"(주)에이디사공육,(주)다세포클럽",(주)쇼박스,15세이상관람가,"액션,스릴러,범죄",김성훈,"이선균,조진웅,신정근,정만식,신동미,김동영,박보검,박진성,정하철,윤종현,이승준,이지훈,김보경,이영수,김재철,김진환,배유람,김강현,기주봉,장인섭,장준녕(장남부),김해곤,서현우,이준혁,주석태,김승훈,이장유,김그림,허정은","이선균, 조진웅, 신정근",2014,True,True,3128490
1752,표적,2014-04-30,22255969300,0.03,22255969300,2841668,2841668,716,72249,한국,한국,"(주)바른손이앤에이,(주)용필름",씨제이이앤엠(주),15세이상관람가,"액션,드라마",창,"류승룡,유준상,이진욱,김성령,조여정,조은지,진구,강구현,배정현,서동필,임일규,정순태,홍성민,김동준,김대명,김영재,이현욱,장준녕(장남부),변상윤","류승룡, 유준상, 이진욱",2014,True,True,2841628
1753,트랜스포머: 사라진 시대,2014-06-25,23808246600,0.032,23808246600,2823660,2823660,1602,42484,미국,미국,,씨제이이앤엠(주),12세이상관람가,"액션,SF,어드벤처",마이클 베이,"마크 월버그,제시카 고메즈,니콜라 펠츠,잭 레이너,스탠리 투치,리빙빙","마크 월버그, 제시카 고메즈, 니콜라 펠츠",2014,True,True,2823641
1754,논스톱,2014-02-27,16066549940,0.022000000000000002,16066549940,2084482,2084482,582,58217,미국,"미국,프랑스",,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,액션,자움 콜렛 세라,"리암 니슨,줄리안 무어,미쉘 독커리,앤슨 마운트,존 아브라함스,스쿳 맥네이리","리암 니슨, 줄리안 무어, 미쉘 독커리",2014,True,True,2084457
1755,노아,2014-03-20,15514373500,0.021,15514373500,2026594,2026594,952,56722,미국,미국,,씨제이이앤엠(주),15세이상관람가,"어드벤처,드라마,판타지",대런 아로노프스키,"러셀 크로우,엠마 왓슨,로건 레먼,안소니 홉킨스,제니퍼 코넬리","러셀 크로우, 엠마 왓슨, 로건 레먼",2014,True,True,2026574
1756,남자가 사랑할 때,2014-01-22,14510222300,0.02,14510222300,1979311,1979311,531,41123,한국,한국,"(주)사나이픽처스,필름트레인",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"멜로/로맨스,드라마",한동욱,"황정민,한혜진,곽도원,정만식,손세빈,백동현,이확광,임정빈,임희준,양준호,조왕섭,조화성,최제헌,이성호,한동욱,권지훈,허명행,황병국,김정수,남경민,문성렬,박성웅,이채은,김병옥,김홍파,남일우,김태희,김종수,최우리,남문철,박지환,강민아,정희태,곽진석,김서원,박혁민,손병욱","황정민, 한혜진, 곽도원",2014,False,True,1979311
1757,피끓는 청춘,2014-01-22,11688382888,0.016,11688382888,1676040,1676040,679,36081,한국,한국,(주)담소필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"코미디,멜로/로맨스,드라마",이연우,"박보영,이종석,이세영,김영광,신현탁,우혜영,장세준,박지영,손지훈,송정민,안지혜,정승호,윤보현,정현진,조유진,조현주,이경주,이덕화,최영,최현영,홍수정,이예진,이은정,이정아,김기철,김동준,김수정,김영,김종현,김지혜,김하경,박선주,박정민,라미란,여윤호,김광규,유하복,권해효,김희원,정재훈,윤원준,전수진,류성현","박보영, 이종석, 이세영",2014,False,True,1676040
1758,우아한 거짓말,2014-03-13,11726918300,0.016,11726918300,1618882,1618882,573,57482,한국,한국,"(주)유비유필름,(주)무비락",CGV아트하우스,12세이상관람가,드라마,이한,"김희애,고아성,김유정,김향기,유아인,강다영,강다정,박지영,박진수,선현철,장세영,오유진,정난희,조민영,조수정,이경원,이경원,이나현,이수경,한재훈,이승준,이은진,이재구,이재은,황은정,김민아,김민정,김영재,김지훈,김해일,김화목,박송해,송지인,김정영,박수영,천우희,한이진,정예녹","김희애, 고아성, 김유정",2014,True,True,1613286
1759,300: 제국의 부활,2014-03-06,13395159700,0.018000000000000002,13395159700,1593116,1593116,720,54902,미국,미국,,워너브러더스 코리아(주),청소년관람불가,"액션,드라마,전쟁",노암 머로,"레나 헤디,에바 그린,설리반 스탭플턴,로드리고 산토로","레나 헤디, 에바 그린, 설리반 스탭플턴",2014,False,False,1593116
1760,인간중독,2014-05-14,11279039400,0.015,11279039400,1441099,1441099,682,44034,한국,한국,(주)아이언팩키지,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,"멜로/로맨스,드라마",김대우,"송승헌,임지연,조여정,온주완,유해진,이승준,임경민,양승희,정상철,조남민,이상미,김제현,서도빈,김민범,김연지,김영민,김정숙,김정현,김주희,김한준,김현우,전혜진,배성우,정원중,윤다경,송지인,예수정,오희준","송승헌, 임지연, 조여정",2014,False,True,1441090
1761,말레피센트,2014-05-29,10766261100,0.015,10766261100,1395987,1395987,554,38803,미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,어드벤처,드라마",로버트 스트롬버그,"안젤리나 졸리,엘르 패닝",,2014,False,False,1395987
1762,폼페이: 최후의 날,2014-02-20,10303127700,0.013999999999999999,10303127700,1373873,1373873,561,43288,미국,"미국,독일",,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,드라마",폴 W.S. 앤더슨,"킷 해링턴,에밀리 브라우닝,키퍼 서덜랜드,캐리 앤 모스,제시카 루카스,자레드 해리스,커리 그레이엄","킷 해링턴, 에밀리 브라우닝, 키퍼 서덜랜드",2014,True,False,1373873
1763,찌라시: 위험한 소문,2014-02-20,9111748087,0.012,9111748087,1221427,1221427,560,37426,한국,한국,(주)영화사수박,씨제이이앤엠(주),15세이상관람가,"범죄,드라마",김광식,"김강우,고창석,박성웅,이진호,이현민,이현민,박정우,박진수,서병덕,임준혁,장한얼,신현수,정문구,정승아,정자영,유지연,정희중,조아라,윤석진,고태영,이경훈,최선규,이상미,이성재,이정호,이종혁,이준혁,이지은,김도형,김민호,김범준,김진성,문호진,민정기,이채은,정진영,진선규,장광,김의성,배용근,최미라,고원희,박형수,우기홍","김강우, 고창석, 박성웅",2014,True,True,1221420
1764,방황하는 칼날,2014-04-10,7828891800,0.011000000000000001,7828891800,989906,989906,594,38850,한국,한국,(주)에코필름,씨제이이앤엠(주),청소년관람불가,"범죄,스릴러",이정호,"이진성,정재영,이성민,서준영,박정호,박지영,박진선,서주연,안지현,유지은,정혜정,차수빈,이동기,이수경,이승현,이주승,김기현,김원진,김태준,김현,김현호,김희석,김홍파,김대명,정석용,오정세,김태준,박명신,송재룡,박성근,이중옥,이장유,이수빈,백인권","이진성, 정재영, 이성민",2014,True,False,987420
1765,로보캅,2014-02-13,7299641958,0.01,7299641958,979509,979509,627,29686,미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,SF",호세 파딜라,"조엘 키나만,사무엘 L. 잭슨,게리 올드만,애비 코니시,마이클 키튼","조엘 키나만, 사무엘 L. 잭슨, 게리 올드만",2014,False,False,979509
1766,관능의 법칙,2014-02-13,5858771500,0.008,5858771500,781516,781516,591,30630,한국,한국,(주)명필름,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"드라마,코미디",권칠인,"엄정화,문소리,조민수,이경영,이성민,이재윤,백동훈,전민혁,오상진,차수보,황정현,김용식,김재혁,김지은,조우진,최무성,진선규,권해효,곽자형","엄정화, 문소리, 조민수",2014,False,True,773996
1767,그랜드 부다페스트 호텔,2014-03-20,5993437600,0.008,5993437600,771372,771372,241,26292,미국,"미국,독일",,"(주)피터팬픽쳐스,이십세기폭스코리아(주)","청소년관람불가,15세이상관람가","미스터리,어드벤처",웨스 앤더슨,"랄프 파인즈,틸다 스윈튼,주드 로,애드리언 브로디,윌렘 데포,에드워드 노튼,시얼샤 로넌,레아 세이두","랄프 파인즈, 틸다 스윈튼, 주드 로",2014,False,True,771134
1768,리오 2,2014-05-01,5659522300,0.008,5659522300,763985,763985,598,14844,미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,코미디,어드벤처",카를로스 살다나,"제시 아이젠버그,앤 해서웨이,레슬리 만,제이미 폭스,임시완,류승룡,써니","제시 아이젠버그, 앤 해서웨이, 레슬리 만",2014,True,True,759676
1769,고질라,2014-05-15,5972847963,0.008,5972847963,709734,709734,610,25335,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,SF",가렛 에드워즈,"애런 존슨,브라이언 크랜스톤,엘리자베스 올슨,줄리엣 비노쉬,와타나베 켄","애런 존슨, 브라이언 크랜스톤, 엘리자베스 올슨",2014,True,False,709734
1770,트랜센던스,2014-05-14,5456693500,0.006999999999999999,5456693500,692826,692826,417,23175,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"SF,액션,드라마",월리 피스터,"조니 뎁,레베카 홀,모건 프리먼,폴 베타니,킬리언 머피","조니 뎁, 레베카 홀, 모건 프리먼",2014,False,True,692802
1771,우는 남자,2014-06-04,4915786800,0.006999999999999999,4915786800,602370,602370,508,22308,한국,한국,다이스필름(주),씨제이이앤엠(주),청소년관람불가,"액션,드라마",이정범,"장동건,김민희,민성욱,박지연,백현익,최제헌,김경희,이재인,김민재,김성오,김원범,김준성,남연우,박병은,이동휘,주영호,전배수,장인섭,이영란,김희원,김소진,서현우,고우림,이규형,김그림,김태훈","장동건, 김민희, 민성욱",2014,True,True,597925
1772,황제를 위하여,2014-06-11,4709722971,0.006,4709722971,586533,586533,423,26035,한국,한국,오퍼스픽쳐스(유),유나이티드픽처스(주),청소년관람불가,"액션,범죄",박상준,"장한새,이민기,박성웅,이태임,박재영,박진우,송원종,양영택,윤성민,윤성원,최민정,이민섭,이민영,권혁주,권혁진,김경아,김광민,이정훈,김미영,김우진,김진혁,박민철,유재명,한재영,이유준,박현우","장한새, 이민기, 박성웅",2014,False,False,586139
1773,더 울프 오브 월스트리트,2014-01-09,4490682000,0.006,4490682000,585082,585082,395,13735,미국,미국,,주식회사 우리네트웍스,청소년관람불가,"범죄,드라마",마틴 스코세이지,"레오나르도 디카프리오,매튜 매커너히,조나 힐","레오나르도 디카프리오, 매튜 매커너히, 조나 힐",2014,True,True,585082
1774,노예 12년,2014-02-27,3644201200,0.005,3644201200,498004,498004,326,19370,미국,"미국,영국",,"판씨네마(주),(주)프레인글로벌",15세이상관람가,드라마,스티브 맥퀸,"치웨텔 에지오포,마이클 패스벤더,베네딕트 컴버배치,브래드 피트,드와이트 헨리,쿠벤자네 왈리스,타란 킬램","치웨텔 에지오포, 마이클 패스벤더, 베네딕트 컴버배치",2014,False,False,498004
1775,조선미녀삼총사,2014-01-29,3471341321,0.005,3471341321,480361,480361,388,14031,한국,한국,(주)웰메이드필름,(주)쇼박스,12세이상관람가,"코미디,액션,사극",박제현,"하지원,강예원,가인,고창석,주상욱,최성민,박동빈,하용진,강민호,박재홍,박지훈,배범식,서명석,장정주,정명군,정수남,정우현,조영훈,이민수,하형원,한상일,이재윤,이준영,김용수,김태용,김효중,박건우,정호빈,송새벽,장희수,공정환,이유준","하지원, 강예원, 가인",2014,False,True,480361
1776,넛잡: 땅콩 도둑들,2014-01-29,3280608100,0.004,3280608100,478392,478392,382,10796,한국,"한국,캐나다,미국","(주)레드로버,툰박스 엔터테인먼트",(주)싸이더스,전체관람가,"애니메이션,어드벤처,코미디,가족",피터 레페니오티스,"윌 아넷,브렌든 프레이저,리암 니슨,캐서린 헤이글,싸이(박재상)","윌 아넷, 브렌든 프레이저, 리암 니슨",2014,True,True,478392
1777,신이 보낸 사람,2014-02-13,3068195600,0.004,3068195600,424258,424258,285,12684,한국,한국,주식회사 태풍코리아,"주식회사 마운틴픽쳐스,(주)마인스 엔터테인먼트",15세이상관람가,드라마,김진무,"김인권,홍경인,최규환,기주봉,안병경,조덕제,김재화,박정희,임준규,정동철,정유동,정현기,권혁주,황규연,이정수,이정민,김상준,김은혜,최규환,오산하,지용석,전국향,허지원,변상윤","김인권, 홍경인, 최규환",2014,False,True,423026
1778,다이버전트,2014-04-16,3297769011,0.004,3297769011,424045,424045,511,21396,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"SF,판타지,액션,멜로/로맨스",닐 버거,"쉐일린 우들리,케이트 윈슬렛,테오 제임스,매기 큐","쉐일린 우들리, 케이트 윈슬렛, 테오 제임스",2014,True,True,424041
1779,천재 강아지 미스터 피바디,2014-04-24,2856412600,0.004,2856412600,385081,385081,533,10503,미국,미국,,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,가족",롭 민코프,"티 버렐,맥스 찰스,에리얼 윈터,레슬리 만,스탠리 투치,스티븐 토보로스키,앨리슨 제니","티 버렐, 맥스 찰스, 에리얼 윈터",2014,False,False,385081
1780,하이힐,2014-06-03,2746181000,0.004,2746181000,341113,341113,385,16678,한국,한국,(주)장차앤코,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"범죄,액션",장진,"차승원,오정세,이솜,고경표,박성웅,박장진,가은희,박준영,장진,신성훈,정찬미,이도연,최성환,이상화,홍세라,이언정,홍희정,이윤경,이은영,이은지,이종원,김소연,김인호,김진주,민준호,박상우,송영창,김병옥,이엘,김원해,이해영,안길강,조복래,이용녀,이황의,허성태,정이랑,김응수,이동길,김민교,김예원","차승원, 오정세, 이솜",2014,False,True,339323
1781,선 오브 갓,2014-04-10,2393706300,0.003,2393706300,329214,329214,419,15305,미국,미국,,(주)프레인글로벌,12세이상관람가,드라마,크리스토퍼 스펜서,"디오고 모르가도,세바스찬 냅,다윈 쇼","디오고 모르가도, 세바스찬 냅, 다윈 쇼",2014,False,False,328991
1782,잭 라이언 : 코드네임 쉐도우,2014-01-16,2395391500,0.003,2395391500,327589,327589,419,12908,미국,"미국,러시아",,씨제이이앤엠(주),12세이상관람가,"액션,드라마,스릴러",케네스 브래너,"크리스 파인,키이라 나이틀리,케빈 코스트너,케네스 브래너","크리스 파인, 키이라 나이틀리, 케빈 코스트너",2014,True,True,327591
1783,프랑켄슈타인: 불멸의 영웅,2014-02-06,2175466123,0.003,2175466123,299205,299205,378,12113,미국,"미국,호주",,(주)쇼박스,12세이상관람가,"액션,SF,판타지",스튜어트 베티,"아론 에크하트,빌 나이,미란다 오토,제이 코트니,케이틀린 스테이시,캐빈 그레비스,아덴 영","아론 에크하트, 빌 나이, 미란다 오토",2014,False,True,298983
1784,오큘러스,2014-05-29,2117392600,0.003,2117392600,278838,278838,336,9205,미국,미국,,씨네그루(주)다우기술,15세이상관람가,"미스터리,공포(호러),스릴러",마이크 플래너건,"카렌 길런,브렌튼 스웨이츠,케이티 색호프,로리 코크레인","카렌 길런, 브렌튼 스웨이츠, 케이티 색호프",2014,True,False,278838
1785,레고 무비,2014-02-06,1601300200,0.002,1601300200,236129,236129,317,6703,미국,미국,,워너브러더스 코리아(주),전체관람가,"애니메이션,코미디,액션,가족","필 로드,크리스 밀러","윌 페렐,리암 니슨,엘리자베스 뱅크스,모건 프리먼,윌 아넷,닉 오퍼맨,크리스 프랫","윌 페렐, 리암 니슨, 엘리자베스 뱅크스",2014,False,False,236129
1786,쓰리데이즈 투 킬,2014-04-03,1749223200,0.002,1749223200,229673,229673,388,13766,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,스릴러",맥지,"케빈 코스트너,앰버 허드,헤일리 스테인펠드,코니 닐슨,에리크 에부아니,토마스 레마르쿼즈","케빈 코스트너, 앰버 허드, 헤일리 스테인펠드",2014,False,True,228539
1787,극장판 루팡 3세 VS 명탐정 코난,2014-05-29,1585872205,0.002,1585872205,225842,225842,327,5429,일본,일본,,씨제이이앤엠(주),12세이상관람가,애니메이션,카메가키 하지메,"강수진,김선혜",,2014,False,False,225842
1788,헤라클레스 : 레전드 비긴즈,2014-04-10,1662357151,0.002,1662357151,221340,221340,390,14217,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,판타지",레니 할린,"스콧 앳킨스,켈란 루츠",,2014,False,False,221327
