,N_movie_code,title,comeout_date,expert_rating,starring_actors,running_times,directors,audience_rating,rating_audiences
41,97816,호빗: 다섯 군대 전투,2014,6.42,"마틴 프리먼(빌보 배긴스), 이안 맥켈런(간달프), 리처드 아미티지(소린 오큰실드)",144분,피터 잭슨,8.620253164556962,1185
42,125841,스폰지밥3D,2015,5.50,"전태열(스폰지밥), 이인성(뚱이), 안토니오 반데라스",92분,폴 티비트,7.947826086956522,345
43,99096,주피터 어센딩,2015,4.75,"밀라 쿠니스(주피터 존스), 채닝 테이텀(케인), 숀 빈(스팅어)",127분,"라나 워쇼스키, 릴리 워쇼스키",6.739495798319328,119
44,114248,패딩턴,-,6.64,"벤 위쇼, 니콜 키드먼, 휴 보네빌",95분,폴 킹,8.754716981132075,265
45,88477,오즈의 마법사: 돌아온 도로시,2013,6.00,"박지윤(도로시 한국어 목소리), 김하영(공주 한국어 목소리), 신용우(제스터 한국어 목소리)",91분,"윌 핀, 댄 세인트 피에르",8.049382716049383,162
46,118903,런 올 나이트,2015,5.94,"리암 니슨(지미), 조엘 킨나만(마이클), 에드 해리스(숀)",114분,자움 콜렛 세라,8.02608695652174,115
47,78294,다이노 타임,Dino Time,-,"멜라니 그리피스(타이라(다이노맘) 목소리), 제인 린치(수(엄마) 목소리), 윌리암 볼드윈(사르코형제 목소리)",85분,"최윤석, 존 카프카",8.539370078740157,254
48,119452,인서전트,2015,5.00,"쉐일린 우들리(트리스), 테오 제임스(포), 케이트 윈슬렛(제닌)",119분,로베르트 슈벤트케,7.433962264150943,159
49,94897,소수의견,2013,7.18,"윤계상(진원), 유해진(대석), 김옥빈(수경)",126분,김성제,9.085,200
50,118365,백 투 더 비기닝,Back to the beginning,4.00,"조니 웨스턴(데이비드), 소피아 블랙 디엘리아(제시), 샘 러너(퀸 골드버그)",106분,딘 이스라엘리트,7.689075630252101,119
51,101960,투모로우랜드,2015,5.50,"조지 클루니(프랭크 워커), 휴 로리(데이비드 닉스), 브릿 로버트슨(케이시 뉴튼)",129분,브래드 버드,7.915384615384616,130
52,112040,개를 훔치는 완벽한 방법,2014,7.04,"이레(지소), 이지원(채랑), 홍은택(지석)",109분,김성호,8.664556962025317,158
53,133380,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,Detective Conan : MISSIN...,5.00,"김선혜(코난), 강수진(남도일), 이현진(유미란)",92분,야마모토 야스이치로,8.571428571428571,7
54,104478,언브로큰,2014,5.33,"잭 오코넬(루이 잠페리니), 도널 글리슨(필), 가렛 헤드룬드(존 피츠제럴드)",137분,안젤리나 졸리,8.067164179104477,134
55,122457,소셜포비아,2014,7.18,"변요한(지웅), 이주승(용민), 류준열(양게)",102분,홍석재,7.655555555555556,90
56,127328,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,2014,6.00,"조현정(디안시 목소리), 이선호(지우 목소리), 마츠모토 리카",98분,유야마 쿠니히코,8.552301255230125,239
57,127768,언프렌디드: 친구삭제,2014,6.00,"헤더 소서맨(로라 반스), 쉘리 헨닝(블래어 릴리), 모세 제이콥 스톰(미치 러셀)",83분,레반 가브리아제,5.173333333333333,75
58,133223,노아의 방주: 남겨진 녀석들,2015,6.16,"김하영(피니), 배진홍(리아), 윤세웅(데이브)",85분,토비 젠켈,8.408866995073891,203
59,118408,연애의 맛,2015,5.00,"오지호(왕성기), 강예원(길신설)",101분,김아론,8.149532710280374,107
60,107306,버드맨,2014,8.10,"마이클 키튼(리건), 에드워드 노튼(마이크), 엠마 스톤(샘)",119분,알레한드로 곤잘레스 이냐리투,8.532051282051283,156
61,127363,기생수 파트1,Parasyte: Part 1,5.50,"소메타니 쇼타(이즈미 신이치), 아베 사다오(오른쪽이), 후카츠 에리(타미야 료코)",110분,야마자키 다카시,8.26206896551724,145
62,45290,인터스텔라,2014,7.90,"매튜 맥커너히(쿠퍼), 앤 해서웨이(브랜드), 마이클 케인(브랜드 교수)",169분,크리스토퍼 놀란,9.280903328050712,2524
63,132989,최강전사 미니특공대 : 새로운 악당의 습격,-,-,"엄상현, 전태열, 신용우",60분,이영준,7.558252427184466,206
64,109920,아메리칸 셰프,-,6.25,"존 파브로, 엠제이 안소니, 소피아 베르가라",114분,존 파브로,8.851063829787234,94
65,120788,짱구는 못말려 극장판: 정면승부! 로봇아빠의 역습,2014,7.00,"야지마 아키코(노하라 신노스케), 나라하시 미키(노하라 미사에), 후지와라 케이지(노하라 히로시)",97분,타카하시 와타루,8.573333333333334,75
66,120102,워킹걸,2014,3.75,"조여정(백보희), 클라라(오난희), 김태우(구강성)",112분,정범식,7.203703703703703,108
67,114277,은밀한 유혹,2014,3.71,"임수정(지연), 유연석(성열)",110분,윤재구,7.275,80
68,143862,화장실콩쿨,2015,-,[국내] 15세 관람가,30분,이용선,8.666666666666666,3
69,117789,워터 디바이너,2014,5.90,"러셀 크로우(조슈아 코너), 올가 쿠릴렌코(아이셰), 제이 코트니(시릴 휴즈)",111분,러셀 크로우,8.166666666666666,42
70,129783,눈의 여왕2: 트롤의 마법거울,2014,-,"벨라 손(겔다 목소리), 샬토 코플리(올름 목소리)",78분,알렉세이 트시칠린,7.260797342192691,602
71,104426,19곰 테드 2,2015,5.00,"마크 월버그(존 베넷), 아만다 사이프리드(사만다 잭슨), 세스 맥팔레인(테드 목소리)",115분,세스 맥팔레인,8.293233082706767,133
72,115981,나의 절친 악당들,2014,5.50,"류승범(지누), 고준희(나미), 류현경(정숙)",110분,임상수,5.9,80
73,123300,존 윅,2014,6.05,"키아누 리브스(존 윅), 미카엘 니크비스트(비고 타라소프)",107분,"데이빗 레이치, 채드 스타헬스키",7.6440677966101696,59
74,117774,상의원,2014,5.21,"한석규(돌석), 고수(공진), 박신혜(왕비)",127분,이원석,7.787072243346008,526
75,120759,스틸 앨리스,2014,6.57,"줄리안 무어(앨리스), 알렉 볼드윈(존 하울랜드), 크리스틴 스튜어트(리디아)",101분,"리처드 글랫저, 워시 웨스트모어랜드",8.342105263157896,76
76,118948,더 건맨: 테이큰 감독 뉴프로젝트,2015,4.58,"숀 펜(짐 테리어), 하비에르 바르뎀(펠릭스), 이드리스 엘바(재키 반즈)",113분,피에르 모렐,7.0864864864864865,185
77,133169,빌리와 용감한 녀석들 3,-,5.0,"엄상현, 조현정, 숀 애스틴",80분,척 파워스,7.2631578947368425,114
78,93218,7번째 아들,2015,5.00,"제프 브리지스(그레고리), 벤 반스(톰), 줄리안 무어(멀킨)",102분,세르게이 보드로프,6.655172413793103,29
79,101236,포커스,2015,-,"윌 스미스(니키), 마고 로비(제스), 로드리고 산토로(가리가)",104분,"글렌 피카라, 존 레쿼",7.605263157894737,38
80,132665,심야식당,-,6.03,"코바야시 카오루, 오다기리 죠",120분,마츠오카 조지,8.55072463768116,138
81,81464,빅 아이즈,2014,7.09,"에이미 아담스(마가렛 킨), 크리스토프 왈츠(월터 킨)",105분,팀 버튼,8.131578947368421,76
