,N_movie_code,title,comeout_date,expert_rating,starring_actors,running_times,directors
71,104426,19곰 테드 2,2015,5.00,"마크 월버그(존 베넷), 아만다 사이프리드(사만다 잭슨), 세스 맥팔레인(테드 목소리)",115분,세스 맥팔레인
72,115981,나의 절친 악당들,2014,5.50,"류승범(지누), 고준희(나미), 류현경(정숙)",110분,임상수
73,123300,존 윅,2014,6.05,"키아누 리브스(존 윅), 미카엘 니크비스트(비고 타라소프)",107분,"데이빗 레이치, 채드 스타헬스키"
74,117774,상의원,2014,5.21,"한석규(돌석), 고수(공진), 박신혜(왕비)",127분,이원석
75,120759,스틸 앨리스,2014,6.57,"줄리안 무어(앨리스), 알렉 볼드윈(존 하울랜드), 크리스틴 스튜어트(리디아)",101분,"리처드 글랫저, 워시 웨스트모어랜드"
76,118948,더 건맨: 테이큰 감독 뉴프로젝트,2015,4.58,"숀 펜(짐 테리어), 하비에르 바르뎀(펠릭스), 이드리스 엘바(재키 반즈)",113분,피에르 모렐
77,118948,더 건맨: 테이큰 감독 뉴프로젝트,2015,4.58,"숀 펜(짐 테리어), 하비에르 바르뎀(펠릭스), 이드리스 엘바(재키 반즈)",113분,피에르 모렐
78,133169,빌리와 용감한 녀석들 3,2014,5.00,"엄상현(빌리), 조현정(샌디), 숀 애스틴",80분,척 파워스
79,101236,포커스,2015,-,"윌 스미스(니키), 마고 로비(제스), 로드리고 산토로(가리가)",104분,"글렌 피카라, 존 레쿼"
80,156091,심야식당2,Midnight Diner 2,5.67,코바야시 카오루(마스터),108분,마츠오카 조지
81,81464,빅 아이즈,2014,7.09,"에이미 아담스(마가렛 킨), 크리스토프 왈츠(월터 킨)",105분,팀 버튼
82,154257,와일드라이프,2018,6.60,"캐리 멀리건(자넷), 제이크 질렌할(제리), 에드 옥슨볼드(조)",105분,폴 다노
83,156495,더 이퀄라이저 2,2018,-,"덴젤 워싱턴(로버트 맥콜), 페드로 파스칼, 빌 풀만",120분,안톤 후쿠아
84,118367,세인트 빈센트,2014,6.19,"빌 머레이(세인트 빈센트 반 누이스), 나오미 왓츠(다카), 멜리사 맥카시(매기)",102분,데오도르 멜피
85,118957,모데카이,2015,4.65,"조니 뎁(찰리 모데카이), 기네스 팰트로(조한나), 이완 맥그리거(마트랜드)",106분,데이빗 코엡
86,118361,엑스 마키나,2015,7.05,"도널 글리슨(칼렙), 알리시아 비칸데르(에이바), 오스카 아이삭(네이든)",108분,알렉스 가랜드
87,118347,타임 패러독스,2014,6.00,"에단 호크, 노아 테일러(Mr.로버트슨), 사라 스누크",97분,"마이클 스피어리그, 피터 스피어리그"
88,118994,피치 퍼펙트: 언프리티 걸즈,2015,5.75,"안나 켄드릭(베카), 헤일리 스테인펠드(에밀리), 레벨 윌슨(팻 에이미)",114분,엘리자베스 뱅크스
89,137394,위자: 레저렉션,2015,-,"제시카 윌리스(엘레나 쿠퍼), 니콜 홀트(유령)",86분,이스라엘 루나
90,127364,기생수 파트2,Parasyte: Part 2,7.17,"소메타니 쇼타(이즈미 신이치), 아베 사다오(오른쪽이), 후카츠 에리(타미야 료코)",118분,야마자키 다카시
91,113230,위아영,2014,6.86,"벤 스틸러(조쉬), 나오미 왓츠(코넬리아), 아만다 사이프리드(다비)",97분,노아 바움백
92,125443,드래곤 블레이드: 천장웅사,Dragon Blade,4.33,"성룡(후오안), 존 쿠삭(루시우스), 애드리언 브로디(티베리우스)",133분,이인항
93,117786,나이트 크롤러,2014,7.31,제이크 질렌할(루이스 블룸),117분,댄 길로이
94,135342,더 라스트: 나루토 더 무비,2014,-,"타케우치 준코(우즈마키 나루토 목소리), 나카무라 치에(하루노 사쿠라 목소리), 모리쿠보 쇼타로(나라 시카마루 목소리)",114분,코바야시 츠네오
95,133381,바다 탐험대 옥토넛 스페셜,2013,-,"하성용, 정재헌, 엄상현",70분,니키 팰런
96,113909,엘리노어 릭비: 그 남자,2013,7.00,"제임스 맥어보이(코너 러들로), 제시카 차스테인(엘레노어 릭비)",95분,네드 벤슨
97,109169,송 원,2014,5.56,"앤 해서웨이(프래니), 자니 플린(제임스), 메리 스틴버겐(프래니 엄마)",88분,케이트 베커 플로이랜드
98,144690,한번 더 해피엔딩,2016,등록,"장나라(한미모), 정경호(송수혁), 권율(구해준)",-,권성창
99,128265,약장수,2014,5.38,"김인권(일범), 박철민(철중), 이주실(옥님)",104분,조치언
100,115977,베테랑,2015,7.50,"황정민(서도철), 유아인(조태오), 유해진(최상무)",123분,류승완
101,121048,암살,2015,6.57,"전지현(안옥윤), 이정재(염석진), 하정우(하와이 피스톨)",139분,최동훈
102,121788,내부자들,2015,6.63,"이병헌(안상구), 조승우(우장훈), 백윤식(이강희)",130분,우민호
103,193169,사도행자 2: 스파이 전쟁,2019,-,"장가휘(란보원), 고천락(사오즈랑), 강패요(야오커이)",98분,문위홍
104,95541,미션 임파서블: 로그네이션,2015,7.54,"톰 크루즈(에단 헌트), 제레미 레너(윌리엄 브랜트), 사이먼 페그(벤지 던)",131분,크리스토퍼 맥쿼리
105,120157,검은 사제들,2015,6.23,"김윤석(김신부), 강동원(최부제)",108분,장재현
106,100647,히말라야,2015,5.63,"황정민(엄홍길), 정우(박무택)",124분,이석훈
107,115622,인사이드 아웃,2015,7.88,"에이미 포엘러(조이/기쁨 목소리), 필리스 스미스(슬픔/새드니스 목소리), 민디 캘링(까칠/디스거스트 목소리)",102분,피트 닥터
108,129049,마션,2015,7.91,"맷 데이먼(마크 와트니), 제시카 차스테인(멜리사 루이스), 세바스찬 스탠(크리스 벡)",144분,리들리 스콧
109,118917,인턴,2015,6.25,"앤 해서웨이(줄스 오스틴), 로버트 드 니로(벤 휘태커)",121분,낸시 마이어스
