,audience_rating,rating_audiences
0,8.612376613515565,5268
1,9.272090988626422,1143
2,8.96078431372549,918
3,8.337789203084833,1945
4,8.172131147540984,610
5,8.889012208657048,901
6,9.294190358467244,809
7,8.779516358463727,703
8,9.359840954274354,1006
9,8.393271461716937,862
10,8.889208633093526,695
11,8.053080568720379,1055
12,8.42809364548495,598
13,8.06051437216339,661
14,9.344880677444188,1299
15,8.095959595959595,990
16,8.72682119205298,604
17,8.426070038910506,514
18,8.43424317617866,403
19,9.083129584352077,409
20,8.681981981981982,1110
21,7.491289198606272,574
22,8.677725118483412,211
23,7.268542199488491,391
24,8.313559322033898,354
25,7.811816192560175,457
26,9.67,100
27,6.614678899082569,327
28,7.925486875529213,1181
29,8.40327868852459,305
30,7.703703703703703,216
31,7.5646258503401365,147
32,8.51792828685259,251
33,8.396039603960396,202
34,6.721153846153846,208
35,7.502283105022831,219
36,8.256544502617801,191
37,5.575187969924812,266
38,8.26086956521739,207
39,6.72108843537415,294
40,8.669902912621358,206
41,8.620253164556962,1185
42,7.947826086956522,345
43,6.739495798319328,119
44,8.754716981132075,265
45,8.049382716049383,162
46,8.02608695652174,115
47,8.539370078740157,254
48,7.433962264150943,159
49,9.085,200
50,7.689075630252101,119
51,7.915384615384616,130
52,8.664556962025317,158
53,8.571428571428571,7
54,8.067164179104477,134
55,7.655555555555556,90
56,8.552301255230125,239
57,5.173333333333333,75
58,8.408866995073891,203
59,8.149532710280374,107
60,8.532051282051283,156
61,8.26206896551724,145
62,9.280903328050712,2524
63,7.558252427184466,206
64,8.851063829787234,94
65,8.573333333333334,75
66,7.203703703703703,108
67,7.275,80
68,7.636363636363637,44
69,8.166666666666666,42
70,7.260797342192691,602
71,8.293233082706767,133
72,5.9,80
73,7.6440677966101696,59
74,7.787072243346008,526
75,8.342105263157896,76
76,7.0864864864864865,185
77,7.2631578947368425,114
78,6.655172413793103,29
79,7.605263157894737,38
80,8.55072463768116,138
81,8.131578947368421,76
82,8.906976744186046,43
83,8.136363636363637,22
84,8.275862068965518,29
85,8.225563909774436,133
86,7.290322580645161,124
87,7.672131147540983,61
88,8.37704918032787,61
89,6.859375,64
90,7.8,55
91,7.875,48
92,8.89655172413793,29
93,7.9655172413793105,29
94,8.976525821596244,213
95,7.529411764705882,68
96,7.4423076923076925,52
97,6.148148148148148,27
98,8.047619047619047,21
99,8.73469387755102,49
100,9.25904317386231,3428
101,9.101088201603666,3492
102,9.09490639965172,2297
103,8.389521640091116,1756
104,8.909564570152586,2687
105,8.584792396198099,1999
106,8.94204081632653,1225
107,9.113006396588487,938
108,8.774937343358395,1995
109,9.043558850787766,1079
110,8.12320916905444,1047
111,8.691348402182385,1283
112,8.371521035598706,1545
113,8.46712802768166,867
114,8.682264150943396,1325
115,8.239776951672862,1614
116,8.1991341991342,693
117,7.629014396456257,903
118,7.918032786885246,488
119,8.371273712737127,738
120,8.564612326043738,503
121,7.62,400
122,8.727659574468085,470
123,8.66931216931217,1890
124,6.850356294536817,421
125,7.795031055900621,322
126,8.3125,240
127,7.791479820627803,446
128,7.891304347826087,414
129,8.036036036036036,333
130,8.25512528473804,439
131,7.386533665835412,401
132,8.865148861646235,571
133,8.637096774193548,372
134,6.151515151515151,264
135,8.180925666199158,713
136,7.033613445378151,238
137,5.763565891472868,258
138,8.8997668997669,429
139,7.247058823529412,170
140,7.760162601626016,246
141,7.8559322033898304,118
142,8.323529411764707,238
143,7.923076923076923,182
144,8.902702702702703,185
145,6.43010752688172,186
146,8.729591836734693,196
147,7.160621761658031,579
148,8.893203883495145,103
149,8.790748898678414,454
150,8.157894736842104,133
151,8.21875,160
152,7.6347826086956525,115
153,7.220689655172414,145
154,7.463157894736842,95
155,9.05240706886045,1641
156,7.867149758454106,414
157,9.0625,80
158,8.0,78
159,9.361204013377927,299
160,7.868525896414343,251
161,8.666666666666666,48
162,8.825581395348838,86
163,7.945652173913044,92
164,8.038461538461538,78
165,8.545454545454545,11
166,7.467532467532467,77
167,8.461538461538462,104
168,-,-
169,7.432098765432099,81
170,8.857142857142858,35
171,6.607142857142857,56
172,8.358695652173912,92
173,8.601895734597157,211
174,7.724137931034483,58
175,8.741935483870968,62
176,7.609756097560975,41
177,9.707792207792208,154
178,7.833333333333333,84
179,8.326086956521738,46
180,5.155555555555556,45
181,8.25925925925926,27
182,9.382716049382717,81
183,8.35135135135135,111
184,8.524590163934427,122
185,7.314285714285714,35
186,7.14,200
187,6.682926829268292,41
188,8.86896551724138,145
189,8.026315789473685,38
190,7.0588235294117645,17
191,7.407692307692308,130
192,8.854545454545455,110
193,8.206896551724139,29
194,7.239130434782608,92
195,8.632157581310123,6549
196,8.996032112208177,10837
197,8.008699014111734,5173
198,9.311522048364154,703
199,7.559087204563977,3681
200,8.894853348090757,1807
201,9.521487351417251,3281
202,8.60940536338904,2573
203,8.295994328252393,2821
204,8.67259056732741,1463
205,7.34433962264151,2120
206,8.009656652360515,932
207,8.487762237762238,1144
208,8.370217166494312,967
209,8.996168582375478,1305
210,7.442600276625173,1446
211,7.42015503875969,1290
212,8.080204778156997,586
213,9.383582089552238,670
214,8.683649289099526,1688
215,8.610481586402265,706
216,8.72,500
217,8.30791788856305,682
218,8.185185185185185,567
219,8.771289537712896,411
220,8.81132075471698,636
221,8.8125,272
222,8.435855263157896,608
223,8.022988505747126,348
224,7.894859813084112,428
225,9.097664543524417,471
226,8.324675324675324,308
227,8.732394366197184,355
228,8.542372881355933,354
229,7.813008130081301,246
230,7.586956521739131,368
231,6.63903743315508,374
232,10.0,1
233,7.333333333333333,291
234,8.706161137440759,422
235,8.296610169491526,236
236,8.788079470198676,151
237,8.482758620689655,203
238,8.375,208
239,8.422360248447205,322
240,8.12015503875969,516
241,8.427209705372617,1154
242,6.494773519163763,287
243,5.964285714285714,616
244,7.897163120567376,282
245,9.085714285714285,175
246,8.947136563876652,227
247,7.878612716763006,173
248,8.905172413793103,232
249,8.285714285714286,168
250,9.053571428571429,112
251,7.8343558282208585,163
252,7.553719008264463,121
253,7.788732394366197,284
254,6.344444444444444,90
255,8.108219178082193,730
256,8.658227848101266,79
257,-,-
258,6.350574712643678,174
259,8.899497487437186,199
260,9.11111111111111,18
261,8.166666666666666,6
262,8.46938775510204,196
263,7.244131455399061,213
264,8.335766423357665,137
265,5.647058823529412,136
266,9.6,5
267,8.395348837209303,86
268,8.533333333333333,105
269,9.130952380952381,84
270,7.15483870967742,310
271,8.201754385964913,114
272,9.143835616438356,146
273,5.87037037037037,54
274,8.595505617977528,89
275,7.152941176470589,170
276,7.865853658536586,82
277,9.3,10
278,7.775862068965517,232
279,8.64102564102564,39
280,8.451612903225806,155
281,8.782608695652174,69
282,7.66,100
283,8.0,1
284,6.55,40
285,6.977777777777778,45
286,8.546636279226808,11847
287,8.578849289541113,4293
288,8.660829649778988,5882
289,8.570277390361072,6453
290,8.826053442959918,3892
291,8.859929078014185,3948
292,8.949522226838388,4814
293,8.686219739292365,5370
294,8.768924302788845,3263
295,8.914615770969363,1991
296,8.588807785888077,2055
297,9.011034482758621,1450
298,8.592145015105741,1655
299,8.411099949773982,3982
300,8.69192200557103,1795
301,6.558953033268102,4088
302,8.703752468729427,3038
303,8.868760064412239,1242
304,8.31781557743957,1117
305,7.6155837432047635,3863
306,9.0,1
307,8.41340782122905,895
308,8.590727418065548,1251
309,8.872954764196342,1039
310,7.713203463203463,924
311,9.039348710990502,1474
312,8.46183800623053,1284
313,8.239467849223947,451
314,8.081967213114755,1525
315,9.161118508655127,751
316,9.247206703910615,716
317,8.880952380952381,882
318,8.2,610
319,8.907035175879397,398
320,8.190140845070422,426
321,8.38107869142352,1131
322,8.163934426229508,610
323,7.5,8
324,8.416058394160585,685
325,8.622535211267605,355
326,8.191629955947137,454
327,9.04263959390863,985
328,8.227513227513228,378
329,7.777292576419214,229
330,8.569124423963133,434
331,8.825657894736842,304
332,6.314741035856573,251
333,8.5375,320
334,8.811563169164883,467
335,9.170673076923077,416
336,7.473684210526316,19
337,9.565400843881857,237
338,-,-
339,8.25974025974026,154
340,5.224334600760456,263
341,8.08860759493671,79
342,8.869565217391305,184
343,8.439024390243903,82
344,9.58085808580858,303
345,8.178082191780822,219
346,-,-
347,8.457943925233645,107
348,8.738636363636363,88
349,8.415254237288135,118
350,9.692307692307692,26
351,8.342465753424657,73
352,8.641304347826088,92
353,8.393258426966293,89
354,8.666666666666666,312
355,8.894080996884735,321
356,8.866071428571429,224
357,8.394736842105264,114
358,8.333333333333334,90
359,9.196078431372548,306
360,-,-
361,8.575268817204302,186
362,9.466666666666667,15
363,8.1,70
364,8.10062893081761,159
365,7.730263157894737,152
366,8.603174603174603,126
367,8.173913043478262,69
368,9.0,1
369,8.258064516129032,93
370,8.42,100
371,7.733333333333333,90
372,8.975806451612904,124
373,7.565217391304348,46
374,8.27659574468085,94
375,9.636363636363637,11
376,9.352941176470589,102
377,8.890845070422536,1988
378,8.51175917215428,3189
379,9.115556882651537,3349
380,9.31884765625,2048
381,7.626346313173157,1207
382,9.215101193565127,3854
383,8.604651162790697,860
384,8.341040462427745,2076
385,9.062323745064862,3546
386,8.391095591444785,2291
387,8.58047646717025,1721
388,8.871711594673595,3079
389,8.796284433055733,1561
390,9.24909090909091,1650
391,8.388947927736451,941
392,8.555189456342669,607
393,6.909167367535744,1189
394,8.946745562130177,2366
395,9.643512450851901,763
396,8.148876404494382,1424
397,7.878773125608569,2054
398,8.079252003561887,1123
399,7.75482912332838,1346
400,8.146469465648854,2096
401,6.6306513409961685,1305
402,7.808153477218226,417
403,10.0,1
404,8.383561643835616,365
405,7.83502538071066,394
406,8.60706062931696,1303
407,7.406067677946324,857
408,8.820702402957487,541
409,8.06092715231788,755
410,8.734072022160666,361
411,8.323731138545954,729
412,8.51270553064275,1338
413,8.69620253164557,632
414,8.005361930294907,373
415,8.291071428571428,560
416,7.9071428571428575,420
