,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
242,비밀은 없다,이경미,"(주)영화사거미,필름트레인",,씨제이이앤엠(주),2016-06-23,개봉영화,장편,한국,502,1919317539,236971,527396739,63120,스릴러,청소년관람불가,일반영화
243,사냥,이우철,(주)빅스톤픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2016-06-29,개봉영화,장편,한국,696,1517501200,234746,431564900,64479,액션,15세이상관람가,일반영화
244,닌자터틀 : 어둠의 히어로,데이브 그린,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-06-16,개봉영화,장편,미국,517,1928455000,234539,558389900,64001,액션,12세이상관람가,일반영화
245,순정,이은희,(주)주피터필름,,(주)리틀빅픽쳐스,2016-02-24,개봉영화,장편,한국,467,1643792033,229059,507428633,65385,드라마,12세이상관람가,일반영화
246,독수리 에디,덱스터 플레처,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-04-07,개봉영화,장편,미국,528,1699642120,214003,629422120,76061,드라마,12세이상관람가,일반영화
247,남과 여,이윤기,(주)영화사봄,,(주)쇼박스,2016-02-25,개봉영화,장편,한국,449,1651122533,203775,598578633,72223,멜로/로맨스,청소년관람불가,일반영화
248,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,하시모토 마사카즈,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),2016-01-07,개봉영화,장편,일본,350,1472866700,202538,262506300,34932,애니메이션,전체관람가,일반영화
249,글로리데이,최정열,(주)보리픽쳐스,,(주)엣나인필름,2016-03-24,개봉영화,장편,한국,494,1484010868,189047,451492668,54491,드라마,15세이상관람가,독립/예술영화
250,부활,케빈 레이놀즈,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-03-17,개봉영화,장편,미국,120,1240599600,175146,416698600,56248,드라마,12세이상관람가,일반영화
251,조이,데이빗 O. 러셀,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-03-10,개봉영화,장편,미국,405,1372216200,171577,614470400,74056,코미디,12세이상관람가,일반영화
252,대배우,석민우,주식회사 영화사다,,"(주)대명문화공장,(주)리틀빅픽쳐스",2016-03-30,개봉영화,장편,한국,474,1245426228,169855,337587528,44595,코미디,12세이상관람가,일반영화
253,매직브러시,쯔씽 쫑,,(주)영화사 빅,(주)영화사 빅,2016-05-04,개봉영화,장편,중국,460,1269463800,169257,277581400,33920,애니메이션,전체관람가,독립/예술영화
254,미스컨덕트,시모사와 신타로,,㈜코리아스크린,"(주)박수엔터테인먼트,㈜코리아스크린",2016-03-30,개봉영화,장편,미국,470,1133511038,148512,343296538,43994,범죄,15세이상관람가,일반영화
255,레전드 오브 타잔,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-06-29,개봉영화,장편,미국,593,1057174400,146338,332185100,43575,액션,12세이상관람가,일반영화
256,13시간,마이클 베이,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-03-03,개봉영화,장편,미국,380,1160889514,144827,331939114,39831,액션,15세이상관람가,일반영화
257,극장판 아이엠스타 : 꿈의 오디션!,키무라 류이치,,씨제이이앤엠(주),씨제이이앤엠(주),2016-02-11,개봉영화,장편,일본,254,1045638100,141025,210890800,28342,애니메이션,전체관람가,일반영화
258,제 5침공,J 블레이크슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-02-25,개봉영화,장편,미국,312,1041049900,135874,199429800,25028,액션,12세이상관람가,일반영화
259,대니쉬 걸,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-02-17,개봉영화,장편,미국,246,1074763884,134029,628018484,76402,드라마,청소년관람불가,독립/예술영화
260,극장판 꼬마버스 타요의 에이스 구출작전,류정우,"(주)아이코닉스,(주)스튜디오게일",,(주)아이코닉스,2016-01-21,개봉영화,장편,한국,200,896765500,133736,188779400,27574,애니메이션,전체관람가,일반영화
261,헤이트풀8,쿠엔틴 타란티노,,(주)누리픽쳐스,(주)누리픽쳐스,2016-01-07,개봉영화,장편,미국,167,996168400,120352,457137100,54514,액션,청소년관람불가,독립/예술영화
262,최강전사 미니특공대: 영웅의 탄생,이영준,(주)삼지애니메이션,,(주)삼지애니메이션,2016-02-04,개봉영화,장편,한국,349,866704200,115704,172514300,22357,애니메이션,전체관람가,일반영화
263,다이노소어 어드벤처 : 백악기 공룡대백과,"닐 나이팅게일,베리 쿡,앤드류 코헨",,(주)박수엔터테인먼트,"(주)박수엔터테인먼트,(주)애니플러스",2016-05-04,개봉영화,장편,영국,325,852031000,111902,169617200,21158,다큐멘터리,전체관람가,독립/예술영화
264,다이버전트 시리즈: 얼리전트,로베르트 슈벤트케,,(유)조이앤시네마,씨네그루(주)키다리이엔티,2016-05-12,개봉영화,장편,미국,393,818823545,103542,280500645,34199,액션,12세이상관람가,일반영화
265,무서운 이야기 3 : 화성에서 온 소녀,"백승빈,김선,김곡,민규동",(주)수필름,,롯데쇼핑㈜롯데엔터테인먼트,2016-06-01,개봉영화,옴니버스,한국,317,760730500,94926,164623500,19541,공포(호러),15세이상관람가,일반영화
266,일사각오,"권혁만,고문안",KBS,,파이오니아21,2016-03-17,개봉영화,장편,한국,51,670010000,92821,232264700,32658,드라마,12세이상관람가,일반영화
267,크리미널,아리엘 브로멘,,(유)조이앤시네마,(주)영화사 빅,2016-06-22,개봉영화,장편,영국,351,723939881,90577,249604081,30450,액션,15세이상관람가,독립/예술영화
268,유스,파올로 소렌티노,,그린나래미디어(주),그린나래미디어(주),2016-01-07,개봉영화,장편,이탈리아,65,661767600,85166,449133200,55637,드라마,15세이상관람가,독립/예술영화
269,오베라는 남자,하네스 홀름,,(주)싸이더스,"(주)싸이더스,(주)디스테이션",2016-05-25,개봉영화,장편,스웨덴,255,650784888,82210,299064888,36802,드라마,12세이상관람가,독립/예술영화
270,다이노X 탐험대,이동희,(주)MBC,,(주)이수C&E,2016-05-04,개봉영화,장편,한국,348,634339900,82148,122013400,15164,애니메이션,전체관람가,독립/예술영화
271,오 마이 그랜파,댄 마저,,(주)수키픽쳐스,판씨네마(주),2016-03-17,개봉영화,장편,미국,396,632806532,79701,222196232,27230,코미디,청소년관람불가,일반영화
272,룸,레니 에이브러햄슨,,(주)콘텐츠게이트,(주)영화사 빅,2016-03-03,개봉영화,장편,아일랜드,333,621606700,78253,270557400,33076,드라마,15세이상관람가,독립/예술영화
273,엽기적인 그녀 2,조근식,(주)신씨네,,(주)리틀빅픽쳐스,2016-05-12,개봉영화,장편,한국,387,588233900,76321,143965300,18030,멜로/로맨스,15세이상관람가,일반영화
274,본 투 비 블루,로버트 뷔드로,,그린나래미디어(주),그린나래미디어(주),2016-06-09,개봉영화,장편,캐나다,147,598992000,74977,338099700,40984,드라마,청소년관람불가,독립/예술영화
275,번개맨,조근현,"(주)드림써치C&C,한국교육방송공사 EBS",,씨네그루(주)키다리이엔티,2016-02-11,개봉영화,장편,한국,393,516736500,69303,112271800,13839,판타지,전체관람가,일반영화
276,스티브 잡스,대니 보일,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-01-21,개봉영화,장편,미국,384,535351276,68815,263409778,32834,드라마,12세이상관람가,일반영화
277,레터스 투 갓,데이빗 닉슨,,(재)CBS,(주)모멘텀엔터테인먼트,2016-02-25,개봉영화,장편,미국,119,430338300,65887,75632500,10510,가족,전체관람가,독립/예술영화
278,바다 탐험대 옥토넛 시즌4: 빙하탐험선S,다라 오코넬,,(주)얼리버드픽쳐스,와이드 릴리즈(주),2016-02-25,개봉영화,장편,영국,155,361596000,60977,91880000,15434,애니메이션,전체관람가,독립/예술영화
279,트럼보,제이 로치,,그린나래미디어(주),"그린나래미디어(주),(주)프레인글로벌",2016-04-07,개봉영화,장편,미국,310,462652100,58784,235668600,29659,드라마,15세이상관람가,독립/예술영화
280,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,다라 오코넬,,(주)얼리버드픽쳐스,와이드 릴리즈(주),2016-06-02,개봉영화,장편,영국,162,340299000,56866,72469500,11999,애니메이션,전체관람가,독립/예술영화
281,극장판 프랭키와 친구들: 생명의 나무,박정오,프랭키영화문화산업전문(주),,예지림엔터테인먼트,2016-04-13,개봉영화,장편,한국,258,408723600,56476,103400500,13068,애니메이션,전체관람가,일반영화
282,더 보이,윌리엄 브렌트 벨,,(주)컴퍼니엘,(주)리틀빅픽쳐스,2016-06-01,개봉영화,장편,미국,186,440944821,55765,84467821,10054,공포(호러),15세이상관람가,독립/예술영화
283,드레스메이커,조셀린 무어하우스,,브릿지웍스 엔터테인먼트(주),(주)리틀빅픽쳐스,2016-02-11,개봉영화,장편,호주,176,440059500,55330,144520800,17846,드라마,15세이상관람가,독립/예술영화
284,파라노말 액티비티: 더 고스트 디멘션,그레고리 플로킨,,(주)다자인소프트,(주)박수엔터테인먼트,2016-04-21,개봉영화,장편,미국,353,454055200,54972,129982200,15254,미스터리,15세이상관람가,일반영화
285,잡아야 산다,오인천,더퀸디앤엠 주식회사,,오퍼스픽쳐스(유),2016-01-07,개봉영화,장편,한국,219,410361400,54450,91032800,11245,코미디,15세이상관람가,일반영화
286,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,1788,93175877048,11565078,23020827248,2754686,액션,15세이상관람가,일반영화
287,밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",,워너브러더스 코리아(주),2016-09-07,개봉영화,장편,한국,1444,61158644831,7487545,15436298021,1827424,액션,15세이상관람가,일반영화
288,터널,김성훈,"(주)어나더썬데이,(주)비에이엔터테인먼트",,(주)쇼박스,2016-08-10,개봉영화,장편,한국,1105,57510324417,7118592,14121558017,1675010,드라마,12세이상관람가,일반영화
289,인천상륙작전,이재한,(주)태원엔터테인먼트,,씨제이이앤엠(주),2016-07-27,개봉영화,장편,한국,1049,55101410303,7049643,11459996563,1427944,전쟁,12세이상관람가,일반영화
290,럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,개봉영화,장편,한국,1158,56361435256,6965706,13812629836,1640015,코미디,15세이상관람가,일반영화
291,덕혜옹주,허진호,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,개봉영화,장편,한국,964,44344141109,5593551,10625578869,1304324,사극,12세이상관람가,일반영화
292,닥터 스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-10-26,개봉영화,장편,미국,1503,47481830396,5446239,15364372146,1657683,액션,12세이상관람가,일반영화
293,마스터,조의석,영화사 집,,씨제이이앤엠(주),2016-12-21,개봉영화,장편,한국,1501,39784641065,4935320,10109128465,1211837,액션,15세이상관람가,일반영화
294,신비한 동물사전,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-11-16,개봉영화,장편,미국,1431,39300515858,4662534,12612776458,1422215,어드벤처,12세이상관람가,일반영화
295,판도라,박정우,(주)씨에이씨엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,개봉영화,장편,한국,1166,33856670164,4301361,6940555164,846789,드라마,12세이상관람가,일반영화
296,나우 유 씨 미 2,존 추,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-07-13,개봉영화,장편,미국,1200,25116690113,3100113,7162588413,850601,범죄,12세이상관람가,일반영화
297,형,권수경,굿초이스컷픽쳐스(주),,씨제이이앤엠(주),2016-11-23,개봉영화,장편,한국,993,23113768293,2979659,5470616143,673565,코미디,12세이상관람가,일반영화
298,미스 페레그린과 이상한 아이들의 집,팀 버튼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-09-28,개봉영화,장편,미국,904,21841214586,2718158,6220296286,737280,미스터리,12세이상관람가,일반영화
299,제이슨 본,폴 그린그래스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-07-27,개봉영화,장편,미국,827,21253434663,2611966,6707397843,797790,액션,15세이상관람가,일반영화
300,도리를 찾아서,앤드류 스탠튼,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-07-06,개봉영화,장편,미국,1091,20703899933,2601734,6199961913,724706,애니메이션,전체관람가,일반영화
301,아수라,김성수,(주)사나이픽처스,,씨제이이앤엠(주),2016-09-28,개봉영화,장편,한국,1278,20576226662,2594028,5577412282,676676,범죄,청소년관람불가,일반영화
302,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,2517805,5360235715,656542,애니메이션,전체관람가,일반영화
303,라라랜드,데이미언 셔젤,,판씨네마(주),판씨네마(주),2016-12-07,개봉영화,장편,미국,727,19993531232,2384782,8520674132,987682,드라마,12세이상관람가,일반영화
304,봉이 김선달,박대민,"(주)엠픽처스,(주)에스엔케이픽처스",,씨제이이앤엠(주),2016-07-06,개봉영화,장편,한국,942,16172133642,2044564,3545320462,432216,사극,12세이상관람가,일반영화
305,수어사이드 스쿼드,데이비드 에이어,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-08-03,개봉영화,장편,미국,823,15873106188,1898121,4616155428,521174,액션,15세이상관람가,일반영화
306,벤허,티무르 베크맘베토브,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-09-14,개봉영화,장편,미국,717,11405870395,1399771,2957265515,356087,어드벤처,12세이상관람가,일반영화
307,스타트렉 비욘드,저스틴 린,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-08-17,개봉영화,장편,미국,716,10190375820,1157156,3556973400,380899,액션,12세이상관람가,일반영화
308,미씽: 사라진 여자,이언희,다이스필름(주),,메가박스중앙(주)플러스엠,2016-11-30,개봉영화,장편,한국,790,8881616256,1153109,2457671256,307997,미스터리,15세이상관람가,일반영화
309,"당신, 거기 있어줄래요",홍지영,(주)수필름,,롯데쇼핑㈜롯데엔터테인먼트,2016-12-14,개봉영화,장편,한국,767,8999085248,1124815,2552055748,305990,판타지,12세이상관람가,일반영화
310,라이트 아웃,데이비드 F. 샌드버그,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-08-24,개봉영화,장편,미국,659,8892177975,1111158,2086096975,248265,공포(호러),15세이상관람가,일반영화
311,씽,가스 제닝스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-12-21,개봉영화,장편,미국,795,8196285789,1061913,2230472589,274530,애니메이션,전체관람가,일반영화
312,맨 인 더 다크,페드 알바레즈,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-10-05,개봉영화,장편,미국,671,8445645672,999047,2347738772,267646,스릴러,청소년관람불가,일반영화
313,"고산자, 대동여지도",강우석,(주)시네마서비스,,씨제이이앤엠(주),2016-09-07,개봉영화,장편,한국,765,7777473258,971194,1911829638,230579,사극,전체관람가,일반영화
314,매그니피센트 7,안톤 후쿠아,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-09-14,개봉영화,장편,미국,579,7633490421,921317,2113986651,247071,액션,15세이상관람가,일반영화
315,브리짓 존스의 베이비,샤론 맥과이어,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-09-28,개봉영화,장편,미국,509,6678585874,820995,2641542374,314889,코미디,15세이상관람가,일반영화
316,스플릿,최국희,오퍼스픽쳐스(유),,오퍼스픽쳐스(유),2016-11-09,개봉영화,장편,한국,702,6097721539,757430,1497661939,177946,드라마,15세이상관람가,일반영화
317,국가대표 2,김종현,케이엠컬쳐㈜,,메가박스중앙(주)플러스엠,2016-08-10,개봉영화,장편,한국,562,5424324942,703024,1319827542,166219,드라마,12세이상관람가,일반영화
318,인페르노,론 하워드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-10-19,개봉영화,장편,미국,754,5656281303,689071,1920944703,224942,미스터리,15세이상관람가,일반영화
319,설리: 허드슨강의 기적,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-09-28,개봉영화,장편,미국,573,5234170754,627102,1679863954,192870,드라마,12세이상관람가,일반영화
320,잭 리처: 네버 고 백,에드워드 즈윅,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-11-30,개봉영화,장편,미국,667,4638072258,611097,1375085358,175136,액션,15세이상관람가,일반영화
321,로그 원: 스타워즈 스토리,가렛 에드워즈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2016-12-28,개봉영화,장편,미국,907,5127537094,596487,1796959744,196714,액션,12세이상관람가,일반영화
322,아이스 에이지: 지구 대충돌,마이크 트메이어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-07-20,개봉영화,장편,미국,580,4092484600,553760,920145300,116487,애니메이션,전체관람가,일반영화
323,메카닉: 리크루트,데니스 간젤,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2016-08-31,개봉영화,장편,미국,320,4458200800,551897,1177943300,142121,액션,15세이상관람가,일반영화
324,고스트버스터즈,폴 페이그,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-25,개봉영화,장편,미국,511,4116292075,515522,1376002875,165403,액션,12세이상관람가,일반영화
325,거울나라의 앨리스,제임스 보빈,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-09-07,개봉영화,장편,미국,515,4145733267,513202,1251835067,146759,어드벤처,12세이상관람가,일반영화
326,가려진 시간,엄태화,(주)바른손이앤에이,,(주)쇼박스,2016-11-16,개봉영화,장편,한국,884,3946462400,510878,1183297400,144193,드라마,12세이상관람가,일반영화
327,명탐정 코난: 순흑의 악몽,시즈노 코분,,씨제이이앤엠(주),씨제이이앤엠(주),2016-08-03,개봉영화,장편,일본,447,3754104500,507508,717455600,93719,애니메이션,12세이상관람가,일반영화
328,언더 워터,자움 콜렛 세라,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-07-13,개봉영화,장편,미국,518,3111772391,384789,722677691,87120,공포(호러),15세이상관람가,일반영화
329,위자: 저주의 시작,마이크 플래너건,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-11-09,개봉영화,장편,미국,467,2637517406,331877,558041806,67022,공포(호러),12세이상관람가,일반영화
330,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,타카하시 시게하루,,씨제이이앤엠(주),씨제이이앤엠(주),2016-07-20,개봉영화,장편,일본,403,2466913080,330665,441346600,56343,애니메이션,전체관람가,일반영화
331,아기배달부 스토크,"니콜라스 스톨러,더그 스윗랜드",,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-12-07,개봉영화,장편,미국,538,2408673700,318977,463127400,56472,애니메이션,전체관람가,일반영화
332,혼숨,이두환,(주)무비스퀘어,,(주)프레인글로벌,2016-10-26,개봉영화,장편,한국,498,2258422445,288016,374477045,45099,공포(호러),15세이상관람가,일반영화
333,드림 쏭,애쉬 브래넌,,(주)시네마리퍼블릭,(주)이수C&E,2016-09-14,개봉영화,장편,미국,399,1817437700,233283,388509000,47585,애니메이션,전체관람가,독립/예술영화
334,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,유야마 쿠니히코,,(주)포켓몬코리아,(주)이수C&E,2016-12-22,개봉영화,장편,일본,480,1666637400,219047,321904800,40783,애니메이션,전체관람가,일반영화
335,원피스 필름 골드,미야모토 히로아키,,씨제이이앤엠(주),씨제이이앤엠(주),2016-12-08,개봉영화,장편,일본,445,1697073100,215159,391871300,46953,애니메이션,12세이상관람가,일반영화
336,아이 엠 어 히어로,사토 신스케,,(주)영화사 빅,(주)영화사 빅,2016-09-21,개봉영화,장편,일본,263,1806714900,212599,510901800,59348,액션,청소년관람불가,독립/예술영화
337,"무현, 두 도시 이야기",전인환,"<무현, 두 도시 이야기> 제작위원회 ,엠앤씨에프",,(주)모멘텀엔터테인먼트,2016-10-26,개봉영화,장편,한국,66,1511430600,192668,519191200,63494,다큐멘터리,15세이상관람가,독립/예술영화
338,빅,트레버 월,,(주)누리픽쳐스,(주)이수C&E,2016-07-27,개봉영화,장편,미국,332,1174196720,160860,215962400,28656,애니메이션,전체관람가,독립/예술영화
339,달빛궁궐,김현주,"스튜디오홀호리(주),(주)콘텐츠판다",,(주)넥스트엔터테인먼트월드(NEW),2016-09-07,개봉영화,장편,한국,425,1134639700,151360,258859700,31822,애니메이션,전체관람가,일반영화
340,서울역,연상호,"주식회사 다다쇼,(주)화인컷",,(주)넥스트엔터테인먼트월드(NEW),2016-08-17,개봉영화,장편,한국,440,1157200562,146548,364877762,44396,애니메이션,15세이상관람가,독립/예술영화
341,장난감이 살아있다,후안 호세 캄파넬라,,㈜코리아스크린,"㈜코리아스크린,와이드 릴리즈(주)",2016-09-07,개봉영화,장편,아르헨티나,294,1109230600,142577,261978700,31893,애니메이션,전체관람가,독립/예술영화
342,플로렌스,스티븐 프리어스,,(주)누리픽쳐스,(주)이수C&E,2016-08-24,개봉영화,장편,영국,382,1079970100,139717,460420100,58672,드라마,15세이상관람가,독립/예술영화
343,로빈슨 크루소,"벤 스타센,빈센트 케스텔루트",,(유)조이앤시네마,(주)영화사 빅,2016-09-07,개봉영화,장편,벨기에,329,1038675400,135094,200206200,24105,애니메이션,전체관람가,독립/예술영화
344,자백,최승호,한국탐사저널리즘센터,,(주)엣나인필름,2016-10-13,개봉영화,장편,한국,152,1033168200,129774,457735300,55230,다큐멘터리,15세이상관람가,독립/예술영화
345,카페 소사이어티,우디 앨런,,찬란,CGV아트하우스,2016-09-14,개봉영화,장편,미국,199,1047223666,126439,628142366,74414,멜로/로맨스,15세이상관람가,독립/예술영화
346,마이 리틀 자이언트,스티븐 스필버그,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-08-10,개봉영화,장편,미국,128,991375900,125800,273880100,34343,어드벤처,전체관람가,일반영화
347,죽여주는 여자,이재용,"한국영화아카데미,주식회사 뭉클픽쳐스",,CGV아트하우스,2016-10-06,개봉영화,장편,한국,317,872397300,119964,376215400,51740,드라마,청소년관람불가,독립/예술영화
348,감바의 대모험,"카와무라 토모히로,코모리 요시히로",,(주)영화사 빅,(주)영화사 빅,2016-11-10,개봉영화,장편,일본,400,873677700,117362,164212900,20534,애니메이션,전체관람가,독립/예술영화
349,피터와 드래곤,데이빗 로워리,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-09-28,개봉영화,장편,미국,167,865600600,109137,196519100,23706,어드벤처,전체관람가,일반영화
350,킹 오브 프리즘,히시다 마사카즈,,동우에이앤이(주),(주)박수엔터테인먼트,2016-08-11,개봉영화,장편,일본,53,859771500,103852,630836000,73057,애니메이션,12세이상관람가,일반영화
351,바스티유 데이,제임스 왓킨스,,(주)더블앤조이픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2016-10-13,개봉영화,장편,미국,422,764700600,96305,240785200,29327,액션,15세이상관람가,일반영화
352,걷기왕,백승화,㈜인디스토리,,CGV아트하우스,2016-10-20,개봉영화,장편,한국,462,710905075,95542,209094375,26306,드라마,12세이상관람가,일반영화
353,나의 산티아고,줄리아 폰 하인츠,,(주)영화사 진진,(주)영화사 진진,2016-07-14,개봉영화,장편,독일,88,721244232,94243,404870932,51590,코미디,12세이상관람가,독립/예술영화
354,태풍이 지나가고,고레에다 히로카즈,,(주)티캐스트,(주)티캐스트,2016-07-27,개봉영화,장편,일본,72,772484972,93005,542795372,63098,드라마,12세이상관람가,독립/예술영화
355,루돌프와 많이있어,"유야마 쿠니히코,사카키바라 모토노리",,씨제이이앤엠(주),씨제이이앤엠(주),2016-12-28,개봉영화,장편,일본,375,682883600,89510,150047200,18400,애니메이션,전체관람가,일반영화
356,슈퍼 프렌즈,"이경호,이원재",㈜디지아트프로덕션,,씨네그루(주)키다리이엔티,2016-08-10,개봉영화,장편,한국,255,633274600,86293,131979300,16778,애니메이션,전체관람가,독립/예술영화
357,최악의 하루,김종관,㈜인디스토리,,CGV아트하우스,2016-08-25,개봉영화,장편,한국,199,639959190,80754,351625290,43550,멜로/로맨스,15세이상관람가,독립/예술영화
358,로스트 인 더스트,데이빗 맥킨지,,(주)메인타이틀픽쳐스,메가박스중앙(주)플러스엠,2016-11-03,개봉영화,장편,미국,354,621368822,79812,265854522,33568,범죄,15세이상관람가,일반영화
359,하이큐!! 끝과 시작,미츠나카 스스무,,(주)에이원엔터테인먼트,(주)팝엔터테인먼트,2016-11-16,개봉영화,장편,일본,130,544846000,75704,158050000,20943,애니메이션,12세이상관람가,일반영화
360,언더월드: 블러드 워,안나 포에스터,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-11-30,개봉영화,장편,미국,183,567567100,72071,159452300,19859,액션,15세이상관람가,일반영화
361,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,다라 오코넬,,(주)얼리버드픽쳐스,와이드 릴리즈(주),2016-09-28,개봉영화,장편,영국,164,420233500,69881,101644500,16874,애니메이션,전체관람가,독립/예술영화
362,세상에서 고양이가 사라진다면,나가이 아키라,,(주)크리픽쳐스,(주)크리픽쳐스,2016-11-09,개봉영화,장편,일본,175,497645200,69586,183328500,24986,드라마,12세이상관람가,독립/예술영화
363,어카운턴트,개빈 오코너,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-10-13,개봉영화,장편,미국,375,548544928,69529,200958628,24813,액션,15세이상관람가,일반영화
364,이퀄스,드레이크 도리머스,,(주)모멘텀엔터테인먼트,씨네그루(주)키다리이엔티,2016-08-31,개봉영화,장편,미국,357,519932300,68897,187674000,23942,드라마,15세이상관람가,일반영화
365,아이엠스타 뮤직어워드,와타다 신야,,씨제이이앤엠(주),씨제이이앤엠(주),2016-09-14,개봉영화,장편,일본,358,455696500,67027,93175000,13395,애니메이션,전체관람가,일반영화
366,올레,채두병,(주)어바웃필름,,"(주)대명문화공장,(주)리틀빅픽쳐스",2016-08-25,개봉영화,장편,한국,338,522938900,66883,139416000,17318,드라마,15세이상관람가,일반영화
367,리틀메딕: 몸속탐험대,피터 클라릿지,,그린나래미디어(주),(주)팝엔터테인먼트,2016-11-24,개봉영화,장편,독일,291,515053700,66562,96544900,11585,애니메이션,전체관람가,독립/예술영화
368,선생님의 일기,니티왓 다라톤,,(주)미로비젼,"(주)드림팩트엔터테인먼트,(주)미로스페이스",2016-11-02,개봉영화,장편,태국,163,461032900,66314,140191400,19833,멜로/로맨스,12세이상관람가,독립/예술영화
369,데몰리션,장 마크 발레,,(주)메인타이틀픽쳐스,(주)리틀빅픽쳐스,2016-07-13,개봉영화,장편,미국,198,533506821,65145,307424321,36499,드라마,청소년관람불가,독립/예술영화
370,극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,나카자와 쇼지로,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),2016-11-03,개봉영화,장편,일본,406,497324800,63800,98695300,11896,액션,전체관람가,일반영화
