,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
29,신데렐라,케네스 브래너,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-03-19,개봉영화,장편,미국,531,5499767900,716386,1654573800,205943,멜로/로맨스,전체관람가,일반영화
30,채피,닐 블롬캠프,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-03-12,개봉영화,장편,미국,536,4620348654,573657,1430685654,167768,액션,15세이상관람가,일반영화
31,헬머니,신한솔,"(주)전망좋은 영화사,TCO(주)더콘텐츠온",,(주)넥스트엔터테인먼트월드(NEW),2015-03-05,개봉영화,장편,한국,422,4096141972,519983,799976772,98593,코미디,청소년관람불가,일반영화
32,도라에몽 : 스탠 바이 미,"야마자키 타카시,야기 류이치",,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2015-02-12,개봉영화,장편,일본,432,3681140429,503516,681756129,88689,애니메이션,전체관람가,일반영화
33,위험한 상견례 2,김진영,"(주)전망좋은 영화사,TCO(주)더콘텐츠온,(주)마음에드는영화사",,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",2015-04-29,개봉영화,장편,한국,429,3575384754,472693,738570754,93940,멜로/로맨스,15세이상관람가,일반영화
34,순수의 시대,안상훈,"(주)화인웍스,(주)키메이커",,씨제이이앤엠(주),2015-03-05,개봉영화,장편,한국,546,3702353828,465492,1047948228,125716,사극,청소년관람불가,일반영화
35,무뢰한,오승욱,(주)사나이픽처스,,CGV아트하우스,2015-05-27,개봉영화,장편,한국,482,3253854931,413577,1111717431,136411,멜로/로맨스,청소년관람불가,일반영화
36,내 심장을 쏴라,문제용,(주)주피터필름,,"(주)리틀빅픽쳐스,(주)이수C&E",2015-01-28,개봉영화,장편,한국,452,2856859132,387409,602511932,79237,드라마,15세이상관람가,일반영화
37,그레이의 50가지 그림자,샘 테일러-존슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-02-26,개봉영화,장편,미국,512,2918598796,364415,1201564996,145292,드라마,청소년관람불가,일반영화
38,홈,팀 존슨,,씨제이이앤엠(주),씨제이이앤엠(주),2015-05-21,개봉영화,장편,미국,532,2691338791,360445,649663691,83379,애니메이션,전체관람가,일반영화
39,경성학교: 사라진 소녀들,이해영,"청년필름(주),비밀의화원",,롯데쇼핑㈜롯데엔터테인먼트,2015-06-18,개봉영화,장편,한국,489,2710740700,351208,715075900,88741,미스터리,15세이상관람가,일반영화
40,아메리칸 스나이퍼,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-01-14,개봉영화,장편,미국,308,2800001438,344766,1052863738,126890,액션,청소년관람불가,일반영화
41,호빗: 다섯 군대 전투,피터 잭슨,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-12-17,개봉영화,장편,미국,926,2840004341,326887,1007967441,104765,어드벤처,12세이상관람가,일반영화
42,스폰지밥 3D,폴 티비트,,씨제이이앤엠(주),씨제이이앤엠(주),2015-02-18,개봉영화,장편,미국,357,2458946200,325016,512218000,65131,애니메이션,전체관람가,일반영화
43,주피터 어센딩,"라나 워쇼스키,릴리 워쇼스키",,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-02-05,개봉영화,장편,미국,561,2685741879,309729,832233679,89787,SF,12세이상관람가,일반영화
44,패딩턴,폴 킹,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2015-01-07,개봉영화,장편,영국,408,2246424729,305100,646094129,84276,코미디,전체관람가,일반영화
45,오즈의 마법사: 돌아온 도로시,"윌 핀,댄 세인트 피에르",,㈜코리아스크린,(주)박수엔터테인먼트,2015-02-12,개봉영화,장편,미국,330,2175321000,298298,518209900,68014,애니메이션,전체관람가,독립/예술영화
46,런 올 나이트,자움 콜렛 세라,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-03-19,개봉영화,장편,미국,411,2293671495,289534,623115595,76106,액션,청소년관람불가,일반영화
