,aud_nationwide,log_aud
0,4968687,15.418666178059114
1,56866,10.948452901973463
2,678091,13.42703677620515
3,54144,10.899402442965895
4,3033052,14.925079931264928
5,661965,13.402967963430838
6,366442,12.811595534033692
7,1314274,14.088794979880756
8,73549,11.205707129744088
9,90416,11.412176521869625
10,2424330,14.701065755519183
11,88055,11.385716898229186
12,58384,10.974797158676228
13,573657,13.259786935715377
14,2314520,14.654712880591328
15,1111158,13.920913272731706
16,56515,10.942261368624832
17,2812310,14.849516767657278
18,72926,11.197200507360451
19,946547,13.760575905028354
20,1675798,14.33180002770077
21,3491857,15.065944244358565
22,142456,11.86678845908115
23,81680,11.310564452838547
24,2516128,14.738231769912225
25,98495,11.497761064450456
26,843703,13.645555815913664
27,8911437,16.002846065904137
28,405792,12.913595992034626
29,76343,11.242991623404993
30,1634403,14.306788158019842
31,63800,11.06350846933288
32,485056,13.092019627171702
33,174223,12.06809136683202
34,1153109,13.957972330776013
35,3872015,15.169285601338043
36,201365,12.212874460649102
37,4703245,15.363763253978144
38,2053085,14.53485409796913
39,11565078,16.26350059811261
40,590036,13.287938830969596
41,2292929,14.645340597557775
42,232016,12.354561613787677
43,77621,11.259593288117415
44,90643,11.414683993124154
45,41448,10.632194908494624
46,119518,11.691222266625566
47,1168268,13.971032868105008
48,3317196,15.014630405722212
49,436207,12.985872180305451
50,1444952,14.18358666098386
51,1584168,14.275569906338541
52,63954,11.065919353917192
53,93691,11.447757412385977
54,54972,10.914579243674742
55,146548,11.895108298826536
56,1891993,14.453141328798534
57,477848,13.077047969271733
58,3678156,15.117922097602568
59,689071,13.443099592582227
60,412850,12.930839609845574
61,3783341,15.14611803965324
62,1157583,13.961844768635254
63,72849,11.196144084693172
64,65895,11.09581784507799
65,318737,12.672121590309345
66,66074,11.098530605040901
67,1786383,14.395703463117082
68,4142912,15.236909480187078
69,72950,11.197529553950933
70,323098,12.685710961759385
71,654102,13.391018581581077
72,62071,11.036034170120518
73,49509,10.809909750211677
74,809327,13.603958317092122
75,58784,10.981624988014852
76,111127,11.61842897040453
77,2839921,14.859286792849083
78,35870,10.487656570526328
79,264766,12.486601696009618
80,59147,10.987781149608049
81,174938,12.072186904417356
82,2820029,14.852257726549363
83,1593386,14.28137186964655
84,47540,10.769326740914185
85,34723,10.455157570571497
86,116444,11.665165749725729
87,6125154,15.627914456936132
88,703024,13.463146309612627
89,119964,11.694946976755181
90,7118592,15.778220511023505
91,2191793,14.600230488284273
92,1124815,13.933129135653743
93,1002858,13.81836448164717
94,1144894,13.950822614265801
95,4875494,15.399731990613542
96,272736,12.516259573322024
97,50783,10.835316931890924
98,58487,10.976559786302708
99,4573902,15.33587722788715
100,114796,11.65091191905499
101,450374,13.017833627676017
102,86784,11.371177551860013
103,325016,12.691629690869311
104,2044564,14.530695121794077
105,1468301,14.199616508010527
106,182545,12.114751996952446
107,3657536,15.112300254616766
108,117401,11.67335070422742
109,354601,12.77874849269723
