,title,director,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,sequel,original,actor_power,director_count,director_movie_count,actor_movie_count,log_aud,before_news,after_news,holiday,dist_cat
18,쎄시봉,김현석,씨제이이앤엠(주),A,20150205,winter,개봉영화,장편,한국,829,13509581911,1707487,3396629711,414692,멜로/로맨스,15세이상관람가,일반영화,6.11,"정우,김윤석,한효주",122,8.434243176,403,2015,870785,1,0,37303827,1,1,8,14.35053326,1718,1121,0,A
19,위플래쉬,데이미언 셔젤,(주)쇼박스,C,20150312,spring,개봉영화,장편,미국,436,12426704845,1559430,5222711445,633918,드라마,15세이상관람가,독립/예술영화,8.44,"마일즈 텔러,J.K. 시몬스",106,9.083129584,409,2015,0,1,0,200,1,0,1,14.25983093,59,340,0,A
20,마다가스카의 펭귄,"에릭 다넬,사이몬 J.스미스",씨제이이앤엠(주),A,20141231,winter,개봉영화,장편,미국,615,11450482159,1512340,2764115059,346739,애니메이션,전체관람가,일반영화,6.33,"베네딕트 컴버배치,존 말코비치,톰 맥그라스",92,8.681981982,1110,2014,1390190,0,1,10578164,2,1,7,14.22916868,24,299,0,A
21,차이나타운,한준희,CGV아트하우스,A,20150429,spring,개봉영화,장편,한국,551,11989400678,1472006,3327822078,395351,범죄,청소년관람불가,일반영화,6.03,"김혜수,김고은,엄태구",110,7.491289199,574,2015,0,0,0,23495448,1,0,6,14.20213665,1607,607,0,A
22,장수상회,강제규,씨제이이앤엠(주),A,20150409,spring,개봉영화,장편,한국,688,8707389643,1160935,2204750243,284742,멜로/로맨스,12세이상관람가,일반영화,6.36,"박근형,윤여정,조진웅",112,8.677725118,211,2015,0,1,0,38288122,1,0,12,13.96473627,482,543,0,A
23,간신,민규동,롯데쇼핑㈜롯데엔터테인먼트,A,20150521,spring,개봉영화,장편,한국,697,8946618910,1110214,2421410210,289236,사극,청소년관람불가,일반영화,4.97,"주지훈,김강우,천호진",131,7.268542199,391,2015,5222820,0,0,9437615,1,4,10,13.92006335,1093,820,0,A
24,박물관이 살아있다 : 비밀의 무덤,숀 레비,이십세기폭스코리아(주),B,20150114,winter,개봉영화,장편,미국,500,8170784606,1101678,2209722306,288421,어드벤처,전체관람가,일반영화,5.67,"벤 스틸러,로빈 윌리엄스,댄 스티븐스",98,8.313559322,354,2015,0,0,0,1783439,1,0,5,13.91234503,24,254,0,B
25,허삼관,하정우,(주)넥스트엔터테인먼트월드(NEW),C,20150114,winter,개봉영화,장편,한국,621,7405415569,955175,1879461269,232983,드라마,12세이상관람가,일반영화,6.46,"하정우,하지원",124,7.811816193,457,2015,270148,1,0,26394758,1,1,8,13.76964985,2588,1113,0,A
26,"님아, 그 강을 건너지 마오",진모영,"CGV아트하우스,(주)대명문화공장",A,20141127,autumn,개봉영화,장편,한국,206,7509448200,955149,1833419900,228599,다큐멘터리,전체관람가,독립/예술영화,6,"조병만,강계열",86,9.67,100,2014,0,1,0,0,1,0,0,13.76962263,31,59,0,A
27,살인의뢰,손용호,씨네그루(주)다우기술,B,20150312,spring,개봉영화,장편,한국,646,6986456737,855980,1716336937,201830,범죄,청소년관람불가,일반영화,4.33,"김상경,김성균,박성웅",102,6.614678899,327,2015,0,1,0,42388996,1,0,19,13.66000229,558,492,0,B
