,title,director,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,sequel,original,actor_power,director_count,director_movie_count,actor_movie_count,log_aud,before_news,after_news,holiday,dist_cat
245,순정,이은희,(주)리틀빅픽쳐스,D,20160224,winter,개봉영화,장편,한국,467,1643792033,229059,507428633,65385,드라마,12세이상관람가,일반영화,5.5,"디오,김소현,연준석",113,9.085714286,175,2016,0,1,0,10141,1,0,1,12.34173489,1182,449,0,C
246,독수리 에디,덱스터 플레처,이십세기폭스코리아(주),B,20160407,spring,개봉영화,장편,미국,528,1699642120,214003,629422120,76061,드라마,12세이상관람가,일반영화,6.75,"태런 에저튼,휴 잭맨,크리스토퍼 월켄",106,8.947136564,227,2016,26990,1,0,12458755,1,2,8,12.27374531,41,110,0,B
247,남과 여,이윤기,(주)쇼박스,C,20160225,winter,개봉영화,장편,한국,449,1651122533,203775,598578633,72223,멜로/로맨스,청소년관람불가,일반영화,6,"전도연,공유",115,7.878612717,173,2016,0,0,0,4784870,1,0,4,12.22477172,1252,268,0,A
248,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,하시모토 마사카즈,(주)넥스트엔터테인먼트월드(NEW),C,20160107,winter,개봉영화,장편,일본,350,1472866700,202538,262506300,34932,애니메이션,전체관람가,일반영화,0,"야지마 아키코,후지와라 케이지,나라하시 미키",104,8.905172414,232,2016,83289,1,1,0,1,1,0,12.2186828,5,20,0,A
249,글로리데이,최정열,(주)엣나인필름,D,20160324,spring,개봉영화,장편,한국,494,1484010868,189047,451492668,54491,드라마,15세이상관람가,독립/예술영화,5.75,"지수,수호,류준열",93,8.285714286,168,2016,0,0,0,472568,1,0,2,12.14975094,1293,417,0,C
250,부활,케빈 레이놀즈,유니버설픽쳐스인터내셔널 코리아(유),B,20160317,spring,개봉영화,장편,미국,120,1240599600,175146,416698600,56248,드라마,12세이상관람가,일반영화,6,"조셉 파인즈,톰 펠튼,클리프 커티스",107,9.053571429,112,2016,0,1,0,105507,1,0,3,12.07337519,121,165,0,B
251,조이,데이빗 O. 러셀,이십세기폭스코리아(주),B,20160310,spring,개봉영화,장편,미국,405,1372216200,171577,614470400,74056,코미디,12세이상관람가,일반영화,6.17,"제니퍼 로렌스,브래들리 쿠퍼,로버트 드 니로",124,7.834355828,163,2016,286363,1,0,13119131,1,3,20,12.05278742,156,170,0,B
252,대배우,석민우,"(주)대명문화공장,(주)리틀빅픽쳐스",D,20160330,spring,개봉영화,장편,한국,474,1245426228,169855,337587528,44595,코미디,12세이상관람가,일반영화,5.54,"오달수,윤제문,이경영",108,7.553719008,121,2016,0,0,0,127803815,1,0,32,12.04270041,650,333,0,C
253,매직브러시,쯔씽 쫑,(주)영화사 빅,D,20160504,spring,개봉영화,장편,기타,460,1269463800,169257,277581400,33920,애니메이션,전체관람가,독립/예술영화,5,"김서영,김경희,박상훈",80,7.788732394,284,2016,0,1,0,7073275,1,0,14,12.03917355,32,67,0,C
254,미스컨덕트,시모사와 신타로,"(주)박수엔터테인먼트,㈜코리아스크린",D,20160330,spring,개봉영화,장편,미국,470,1133511038,148512,343296538,43994,범죄,15세이상관람가,일반영화,3.67,"알 파치노,안소니 홉킨스,조쉬 더하멜",105,6.344444444,90,2016,0,0,0,9098205,1,0,8,11.90842104,34,138,0,C
255,레전드 오브 타잔,데이빗 예이츠,워너브러더스 코리아(주),B,20160629,summer,개봉영화,장편,미국,593,1057174400,146338,332185100,43575,액션,12세이상관람가,일반영화,5.25,"알렉산더 스카스가드,사무엘 L. 잭슨,마고 로비",109,8.108219178,730,2016,0,1,0,22999657,1,0,13,11.89367429,32,264,0,B
256,13시간,마이클 베이,롯데쇼핑㈜롯데엔터테인먼트,A,20160303,spring,개봉영화,장편,미국,380,1160889514,144827,331939114,39831,액션,15세이상관람가,일반영화,5.5,"존 크래신스키,제임스 뱃지 데일,맥스 마티니",144,8.658227848,79,2016,2823641,1,0,17549,1,1,2,11.88329521,18,55,0,A
257,극장판 아이엠스타 : 꿈의 오디션!,키무라 류이치,씨제이이앤엠(주),A,20160211,winter,개봉영화,장편,일본,254,1045638100,141025,210890800,28342,애니메이션,전체관람가,일반영화,0,"정혜원,이용신,김채하",89,0,0,2016,0,1,0,20175,1,0,1,11.85669246,1,41,0,A
258,제 5침공,J 블레이크슨,유니버설픽쳐스인터내셔널 코리아(유),B,20160225,winter,개봉영화,장편,미국,312,1041049900,135874,199429800,25028,액션,12세이상관람가,일반영화,0,"클로이 모레츠,닉 로빈슨,알렉스 로",112,6.350574713,174,2016,0,1,0,182405,1,0,4,11.81948326,11,37,0,B
259,대니쉬 걸,톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),B,20160217,winter,개봉영화,장편,미국,246,1074763884,134029,628018484,76402,드라마,청소년관람불가,독립/예술영화,6.97,"에디 레드메인,알리시아 비칸데르,앰버 허드",119,8.899497487,199,2016,0,1,0,428678,1,0,8,11.80581147,36,80,0,B
260,극장판 꼬마버스 타요의 에이스 구출작전,류정우,(주)아이코닉스,C,20160121,winter,개봉영화,장편,한국,200,896765500,133736,188779400,27574,애니메이션,전체관람가,일반영화,0,"문남숙,정혜옥,최하나",48,9.111111111,18,2016,0,1,0,24810,1,0,1,11.80362299,8,18,0,C
261,헤이트풀8,쿠엔틴 타란티노,(주)누리픽쳐스,D,20160107,winter,개봉영화,장편,미국,167,996168400,120352,457137100,54514,액션,청소년관람불가,독립/예술영화,8.5,"사무엘 L. 잭슨,커트 러셀,제니퍼 제이슨 리",167,8.166666667,6,2016,260144,0,0,23039567,1,1,9,11.69817606,35,150,0,C
262,최강전사 미니특공대: 영웅의 탄생,이영준,(주)삼지애니메이션,D,20160204,winter,개봉영화,장편,한국,349,866704200,115704,172514300,22357,애니메이션,전체관람가,일반영화,0,-,68,8.469387755,196,2016,154342,1,0,0,1,1,0,11.65879048,3,40,0,C
263,다이노소어 어드벤처 : 백악기 공룡대백과,"닐 나이팅게일,베리 쿡,앤드류 코헨","(주)박수엔터테인먼트,(주)애니플러스",D,20160504,spring,개봉영화,장편,영국,325,852031000,111902,169617200,21158,다큐멘터리,전체관람가,독립/예술영화,5,-,84,7.244131455,213,2016,1014328,0,0,0,3,2,0,11.62537877,13,34,0,C
264,다이버전트 시리즈: 얼리전트,로베르트 슈벤트케,씨네그루(주)키다리이엔티,B,20160512,spring,개봉영화,장편,미국,393,818823545,103542,280500645,34199,액션,12세이상관람가,일반영화,4.5,"쉐일린 우들리,테오 제임스,마일즈 텔러",121,8.335766423,137,2016,384122,1,1,2859040,1,2,10,11.54773261,16,53,0,B
265,무서운 이야기 3 : 화성에서 온 소녀,"백승빈,김선,김곡,민규동",롯데쇼핑㈜롯데엔터테인먼트,A,20160601,summer,개봉영화,옴니버스,한국,317,760730500,94926,164623500,19541,공포,15세이상관람가,일반영화,6,"임슬옹,경수진,박정민",94,5.647058824,136,2016,1642539,0,1,7446460,4,6,6,11.46085292,452,92,0,A
266,일사각오,"권혁만,고문안",파이오니아21,D,20160317,spring,개봉영화,장편,한국,51,670010000,92821,232264700,32658,드라마,12세이상관람가,일반영화,0,"이지형,설지윤,최원",115,9.6,5,2016,20868,1,0,2330813,2,1,1,11.43842819,6,19,0,C
267,크리미널,아리엘 브로멘,(주)영화사 빅,D,20160622,summer,개봉영화,장편,영국,351,723939881,90577,249604081,30450,액션,15세이상관람가,독립/예술영화,4,"라이언 레이놀즈,케빈 코스트너,게리 올드만",111,8.395348837,86,2016,10842,0,0,9902766,1,1,12,11.4139556,31,54,0,C
268,유스,파올로 소렌티노,그린나래미디어(주),D,20160107,winter,개봉영화,장편,기타,65,661767600,85166,449133200,55637,드라마,15세이상관람가,독립/예술영화,7.34,"마이클 케인,하비 케이틀,레이첼 와이즈",124,8.533333333,105,2016,28915,1,0,8953443,1,1,5,11.35235757,30,120,0,C
269,오베라는 남자,하네스 홀름,"(주)싸이더스,(주)디스테이션",D,20160525,spring,개봉영화,장편,기타,255,650784888,82210,299064888,36802,드라마,12세이상관람가,독립/예술영화,6.86,"롤프 라스가드,바하르 파르스,필립 버그",116,9.130952381,84,2016,0,1,0,0,1,0,0,11.31703223,17,43,0,C
270,다이노X 탐험대,이동희,(주)이수C&E,B,20160504,spring,개봉영화,장편,한국,348,634339900,82148,122013400,15164,애니메이션,전체관람가,독립/예술영화,0,"정준하,하하",70,7.15483871,310,2016,0,0,0,0,1,0,0,11.31627778,28,46,0,B
271,오 마이 그랜파,댄 마저,판씨네마(주),D,20160317,spring,개봉영화,장편,미국,396,632806532,79701,222196232,27230,코미디,청소년관람불가,일반영화,4.65,"로버트 드 니로,잭 에프론,줄리안 허프",100,8.201754386,114,2016,6312,0,0,3988214,1,1,10,11.28603741,22,84,0,C
272,룸,레니 에이브러햄슨,(주)영화사 빅,D,20160303,spring,개봉영화,장편,기타,333,621606700,78253,270557400,33076,드라마,15세이상관람가,독립/예술영화,7.53,"브리 라슨,제이콥 트렘블레이,조안 알렌",118,9.143835616,146,2016,52460,1,0,0,1,1,0,11.26770245,634,331,0,C
273,엽기적인 그녀 2,조근식,(주)리틀빅픽쳐스,D,20160512,spring,개봉영화,장편,한국,387,588233900,76321,143965300,18030,멜로/로맨스,15세이상관람가,일반영화,3.5,"차태현,빅토리아",99,5.87037037,54,2016,0,1,1,1159787,1,0,1,11.24270341,445,204,0,C
274,본 투 비 블루,로버트 뷔드로,그린나래미디어(주),D,20160609,summer,개봉영화,장편,기타,147,598992000,74977,338099700,40984,드라마,청소년관람불가,독립/예술영화,7.13,"에단 호크,카르멘 에조고,칼럼 키스 레니",97,8.595505618,89,2016,0,0,0,286737,1,0,6,11.22493668,20,51,0,C
275,번개맨,조근현,씨네그루(주)키다리이엔티,B,20160211,winter,개봉영화,장편,한국,393,516736500,69303,112271800,13839,판타지,전체관람가,일반영화,5.5,"정현진,루나",72,7.152941176,170,2016,0,1,0,3065632,1,0,3,11.14624347,33,53,0,B
276,스티브 잡스,대니 보일,유니버설픽쳐스인터내셔널 코리아(유),B,20160121,winter,개봉영화,장편,미국,384,535351276,68815,263409778,32834,드라마,12세이상관람가,일반영화,6.4,"마이클 패스벤더,케이트 윈슬렛,세스 로건",122,7.865853659,82,2016,0,1,0,5262351,1,0,7,11.13917702,84,99,0,B
277,레터스 투 갓,데이빗 닉슨,(주)모멘텀엔터테인먼트,D,20160225,winter,개봉영화,장편,미국,119,430338300,65887,75632500,10510,드라마,전체관람가,독립/예술영화,3,"태너 맥과이어,제프리 존슨,로빈 리블리",114,9.3,10,2016,0,1,0,0,1,0,0,11.09569643,29,19,0,C
278,바다 탐험대 옥토넛 시즌4: 빙하탐험선S,다라 오코넬,와이드 릴리즈(주),D,20160225,winter,개봉영화,장편,영국,155,361596000,60977,91880000,15434,애니메이션,전체관람가,독립/예술영화,0,"하성용,정재헌,엄상현(페이소,트래커 목소리)",58,7.775862069,232,2016,0,1,1,24356832,1,0,8,11.01825202,2,1,0,C
279,트럼보,제이 로치,"그린나래미디어(주),(주)프레인글로벌",D,20160407,spring,개봉영화,장편,미국,310,462652100,58784,235668600,29659,드라마,15세이상관람가,독립/예술영화,7.6,"브라이언 크랜스톤,다이안 레인,헬렌 미렌",124,8.641025641,39,2016,0,1,0,8133898,1,0,5,10.98162499,25,54,0,C
280,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,다라 오코넬,와이드 릴리즈(주),D,20160602,summer,개봉영화,장편,영국,162,340299000,56866,72469500,11999,애니메이션,전체관람가,독립/예술영화,0,"하성용,정재헌,엄상현",68,8.451612903,155,2016,0,1,1,25150865,1,0,19,10.9484529,1,8,0,C
281,극장판 프랭키와 친구들: 생명의 나무,박정오,예지림엔터테인먼트,D,20160413,spring,개봉영화,장편,한국,258,408723600,56476,103400500,13068,애니메이션,전체관람가,일반영화,0,"이소은,안영미,김민정",72,8.782608696,69,2016,0,1,0,1680236,1,0,3,10.94157105,5,11,1,C
282,더 보이,윌리엄 브렌트 벨,(주)리틀빅픽쳐스,D,20160601,summer,개봉영화,장편,미국,186,440944821,55765,84467821,10054,공포,15세이상관람가,독립/예술영화,5.17,"로렌 코핸,루퍼트 에반스",97,7.66,100,2016,54,0,0,0,1,1,0,10.92890171,68,155,0,C
283,드레스메이커,조셀린 무어하우스,(주)리틀빅픽쳐스,D,20160211,winter,개봉영화,장편,기타,176,440059500,55330,144520800,17846,드라마,15세이상관람가,독립/예술영화,6.4,"케이트 윈슬렛,주디 데이비스,리암 헴스워스",118,8,1,2016,0,1,0,3502015,1,0,8,10.92107054,14,62,0,C
284,파라노말 액티비티: 더 고스트 디멘션,그레고리 플로킨,(주)박수엔터테인먼트,D,20160421,spring,개봉영화,장편,미국,353,454055200,54972,129982200,15254,미스터리,15세이상관람가,일반영화,3,"크리스 J. 머레이,브릿 쇼,아이비 조지",88,6.55,40,2016,0,0,1,0,1,0,0,10.91457924,11,23,0,C
285,잡아야 산다,오인천,오퍼스픽쳐스(유),D,20160107,winter,개봉영화,장편,한국,219,410361400,54450,91032800,11245,코미디,15세이상관람가,일반영화,3,"김승우,김정태,혁",96,6.977777778,45,2016,480709,0,0,15403931,1,2,7,10.90503813,640,311,0,C
286,부산행,연상호,(주)넥스트엔터테인먼트월드(NEW),C,20160720,summer,개봉영화,장편,한국,1788,93175877048,11565078,23020827248,2754686,액션,15세이상관람가,일반영화,7.1,"공유,정유미,마동석",118,8.546636279,11847,2016,21864,0,1,33789421,1,1,17,16.2635006,2559,2453,0,A
287,밀정,김지운,워너브러더스 코리아(주),B,20160907,autumn,개봉영화,장편,한국,1444,61158644831,7487545,15436298021,1827424,액션,15세이상관람가,일반영화,7.5,"송강호,공유",140,8.57884929,4293,2016,66698,0,1,25911076,1,1,4,15.82875153,1168,1044,0,B
288,터널,김성훈B,(주)쇼박스,C,20160810,summer,개봉영화,장편,한국,1105,57510324417,7118592,14121558017,1675010,드라마,12세이상관람가,일반영화,7.21,"하정우,배두나,오달수",126,8.66082965,5882,2016,3128490,0,1,98032226,1,1,19,15.77822051,2188,1046,0,A
289,인천상륙작전,이재한,씨제이이앤엠(주),A,20160727,summer,개봉영화,장편,한국,1049,55101410303,7049643,11459996563,1427944,드라마,12세이상관람가,일반영화,3.41,"이정재,이범수,리암 니슨",110,8.57027739,6453,2016,0,0,1,38214166,1,0,16,15.76848754,2681,1871,0,A
290,럭키,이계벽,(주)쇼박스,C,20161013,autumn,개봉영화,장편,한국,1158,56361435256,6965706,13812629836,1640015,코미디,15세이상관람가,일반영화,5.68,"유해진,이준,조윤희",112,8.826053443,3892,2016,0,0,1,32679526,1,0,11,15.75650952,909,755,0,A
291,덕혜옹주,허진호,롯데쇼핑㈜롯데엔터테인먼트,A,20160803,summer,개봉영화,장편,한국,964,44344141109,5593551,10625578869,1304324,사극,12세이상관람가,일반영화,5.95,"손예진,박해일",127,8.859929078,3948,2016,0,0,1,12610733,1,0,7,15.53712488,2133,1690,0,A
292,닥터 스트레인지,스콧 데릭슨,월트디즈니컴퍼니코리아(주),B,20161026,autumn,개봉영화,장편,미국,1503,47481830396,5446239,15364372146,1657683,액션,12세이상관람가,일반영화,7.03,"베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼",115,8.949522227,4814,2016,69786,1,1,18788531,1,1,16,15.51043584,235,532,0,B
293,마스터,조의석,씨제이이앤엠(주),A,20161221,winter,개봉영화,장편,한국,1501,39784641065,4935320,10109128465,1211837,액션,15세이상관람가,일반영화,5.77,"이병헌,강동원,김우빈",143,8.686219739,5370,2016,5496547,0,0,30623951,1,1,9,15.41192807,1071,426,0,A
294,신비한 동물사전,데이빗 예이츠,워너브러더스 코리아(주),B,20161116,autumn,개봉영화,장편,미국,1431,39300515858,4662534,12612776458,1422215,어드벤처,12세이상관람가,일반영화,7.08,"에디 레드메인,콜린 파렐,캐서린 워터스턴",132,8.768924303,3263,2016,0,1,1,1063966,1,0,7,15.35506964,97,577,0,B
295,판도라,박정우,(주)넥스트엔터테인먼트월드(NEW),C,20161207,winter,개봉영화,장편,한국,1166,33856670164,4301361,6940555164,846789,드라마,12세이상관람가,일반영화,5.92,"김남길,김주현,정진영",136,8.914615771,1991,2016,0,0,0,31008391,1,0,9,15.27444204,1144,849,0,A
296,나우 유 씨 미 2,존 추,롯데쇼핑㈜롯데엔터테인먼트,A,20160713,summer,개봉영화,장편,미국,1200,25116690113,3100113,7162588413,850601,범죄,12세이상관람가,일반영화,5.34,"제시 아이젠버그,마크 러팔로,우디 해럴슨",129,8.588807786,2055,2016,1855917,1,0,26001159,1,1,17,14.94694912,140,366,0,A
297,형,권수경,씨제이이앤엠(주),A,20161123,autumn,개봉영화,장편,한국,993,23113768293,2979659,5470616143,673565,코미디,12세이상관람가,일반영화,4.55,"조정석,디오,박신혜",110,9.011034483,1450,2016,0,0,0,30595374,1,0,6,14.90731942,487,1059,0,A
298,미스 페레그린과 이상한 아이들의 집,팀 버튼,이십세기폭스코리아(주),B,20160928,autumn,개봉영화,장편,미국,904,21841214586,2718158,6220296286,737280,미스터리,12세이상관람가,일반영화,7.08,"에바 그린,에이사 버터필드,사무엘 L. 잭슨",127,8.592145015,1655,2016,85200,0,1,23050917,1,1,12,14.815465,268,281,0,B
299,제이슨 본,폴 그린그래스,유니버설픽쳐스인터내셔널 코리아(유),B,20160727,summer,개봉영화,장편,미국,827,21253434663,2611966,6707397843,797790,액션,15세이상관람가,일반영화,5.97,"맷 데이먼,알리시아 비칸데르,뱅상 카셀",123,8.41109995,3982,2016,241514,1,1,6422881,1,1,12,14.77561375,198,701,0,B
300,도리를 찾아서,앤드류 스탠튼,월트디즈니컴퍼니코리아(주),B,20160706,summer,개봉영화,장편,미국,1091,20703899933,2601734,6199961913,724706,애니메이션,전체관람가,일반영화,6.52,"엘런 드제너러스,앨버트 브룩스,에드 오닐",97,8.691922006,1795,2016,0,1,0,0,1,0,0,14.7716887,195,371,0,B
301,아수라,김성수,씨제이이앤엠(주),A,20160928,autumn,개봉영화,장편,한국,1278,20576226662,2594028,5577412282,676676,범죄,청소년관람불가,일반영화,6.56,"정우성,황정민,주지훈",132,6.558953033,4088,2016,3122222,0,0,62861455,1,2,20,14.76872244,3703,1396,0,A
302,마이펫의 이중생활,크리스 리노드,유니버설픽쳐스인터내셔널 코리아(유),B,20160803,summer,개봉영화,장편,미국,726,19379904655,2517805,5360235715,656542,애니메이션,전체관람가,일반영화,6.67,"루이스 C.K.,에릭 스톤스트릿,케빈 하트",90,8.703752469,3038,2016,925108,0,0,155374,1,1,1,14.73889805,49,184,0,B
303,라라랜드,데이미언 셔젤,판씨네마(주),D,20161207,winter,개봉영화,장편,미국,727,19993531232,2384782,8520674132,987682,드라마,12세이상관람가,일반영화,8.34,"라이언 고슬링,엠마 스톤",127,8.868760064,1242,2016,1559430,0,0,5315445,1,1,5,14.68461827,101,392,0,C
304,봉이 김선달,박대민,씨제이이앤엠(주),A,20160706,summer,개봉영화,장편,한국,942,16172133642,2044564,3545320462,432216,사극,12세이상관람가,일반영화,5.14,"유승호,조재현,고창석",121,8.317815577,1117,2016,0,0,1,18816921,1,0,12,14.53069512,1174,564,0,A
305,수어사이드 스쿼드,데이비드 에이어,워너브러더스 코리아(주),B,20160803,summer,개봉영화,장편,미국,823,15873106188,1898121,4616155428,521174,액션,15세이상관람가,일반영화,5.15,"윌 스미스,자레드 레토,마고 로비",122,7.615583743,3863,2016,1368705,1,1,199297,1,2,3,14.45637501,199,595,0,B
306,벤허,티무르 베크맘베토브,롯데쇼핑㈜롯데엔터테인먼트,A,20160914,autumn,개봉영화,장편,미국,717,11405870395,1399771,2957265515,356087,어드벤처,12세이상관람가,일반영화,8.75,"찰톤 헤스톤,잭 호킨스,하야 하라릿",222,9,1,2016,0,0,1,0,1,0,0,14.15181921,86,265,1,A
307,스타트렉 비욘드,저스틴 린,롯데쇼핑㈜롯데엔터테인먼트,A,20160817,summer,개봉영화,장편,미국,716,10190375820,1157156,3556973400,380899,액션,12세이상관람가,일반영화,7.1,"크리스 파인,사이먼 페그,조 샐다나",122,8.413407821,895,2016,1790273,1,1,14291634,1,1,10,13.96147583,1495,454,0,A
308,미씽: 사라진 여자,이언희,메가박스중앙(주)플러스엠,A,20161130,autumn,개봉영화,장편,한국,790,8881616256,1153109,2457671256,307997,미스터리,15세이상관람가,일반영화,6.72,"엄지원,공효진",100,8.590727418,1251,2016,0,0,0,1944902,1,0,2,13.95797233,439,533,0,A
309,"당신, 거기 있어줄래요",홍지영,롯데쇼핑㈜롯데엔터테인먼트,A,20161214,winter,개봉영화,장편,한국,767,8999085248,1124815,2552055748,305990,판타지,12세이상관람가,일반영화,5.44,"김윤석,변요한,채서진",111,8.872954764,1039,2016,1210277,0,1,19920665,1,1,9,13.93312914,1131,612,0,A
310,라이트 아웃,데이비드 F. 샌드버그,워너브러더스 코리아(주),B,20160824,summer,개봉영화,장편,미국,659,8892177975,1111158,2086096975,248265,공포,15세이상관람가,일반영화,0,"테레사 팔머,앨리시아 벨라 베일리,가브리엘 베이트먼",81,7.713203463,924,2016,0,0,1,1175118,1,0,2,13.92091327,10,159,0,B
311,씽,가스 제닝스,유니버설픽쳐스인터내셔널 코리아(유),B,20161221,winter,개봉영화,장편,미국,795,8196285789,1061913,2230472589,274530,애니메이션,전체관람가,일반영화,6.71,"매튜 맥커너히,리즈 위더스푼,스칼렛 요한슨",108,9.039348711,1474,2016,0,0,0,16691548,1,0,8,13.87558256,0,1,0,B
312,맨 인 더 다크,페드 알바레즈,유니버설픽쳐스인터내셔널 코리아(유),B,20161005,autumn,개봉영화,장편,미국,671,8445645672,999047,2347738772,267646,스릴러,청소년관람불가,일반영화,7.04,"제인 레비,딜런 미네트,스티븐 랭",88,8.461838006,1284,2016,0,0,0,0,1,0,0,13.8145571,28,192,0,B
313,"고산자, 대동여지도",강우석,씨제이이앤엠(주),A,20160907,autumn,개봉영화,장편,한국,765,7777473258,971194,1911829638,230579,사극,전체관람가,일반영화,5.78,"차승원,유준상",129,8.239467849,451,2016,1737253,0,1,5038378,1,1,7,13.78628152,1380,877,0,A
314,매그니피센트 7,안톤 후쿠아,유니버설픽쳐스인터내셔널 코리아(유),B,20160914,autumn,개봉영화,장편,미국,579,7633490421,921317,2113986651,247071,액션,15세이상관람가,일반영화,5.79,"덴젤 워싱턴,크리스 프랫,이병헌",133,8.081967213,1525,2016,348278,0,1,21673771,1,4,10,13.73355945,1557,323,1,B
315,브리짓 존스의 베이비,샤론 맥과이어,유니버설픽쳐스인터내셔널 코리아(유),B,20160928,autumn,개봉영화,장편,미국,509,6678585874,820995,2641542374,314889,코미디,15세이상관람가,일반영화,5.63,"르네 젤위거,콜린 퍼스,패트릭 뎀시",123,9.161118509,751,2016,0,1,1,6206358,1,0,6,13.6182723,59,196,0,B
316,스플릿,최국희,오퍼스픽쳐스(유),D,20161109,autumn,개봉영화,장편,한국,702,6097721539,757430,1497661939,177946,드라마,15세이상관람가,일반영화,6.38,"유지태,이정현,이다윗",121,9.247206704,716,2016,0,0,0,23761291,1,0,8,13.5376864,263,217,0,C
317,국가대표 2,김종현,메가박스중앙(주)플러스엠,A,20160810,summer,개봉영화,장편,한국,562,5424324942,703024,1319827542,166219,드라마,12세이상관람가,일반영화,5.5,"수애,오달수,오연서",126,8.880952381,882,2016,0,1,1,69100447,1,0,12,13.46314631,642,585,0,A
318,인페르노,론 하워드,유니버설픽쳐스인터내셔널 코리아(유),B,20161019,autumn,개봉영화,장편,미국,754,5656281303,689071,1920944703,224942,미스터리,15세이상관람가,일반영화,4.67,"톰 행크스,펠리시티 존스,벤 포스터",121,8.2,610,2016,932909,1,1,902399,1,2,5,13.44309959,48,204,0,B
319,설리: 허드슨강의 기적,클린트 이스트우드,워너브러더스 코리아(주),B,20160928,autumn,개봉영화,장편,미국,573,5234170754,627102,1679863954,192870,드라마,12세이상관람가,일반영화,7.75,"톰 행크스,로라 리니,아론 에크하트",96,8.907035176,398,2016,344766,0,1,1203327,1,1,6,13.34886449,58,174,0,B
320,잭 리처: 네버 고 백,에드워드 즈윅,롯데쇼핑㈜롯데엔터테인먼트,A,20161130,autumn,개봉영화,장편,미국,667,4638072258,611097,1375085358,175136,액션,15세이상관람가,일반영화,4.88,"톰 크루즈,코비 스멀더스",118,8.190140845,426,2016,0,1,1,23349114,1,0,6,13.32301098,26,186,0,A
321,로그 원: 스타워즈 스토리,가렛 에드워즈,월트디즈니컴퍼니코리아 유한책임회사,B,20161228,winter,개봉영화,장편,미국,907,5127537094,596487,1796959744,196714,액션,12세이상관람가,일반영화,7.16,"펠리시티 존스,디에고 루나,매즈 미켈슨",133,8.381078691,1131,2016,710814,1,0,41546,1,2,2,13.29881273,134,318,0,B
322,아이스 에이지: 지구 대충돌,마이크 트메이어,이십세기폭스코리아(주),B,20160720,summer,개봉영화,장편,미국,580,4092484600,553760,920145300,116487,애니메이션,전체관람가,일반영화,6,"존 레귀자모,레이 로마노,제니퍼 로페즈",94,8.163934426,610,2016,0,1,0,686759,1,0,5,13.22448666,30,229,0,B
323,메카닉: 리크루트,데니스 간젤,(주)제이앤씨미디어그룹,D,20160831,summer,개봉영화,장편,미국,320,4458200800,551897,1177943300,142121,액션,15세이상관람가,일반영화,5.25,"제이슨 스타뎀,제시카 알바,토미 리 존스",98,7.5,8,2016,245,1,1,3594575,1,2,11,13.22111671,17,136,0,C
324,고스트버스터즈,폴 페이그,유니버설픽쳐스인터내셔널 코리아(유),B,20160825,summer,개봉영화,장편,미국,511,4116292075,515522,1376002875,165403,액션,12세이상관람가,일반영화,6.58,"멜리사 맥카시,크리스틴 위그,케이트 맥키넌",116,8.416058394,685,2016,0,0,1,5061109,1,0,3,13.15293526,42,156,0,B
325,거울나라의 앨리스,제임스 보빈,월트디즈니컴퍼니코리아(주),B,20160907,autumn,개봉영화,장편,미국,515,4145733267,513202,1251835067,146759,어드벤처,12세이상관람가,일반영화,5.75,"조니 뎁,앤 해서웨이,미아 와시코브스카",112,8.622535211,355,2016,0,1,1,6309523,1,0,10,13.14842481,30,243,0,B
326,가려진 시간,엄태화,(주)쇼박스,C,20161116,autumn,개봉영화,장편,한국,884,3946462400,510878,1183297400,144193,드라마,12세이상관람가,일반영화,6.68,"강동원,신은수,이효제",129,8.191629956,454,2016,16733,0,0,13516601,1,1,4,13.14388609,955,453,0,A
327,명탐정 코난: 순흑의 악몽,시즈노 코분,씨제이이앤엠(주),A,20160803,summer,개봉영화,장편,일본,447,3754104500,507508,717455600,93719,애니메이션,12세이상관람가,일반영화,7,"김선혜,강수진,이정구",112,9.042639594,985,2016,868371,1,1,529449,1,2,3,13.13726775,10,45,0,A
328,언더 워터,자움 콜렛 세라,유니버설픽쳐스인터내셔널 코리아(유),B,20160713,summer,개봉영화,장편,미국,518,3111772391,384789,722677691,87120,공포,15세이상관람가,일반영화,7.25,블레이크 라이블리,86,8.227513228,378,2016,2373991,0,0,40096,1,2,1,12.86045041,14,73,0,B
329,위자: 저주의 시작,마이크 플래너건,유니버설픽쳐스인터내셔널 코리아(유),B,20161109,autumn,개봉영화,장편,미국,467,2637517406,331877,558041806,67022,공포,12세이상관람가,일반영화,4.5,"엘리자베스 리저,애너리즈 바쏘,룰루 윌슨",99,7.777292576,229,2016,278838,1,1,0,1,1,0,12.7125197,10,30,0,B
330,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,타카하시 시게하루,씨제이이앤엠(주),A,20160720,summer,개봉영화,장편,일본,403,2466913080,330665,441346600,56343,애니메이션,전체관람가,일반영화,6,"박경혜,홍범기,김현지",94,8.569124424,434,2016,550728,1,1,4032478,1,1,4,12.70886106,2,49,0,A
