,title,director,producer,importer,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,director_movie_num,sequel,original,actor_power
496,스타워즈: 라스트 제다이,라이언 존슨,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,B,12/14/2017,winter,개봉영화,장편,미국,1107,8535886061.0,3253329661,325647,액션,12세이상관람가,일반영화,7.75,"데이지 리들리,마크 해밀,아담 드라이버",152,7.827302632,608,2017,2555968.0,2 [2],0,1,22080146
397,23 아이덴티티,M. 나이트 샤말란,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,2/22/2017,winter,개봉영화,장편,미국,952,13609456135.0,4134850035,490806,스릴러,15세이상관람가,일반영화,6.5,"제임스 맥어보이,안야 테일러 조이",117,7.8787731260000005,2054,2017,4460383.0,3 [3],1,0,79149529
664,국가부도의 날,최국희,영화사 집,,씨제이이앤엠(주),A,11/28/2018,autumn,개봉영화,장편,한국,1180,30845862137.0,7969879237,934280,드라마,12세이상관람가,일반영화,6.5,"김혜수,유아인,허준호",114,8.820384294,1197,2018,5262812.0,2 [2],0,1,174511416
157,우먼 인 골드,사이먼 커티스,,(주)에이블엔터테인먼트,(주)팝엔터테인먼트,D,7/9/2015,summer,개봉영화,장편,미국,252,1096192800.0,571626200,71829,드라마,12세이상관람가,독립/예술영화,7.0,"헬렌 미렌,라이언 레이놀즈,다니엘 브륄",109,9.0625,80,2015,161843.0,1 [1],1,0,62751921
546,원더,스티븐 크보스키,,"CGV아트하우스,그린나래미디어(주)",CGV아트하우스,A,12/27/2017,winter,개봉영화,장편,미국,183,632389700.0,266568600,34246,드라마,전체관람가,독립/예술영화,6.86,"제이콥 트렘블레이,줄리아 로버츠,오웬 윌슨",113,9.404761905,42,2017,81680.0,1 [1],1,0,1889502
754,말모이,엄유나,더램프(주),,롯데컬처웍스(주)롯데엔터테인먼트,A,1/9/2019,winter,개봉영화,장편,한국,1203,23681932520.0,5900912990,681266,드라마,12세이상관람가,일반영화,5.86,"유해진,윤계상",135,9.290863891,1609,2019,2812310.0,1 [1],0,1,538220670
77,빌리와 용감한 녀석들 3,척 파워스,,㈜코리아스크린,롯데쇼핑㈜롯데엔터테인먼트,A,4/30/2015,spring,개봉영화,장편,미국,343,699788600.0,177312700,23652,애니메이션,전체관람가,독립/예술영화,5.0,"엄상현,조현정,숀 애스틴",80,7.263157895,114,2015,98495.0,1 [1],0,0,26941802
769,엑스맨: 다크 피닉스,사이먼 킨버그,,이십세기폭스코리아(주),이십세기폭스코리아(주),B,6/5/2019,summer,개봉영화,장편,미국,991,7644198640.0,2170299420,227023,액션,12세이상관람가,일반영화,5.67,"제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스",114,7.934210526,456,2019,862203.0,1 [1],1,1,196722734
1,국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),A,12/17/2014,winter,개봉영화,장편,한국,966,69823893034.0,16331193634,2033863,드라마,12세이상관람가,일반영화,5.81,"황정민,김윤진,오달수",126,9.272090988626422,1143,2014,5334561.0,1 [1],0,0,608444941
232,나의 소녀시대,프랭키 첸,,오드,오드,D,5/12/2016,spring,개봉영화,장편,기타,176,3288673300.0,1107449800,134195,멜로/로맨스,15세이상관람가,독립/예술영화,6.8,"송운화,왕대륙,이옥새",134,10.0,1,2016,1239593.0,2 [2],0,0,8353
175,러덜리스,윌리엄 H. 머시,,그린나래미디어(주),그린나래미디어(주),D,7/9/2015,summer,개봉영화,장편,미국,117,602152720.0,328229620,40262,코미디,12세이상관람가,독립/예술영화,6.15,"빌리 크루덥,안톤 옐친",105,8.741935483999999,62,2015,76343.0,1 [1],0,0,233950
398,임금님의 사건수첩,문현성,"(주)영화사람,씨제이이앤엠(주),(주)더타워픽쳐스",,씨제이이앤엠(주),A,4/26/2017,spring,개봉영화,장편,한국,1054,12648793723.0,3034042823,380247,코미디,12세이상관람가,일반영화,5.63,"이선균,안재홍",114,8.079252003999999,1123,2017,1634403.0,1 [1],1,0,148864572
370,극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,나카자와 쇼지로,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),C,11/3/2016,autumn,개봉영화,장편,일본,406,497324800.0,98695300,11896,액션,전체관람가,일반영화,0.0,"니시카와 슌스케,마츠모토 가쿠,나카무라 카이토",60,8.42,100,2016,63800.0,1 [1],1,1,0
694,곰돌이 푸 다시 만나 행복해,마크 포스터,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,B,10/3/2018,autumn,개봉영화,장편,미국,536,4076578860.0,1514773210,175858,어드벤처,전체관람가,일반영화,6.33,"이완 맥그리거,헤일리 앳웰,마크 게티스",104,8.93258427,356,2018,490307.0,1 [1],0,1,6946105
615,유전,아리 애스터,,찬란,(주)팝엔터테인먼트,D,6/7/2018,summer,개봉영화,장편,미국,422,1536786325.0,528139825,57537,공포,15세이상관람가,일반영화,7.13,"토니 콜렛,밀리 샤피로,가브리엘 번",127,7.54,150,2018,442366.0,2 [2],0,0,1123299
308,미씽: 사라진 여자,이언희,다이스필름(주),,메가박스중앙(주)플러스엠,A,11/30/2016,autumn,개봉영화,장편,한국,790,8881616256.0,2457671256,307997,미스터리,15세이상관람가,일반영화,6.72,"엄지원,공효진",100,8.590727418,1251,2016,4978770.0,2 [2],0,0,56893456
