영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
프로메테우스,리들리 스콧,,이십세기폭스코리아(주),이십세기폭스코리아(주),2012-06-06,개봉영화,장편,미국,521,8537865599,964148,3516906599,368153,SF,청소년관람불가,일반영화
셜록홈즈 : 그림자 게임,가이 리치,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-12-21,개봉영화,장편,미국,370,7168608500,949299,2696523500,343134,액션,15세이상관람가,일반영화
타이탄의 분노,조나단 리브스만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-03-29,개봉영화,장편,미국,535,7591124500,893027,2199173000,239530,액션,12세이상관람가,일반영화
디스 민즈 워,맥지,,이십세기폭스코리아(주),이십세기폭스코리아(주),2012-02-29,개봉영화,장편,미국,351,6661435000,873396,2606658000,326981,액션,15세이상관람가,일반영화
미확인 동영상 : 절대클릭금지,김태경,"(주)에이디사공육,(주)다세포클럽",,(주)쇼박스,2012-05-30,개봉영화,장편,한국,361,5932400500,866147,1053124000,145875,공포(호러),15세이상관람가,일반영화
존 카터: 바숨 전쟁의 서막,앤드류 스탠튼,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-03-08,개봉영화,장편,미국,508,7218670500,837426,1990997500,211589,SF,12세이상관람가,일반영화
토르: 마법망치의 전설,"오스카 요나손,토비 젠켈,거나 칼슨",,(주)스마일이엔티,"롯데쇼핑㈜롯데엔터테인먼트,(주)스마일이엔티",2012-02-09,개봉영화,장편,아이슬란드,383,5529185000,765315,1122505000,146284,애니메이션,전체관람가,일반영화
퍼펙트 게임,박희곤,"(주)동아수출공사,밀리언 스토리,(주)다세포클럽",,롯데쇼핑㈜롯데엔터테인먼트,2011-12-21,개봉영화,장편,한국,413,5224000500,695312,1599386500,204147,드라마,12세이상관람가,일반영화
스노우 화이트 앤 더 헌츠맨,루퍼트 샌더스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-05-30,개봉영화,장편,미국,447,4645167000,636477,1477032000,191591,액션,12세이상관람가,일반영화
헝거게임: 판엠의 불꽃,게리 로스,라이온스 게이트 필름즈,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2012-04-05,개봉영화,장편,미국,514,4470681000,606531,1781865500,231022,액션,15세이상관람가,일반영화
맨 온 렛지,애스게르 레스,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2012-02-22,개봉영화,장편,미국,408,4393531500,591841,1529425000,196445,범죄,15세이상관람가,일반영화
다크 섀도우,팀 버튼,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-05-10,개봉영화,장편,미국,394,4326459000,582126,1488456500,189955,드라마,15세이상관람가,일반영화
백설공주,타셈 싱,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2012-05-03,개봉영화,장편,미국,386,4038223000,576150,1287829500,174825,판타지,전체관람가,일반영화
파파,한지승,상상필름(주),,롯데쇼핑㈜롯데엔터테인먼트,2012-02-01,개봉영화,장편,한국,414,3866065500,562156,1001172500,140728,가족,12세이상관람가,일반영화
마이 웨이,강제규,(주)디렉터스,,"에스케이플래닛(주),씨제이이앤엠(주)",2011-12-21,개봉영화,장편,한국,645,4180964000,556580,1082674000,138751,전쟁,15세이상관람가,일반영화
미쓰GO,박철관,영화사 도로시(주),,(주)넥스트엔터테인먼트월드(NEW),2012-06-21,개봉영화,장편,한국,440,3834035000,525744,1061692000,137342,액션,15세이상관람가,일반영화
페이스메이커,김달중,"(주)드림캡쳐,(주)에이트볼픽쳐스 ,(주)필통픽쳐스",,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2012-01-18,개봉영화,장편,한국,412,3443753000,467697,1074184000,139734,드라마,12세이상관람가,일반영화
