,전국스크린수,전국관객수,expert_rating,running_times,audience_rating,rating_audiences,director_power
96,212,46589,6.45,122,7.4423076923076925,52,65415.0
97,365,46079,5.56,88,6.148148148148147,27,46079.0
98,231,45166,4.94,106,8.04761904761905,21,45166.0
99,282,43562,5.38,104,8.734693877551019,49,43562.0
100,1064,13395400,7.5,123,9.259043173862313,3428,40559524.0
101,1519,12705700,6.57,139,9.101088201603666,3492,25688878.0
102,1075,7055074,6.63,130,9.09490639965172,2297,26081050.0
103,1210,6246849,7.54,125,8.389521640091116,1756,5052135.0
104,1202,6126488,7.54,131,8.909564570152586,2687,19621922.0
105,1088,5440520,6.23,108,8.584792396198099,1999,7838312.0
106,1009,5129409,5.63,124,8.942040816326529,1225,17833713.0
107,777,4968687,7.88,102,9.113006396588489,938,4968687.0
108,1132,4875494,7.91,144,8.774937343358395,1995,21424146.0
109,496,3610564,6.25,121,9.043558850787766,1079,3610564.0
110,1113,3239371,5.81,125,8.12320916905444,1047,6279260.0
111,949,2839921,7.09,117,8.691348402182385,1283,11127668.0
112,940,2803234,7.55,135,8.371521035598706,1545,4393723.0
113,804,2744413,6.56,132,8.46712802768166,867,10600985.0
114,764,2625686,5.9,120,8.682264150943396,1325,2625686.0
115,792,2625572,5.63,91,8.239776951672862,1614,27875256.0
116,648,2053085,5.47,127,8.1991341991342,693,2053085.0
117,1105,1820760,5.69,148,7.629014396456259,903,4196905.0
118,794,1593694,5.2,114,7.918032786885246,488,1593694.0
119,892,1584168,7.08,139,8.371273712737128,738,12181628.0
120,607,1124918,6.65,117,8.564612326043736,503,2973250.0
121,681,1046015,6.67,109,7.62,400,1046015.0
122,437,984265,6.17,125,8.727659574468085,470,2888009.0
123,686,962770,6.0,89,8.66931216931217,1890,3882431.0
124,634,827918,6.66,107,6.850356294536817,421,0.0
125,409,825517,4.63,97,7.795031055900623,322,1840982.0
126,535,809327,6.45,121,8.3125,240,4302393.0
127,661,806520,6.6,137,7.791479820627803,446,3701500.0
128,557,681945,5.0,106,7.891304347826088,414,0.0
129,566,654102,5.47,106,8.036036036036036,333,2380561.0
130,776,616481,6.57,125,8.25512528473804,439,2481676.0
131,509,609063,5.83,112,7.386533665835412,401,609063.0
132,509,550728,5.0,97,8.865148861646233,571,4223128.0
133,433,470990,4.5,112,8.637096774193548,372,5748553.0
134,572,431310,6.12,121,6.151515151515151,264,1359388.0
135,494,428855,7.25,106,8.180925666199157,713,428855.0
136,425,428429,6.31,111,7.033613445378151,238,428429.0
137,451,399667,2.5,100,5.763565891472868,258,783529.0
138,544,391760,0.0,62,8.8997668997669,429,1321745.0
139,446,346483,4.83,104,7.247058823529412,170,558411.0
140,331,332180,6.42,121,7.760162601626017,246,782240.0
141,434,320166,5.08,107,7.8559322033898304,118,320166.0
142,365,319072,7.0,85,8.323529411764708,238,958843.0
143,563,317505,5.44,109,7.9230769230769225,182,1281169.0
144,425,260518,8.59,141,8.902702702702703,185,6576583.0
145,445,257716,3.0,96,6.43010752688172,186,0.0
146,415,238257,7.38,123,8.729591836734691,196,1015891.0
147,607,224657,4.63,122,7.160621761658031,579,2633231.0
148,363,223216,7.2,119,8.893203883495145,103,658845.0
149,360,214284,0.0,80,8.790748898678414,454,7587500.0
150,428,185960,5.0,111,8.157894736842103,133,552590.0
151,409,184469,5.67,101,8.21875,160,253564.0
152,449,179738,6.33,132,7.634782608695652,115,179738.0
153,341,161382,6.33,95,7.2206896551724125,145,161382.0
154,432,161245,3.5,86,7.4631578947368435,95,236157.0
155,838,160148,0.0,180,9.05240706886045,1641,26081050.0
156,348,156376,6.0,93,7.867149758454106,414,1804446.0
157,252,142456,7.0,109,9.0625,80,161843.0
158,227,139767,7.97,121,8.0,78,2530063.0
159,66,122574,0.0,99,9.361204013377927,299,122574.0
160,331,120802,5.17,105,7.868525896414343,251,3868384.0
161,351,113404,5.67,100,8.666666666666666,48,113404.0
162,245,112121,6.81,105,8.825581395348838,86,136946.0
163,340,111127,5.17,117,7.945652173913044,92,687277.0
164,361,108551,6.25,116,8.038461538461537,78,1042788.0
165,117,106030,0.0,95,8.545454545454545,11,106030.0
166,399,100523,6.31,93,7.467532467532468,77,2328194.0
167,344,100026,0.0,60,8.461538461538463,104,100026.0
168,141,93534,0.0,181,8.193181818181818,88,355913.0
169,193,89358,7.0,78,7.432098765432099,81,89358.0
170,335,87426,5.33,124,8.857142857142858,35,1966151.0
171,299,87301,3.33,81,6.607142857142858,56,261903.0
172,263,85568,6.8,85,8.358695652173912,92,256704.0
173,59,79840,8.45,121,8.601895734597157,211,459722.0
174,297,77621,0.0,106,7.724137931034483,58,77621.0
175,117,76343,6.15,105,8.741935483870968,62,76343.0
176,268,66075,6.0,113,7.609756097560973,41,66075.0
177,219,63954,0.0,95,9.707792207792208,154,63954.0
178,272,63073,5.5,98,7.833333333333332,84,63073.0
179,267,61046,0.0,101,8.326086956521738,46,5161781.0
180,318,60981,0.0,90,5.155555555555557,45,478094.0
181,352,58487,6.25,91,8.25925925925926,27,69055.0
182,309,56515,6.0,106,9.382716049382717,81,56515.0
183,142,55619,4.67,80,8.351351351351347,111,166857.0
184,75,55396,7.64,118,8.524590163934427,122,392466.0
185,227,53576,6.0,77,7.314285714285713,35,53576.0
186,73,53233,6.21,115,7.14,200,70202.0
187,279,52197,6.7,94,6.682926829268293,41,4460383.0
188,67,51711,7.02,128,8.868965517241381,145,1027046.0
189,344,51207,4.0,115,8.026315789473685,38,51207.0
190,305,50196,4.81,102,7.0588235294117645,17,0.0
191,278,49558,4.0,106,7.407692307692307,130,49558.0
192,185,48844,7.08,147,8.854545454545455,110,8247867.0
193,264,46781,5.83,103,8.206896551724139,29,46781.0
194,255,46411,6.29,118,7.2391304347826075,92,2585525.0
195,1812,9699092,5.94,126,8.632157581310121,6549,9699092.0
196,1991,8677032,7.5,147,8.996032112208178,10837,198955047.0
197,1485,6862438,8.18,156,8.008699014111734,5173,6862438.0
198,661,4703245,7.2,108,9.311522048364154,703,20567355.0
199,1171,4142912,7.68,144,7.559087204563978,3681,386200.0
200,1365,3984812,6.47,95,8.894853348090757,1807,11954436.0
201,876,3586346,5.8,127,9.521487351417251,3281,3614670.0
202,1036,3317196,6.89,106,8.60940536338904,2573,9043454.0
203,1262,2937941,7.35,143,8.295994328252393,2821,20367686.0
204,924,2292929,7.02,106,8.67259056732741,1463,4889524.0
205,1709,2256913,5.95,151,7.34433962264151,2120,8426762.0
206,967,2007180,7.46,156,8.009656652360514,932,2416664.0
207,635,1724927,6.57,134,8.487762237762238,1144,22415560.0
208,764,1426873,6.8,125,8.370217166494312,967,1426873.0
209,814,1328394,6.22,101,8.996168582375477,1305,1328394.0
210,891,1278894,6.5,115,7.442600276625173,1446,1278894.0
211,926,1202842,5.2,120,7.420155038759693,1290,2743672.0
212,733,1202058,4.93,107,8.080204778156997,586,1202082.0
213,499,1168268,7.5,110,9.383582089552238,670,5052135.0
214,736,1156727,5.96,122,8.683649289099526,1688,1156727.0
215,691,1100120,5.2,120,8.610481586402265,706,1100120.0
216,855,1069436,5.66,124,8.72,500,6268514.0
217,683,1061412,5.5,91,8.30791788856305,682,1075477.0
218,618,918678,3.5,126,8.185185185185185,567,918678.0
219,637,848148,6.4,123,8.771289537712898,411,848148.0
220,481,820800,5.0,110,8.81132075471698,636,820800.0
221,523,731551,4.0,98,8.8125,272,732531.0
222,661,678368,6.0,97,8.435855263157897,608,2035104.0
223,592,652453,5.31,103,8.022988505747126,348,1304906.0
224,551,634953,5.06,108,7.894859813084112,428,634953.0
225,494,554784,6.81,106,9.097664543524415,471,3981463.0
